date,pair,trade_direction,z_score,innovation,beta,days_held,reason
2024-07-23,SS-ZN,LONG,-2.181562332016043,-1021.2636788424206,1.711496392160583,1,z_threshold
2024-08-02,SM-SF,SHORT,2.022451300281324,902.8431889168688,0.8985990039399318,1,z_threshold
2024-08-09,CU-SN,SHORT,2.367332407169196,15603.095359422878,3.3702438465931763,1,z_threshold
2024-08-12,SS-ZN,CLOSE,-0.1180153193142048,-110.3116400018007,1.686263495060915,0,z_threshold
2024-09-04,CU-SN,CLOSE,0.3250880368158113,3297.850043622573,3.4085322753299523,0,z_threshold
2024-09-13,SM-SF,CLOSE,1.0940821964896676,672.509432264339,0.9243079486109664,0,force_close
2024-09-26,SS-ZN,SHORT,2.048411518084808,1753.799329043828,1.708256447896922,1,z_threshold
2024-10-21,AG-PB,LONG,-2.11545153207851,-2438.8571566496103,2.291829069039584,1,z_threshold
2024-10-22,AG-SS,LONG,-2.07385051688084,-1447.6942753887852,1.8058379931118869,1,z_threshold
2024-11-06,AG-SS,CLOSE,-0.4235434843306294,-358.4253086551471,1.7781717220977935,0,z_threshold
2024-11-07,AL-CU,LONG,-2.329135636631304,-3969.83622023424,3.756088663195628,1,z_threshold
2024-11-07,AG-PB,CLOSE,-0.3515223551134823,-522.269841139725,2.256567225780055,0,z_threshold
2024-11-14,SS-ZN,CLOSE,0.8256090804012065,994.0487638615924,1.7487940257318948,0,force_close
2024-11-27,CU-SN,LONG,-2.243038299670113,-14949.39355485083,3.378396643359993,1,z_threshold
2024-11-27,SS-ZN,SHORT,2.091550798243796,2729.7470805134253,1.7694601142829802,1,z_threshold
2024-12-06,AL-CU,CLOSE,-0.4436741465638235,-1087.20074087182,3.728192278184601,0,z_threshold
2024-12-12,CU-SN,CLOSE,-0.3432327037295734,-2630.782614933356,3.36731726815113,0,z_threshold
2025-01-08,SS-ZN,CLOSE,0.3382391361272598,602.569744932458,1.812358958057664,0,z_threshold
2025-02-05,AG-SF,LONG,-2.185492929409454,-384.80711178949787,0.8202601130339225,1,z_threshold
2025-02-05,AG-ZN,LONG,-3.0297679081684654,-2668.7447894513134,3.185874419267108,1,z_threshold
2025-02-05,AG-AL,LONG,-2.558843889628573,-1024.737715139894,2.6158046739390164,1,z_threshold
2025-02-06,AG-SM,SHORT,2.109923118796778,637.7110978716037,0.8236333532264338,1,z_threshold
2025-02-06,SM-PB,LONG,-2.2869062033462906,-2281.2136511308017,2.6567744876663357,1,z_threshold
2025-02-06,RB-SM,SHORT,2.948879084745587,781.2615732682443,1.931711059498464,1,z_threshold
2025-02-06,HC-SM,SHORT,3.032742245986419,862.3467432388334,1.8546312766545647,1,z_threshold
2025-02-07,AG-SF,CLOSE,-0.4355895468203356,-82.1424020856175,0.8192337887487249,0,z_threshold
2025-02-11,AG-SM,CLOSE,0.1399826646090505,48.55826654687371,0.8259817472255183,0,z_threshold
2025-02-11,SM-PB,CLOSE,-0.4079311816888556,-478.58478458091486,2.648982266613382,0,z_threshold
