date,equity
2024-02-08,5000000.0
2024-02-09,5000151.23956
2024-02-10,5000726.439099999
2024-02-11,5001576.231211999
2024-02-12,5016952.143239999
2024-02-13,5041281.370648
2024-02-14,5057252.482025998
2024-02-15,5163461.597211
2024-02-16,5202137.098210995
2024-02-17,5051062.2439405965
2024-02-18,4980790.823823596
2024-02-19,4918166.269155596
2024-02-20,4925353.322603596
2024-02-21,4923127.827575596
2024-02-22,4911584.655287597
2024-02-23,4908443.778159598
2024-02-24,4909375.869789598
2024-02-25,4908988.809461597
2024-02-26,4924464.143745598
2024-02-27,4921319.366057598
2024-02-28,4917587.429205595
2024-02-29,4865396.071725598
2024-03-01,4916772.005277598
2024-03-02,4916918.439557598
2024-03-03,4903129.551841596
2024-03-04,4921914.280985801
2024-03-05,4905208.96197
2024-03-06,4958874.952778
2024-03-07,5150008.227212998
2024-03-08,5159950.898383803
2024-03-09,5155676.754541801
2024-03-10,5153231.066103801
2024-03-11,5211872.167020803
2024-03-12,5254667.478353808
2024-03-13,5254667.478353808
2024-03-14,5254766.027201808
2024-03-15,5305923.654984607
2024-03-16,5310897.670567211
2024-03-17,5336183.859353209
2024-03-18,5336183.859353209
2024-03-19,5336512.885003209
2024-03-20,5305867.7486832095
2024-03-21,5380375.972900206
2024-03-22,5354885.705671208
2024-03-23,5354885.705671208
2024-03-24,5355013.9070512075
2024-03-25,5342738.931771208
2024-03-26,5342738.931771208
2024-03-27,5342880.186373208
2024-03-28,5341422.216628208
2024-03-29,5341422.216628208
2024-03-30,5341422.216628208
2024-03-31,5341379.975364208
2024-04-01,5346068.863691008
2024-04-02,5343405.038392407
2024-04-03,5310576.635690408
2024-04-04,5311249.123704407
2024-04-05,5339090.654179407
2024-04-06,5341544.828019408
2024-04-07,5339183.482803407
2024-04-08,5369061.126006409
2024-04-09,5369156.906670408
2024-04-10,5391023.760684409
2024-04-11,5391023.760684409
2024-04-12,5392531.234516409
2024-04-13,5447522.3105244115
2024-04-14,5311718.772295407
2024-04-15,5311718.772295407
2024-04-16,5311718.772295407
2024-04-17,5311718.772295407
2024-04-18,5311718.772295407
2024-04-19,5311718.772295407
2024-04-20,5311718.772295407
2024-04-21,5309983.470279407
2024-04-22,5270706.036719013
2024-04-23,5416618.101900203
2024-04-24,5457161.620184001
2024-04-25,5479720.337409997
2024-04-26,5479759.155289997
2024-04-27,5517384.035169995
2024-04-28,5485380.441783599
2024-04-29,5486509.216783598
2024-04-30,5510610.779992399
2024-05-01,5517584.8211232
2024-05-02,5941360.9059312
2024-05-03,5869508.687129601
2024-05-04,5700263.18338299
2024-05-05,5356787.233328993
2024-05-06,5356815.185048994
2024-05-07,5361146.085048992
2024-05-08,5350969.565208995
2024-05-09,5350969.565208995
2024-05-10,5351021.905408994
2024-05-11,5401302.275838994
2024-05-12,5398545.275838995
2024-05-13,5394435.849278995
2024-05-14,5398131.692044594
2024-05-15,5386233.294275796
2024-05-16,5365162.182135796
2024-05-17,5456346.2339238
2024-05-18,5456589.331933801
2024-05-19,5456589.331933801
2024-05-20,5456589.331933801
2024-05-21,5456589.331933801
2024-05-22,5456589.331933801
2024-05-23,5457615.698581801
2024-05-24,5492971.908833803
2024-05-25,5496057.582885803
2024-05-26,5552665.604493801
2024-05-27,5486161.346205808
2024-05-28,5515775.9138458045
2024-05-29,5393869.658435805
2024-05-30,5394137.503947805
2024-05-31,5399197.081323804
2024-06-01,5374944.556323803
2024-06-02,5408214.219124806
2024-06-03,5408467.719926806
2024-06-04,5407292.858018206
2024-06-05,5445588.432740814
2024-06-06,5445239.099108014
2024-06-07,5538110.682258015
2024-06-08,5538007.664774015
2024-06-09,5536352.960207215
2024-06-10,5660489.169461218
2024-06-11,5504872.491758213
2024-06-12,5419225.067820208
2024-06-13,5428336.271857408
2024-06-14,5612171.752994412
2024-06-15,5710231.440328405
2024-06-16,5713440.876422405
2024-06-17,5696368.291857407
2024-06-18,5671368.796734016
2024-06-19,5599092.519760014
2024-06-20,5602006.163642414
2024-06-21,5636701.290580212
2024-06-22,5666582.569969212
2024-06-23,5668625.431202412
