pair,num_trades,avg_holding_days,total_pnl,avg_pnl,total_return,win_rate,sharpe_ratio,sortino_ratio,max_drawdown,stop_loss_count,stop_loss_pnl,time_stop_count,avg_lots_x,avg_lots_y,contribution
RB-SN,1,30.0,22769.362701999293,22769.362701999293,0.22769362701999293,1.0,,inf,0.0,0,0.0,1,25.0,2.0,-0.012457168027389578
CU-SF,2,17.0,20176.394448000443,10088.197224000221,0.20176394448000443,0.5,6.361113086258099,,0.08779047688000065,0,0.0,1,1.5,15.0,-0.01103854943658842
AU-SF,2,25.0,5473.660820000303,2736.8304100001515,0.05473660820000303,0.5,2.5589404708127637,,0.19282465079999703,0,0.0,1,1.0,10.0,-0.002994651780644506
AU-SM,2,26.0,3588.8558000005432,1794.4279000002716,0.035888558000005434,0.5,2.207943840606701,,0.2184626360999941,0,0.0,1,1.0,10.0,-0.0019634708406991493
AU-I,3,17.333333333333332,679.0613200000553,226.35377333335177,0.006790613200000553,0.3333333333333333,2.399360694447246,15.855028520039454,0.4091798699999992,1,-28715.565680000254,1,1.0,7.666666666666667,-0.00037151593019328914
PB-SS,2,25.0,-6368.0515619997095,-3184.0257809998548,-0.06368051561999709,0.5,0.06268987452039616,,0.2565598521999999,0,0.0,1,8.0,10.0,0.0034839749075605683
HC-AG,1,11.0,-9310.315368000334,-9310.315368000334,-0.09310315368000334,0.0,,,0.09310315368000331,0,0.0,0,15.0,4.0,0.0050936938571839695
SS-AG,1,21.0,-11752.921950000236,-11752.921950000236,-0.11752921950000236,0.0,,,0.11752921950000236,0,0.0,0,7.0,4.0,0.0064300492490768114
PB-AL,2,19.0,-12652.076334000076,-6326.038167000038,-0.12652076334000076,0.5,-8.803428522298244,,0.14118036960000624,0,0.0,1,5.0,4.0,0.006921978574927747
RB-SF,3,23.333333333333332,-13195.978263998766,-4398.659421332922,-0.13195978263998767,0.3333333333333333,-3.975657882906299,-10.322226796806797,0.23282306679999165,0,0.0,2,22.0,21.333333333333332,0.007219548507871907
CU-AL,1,29.0,-13729.059656999298,-13729.059656999298,-0.13729059656999298,0.0,,,0.13729059656999293,0,0.0,0,1.0,4.0,0.007511198501409031
SN-SF,4,13.5,-16317.167607798823,-4079.291901949706,-0.16317167607798824,0.25,3.887775100331805,57.89919337452183,0.7678980329219977,2,-57296.99096619998,1,2.25,22.5,0.008927158009722441
SM-SF,2,21.5,-16779.835083999227,-8389.917541999614,-0.16779835083999228,0.0,-12.920812780222697,-12.920812780222697,0.16779835083999234,0,0.0,0,23.0,23.0,0.009180284395702959
AL-SM,2,17.0,-18826.47276599983,-9413.236382999916,-0.18826472765999833,0.5,-6.548754753275888,,0.23565412218000012,0,0.0,0,6.0,21.0,0.010300004338221596
PB-HC,2,27.5,-20699.678188000595,-10349.839094000297,-0.20699678188000595,0.0,-11.615316617609304,-11.615316617609304,0.20699678188000586,0,0.0,1,7.0,21.0,0.011324839112786093
AG-NI,1,23.0,-25098.757422600127,-25098.757422600127,-0.25098757422600126,0.0,,,0.2509875742260013,0,0.0,0,4.0,3.0,0.013731584962831115
RB-NI,2,10.5,-26529.67671179998,-13264.83835589999,-0.2652967671179998,0.0,-51.789653636826785,-51.789653636826785,0.2652967671179997,0,0.0,0,16.5,3.0,0.014514444028870336
PB-NI,3,14.666666666666666,-26607.625335800625,-8869.208445266875,-0.2660762533580063,0.3333333333333333,-4.998558902357162,-16.04607067413309,0.3881700458800125,1,-27010.07073400106,1,8.0,4.333333333333333,0.014557089891180508
AU-HC,3,17.666666666666668,-27493.901380001585,-9164.633793333862,-0.27493901380001584,0.3333333333333333,1.3574039330536312,19.708668015627726,0.6375769298000101,1,-43603.55004000103,1,1.3333333333333333,13.333333333333334,0.015041973449221072
PB-RB,2,24.5,-27840.40669200168,-13920.20334600084,-0.2784040669200168,0.0,-11.659959113231935,-11.659959113231935,0.2784040669200168,1,-27461.770518000805,1,6.5,20.5,0.015231547261648822
SF-I,1,8.0,-29122.754494000095,-29122.754494000095,-0.29122754494000097,0.0,,,0.29122754494000097,1,-29122.754494000095,0,18.0,10.0,0.015933122542789443
AU-RB,3,17.333333333333332,-31101.034860000043,-10367.011620000014,-0.31101034860000043,0.3333333333333333,-2.552094946054286,-123.61102859159277,0.5088550253999997,1,-30507.512040000438,1,1.3333333333333333,13.333333333333334,0.017015444048537307
SF-NI,1,9.0,-31134.634474800332,-31134.634474800332,-0.3113463447480033,0.0,,,0.3113463447480033,1,-31134.634474800332,0,21.0,4.0,0.017033826471124218
CU-I,1,9.0,-31430.46924299914,-31430.46924299914,-0.31430469242999143,0.0,,,0.31430469242999143,1,-31430.46924299914,0,1.0,8.0,0.017195678318452066
SS-SF,2,23.0,-32082.63289699905,-16041.316448499525,-0.3208263289699905,0.0,-33.393375071190114,-33.393375071190114,0.3208263289699906,0,0.0,0,10.0,23.5,0.01755247847687371
SS-HC,4,19.5,-34166.58004200074,-8541.645010500186,-0.34166580042000744,0.25,-7.60471273779048,-54.88741407575426,0.44390854634001514,0,0.0,1,9.5,22.0,0.018692610508026494
HC-I,3,9.666666666666666,-35767.631011998776,-11922.543670666259,-0.35767631011998774,0.0,-28.437834235798203,-28.437834235798203,0.35767631011998785,0,0.0,0,15.666666666666666,8.666666666666666,0.019568548987935256
AL-I,2,19.0,-36714.920000000304,-18357.460000000152,-0.36714920000000306,0.5,-7.357480870938972,,0.4177735152499981,1,-41777.35152499981,1,5.0,9.5,0.02008681286068716
SS-NI,3,16.333333333333332,-38674.71861139714,-12891.572870465714,-0.3867471861139714,0.0,-41.43674969278506,-41.43674969278506,0.3867471861139714,0,0.0,1,10.0,4.333333333333333,0.021159022958156047
AU-AL,2,12.5,-41416.710135999,-20708.3550679995,-0.41416710135998996,0.0,-91.9947756663751,-91.9947756663751,0.41416710135999,0,0.0,0,1.0,4.0,0.0226591725055408
RB-AG,2,14.0,-42760.167500000505,-21380.083750000253,-0.42760167500000507,0.0,-96.88801712776406,-96.88801712776406,0.4276016750000051,0,0.0,0,20.0,5.0,0.023394180961422227
NI-I,2,23.5,-45077.77662840077,-22538.888314200383,-0.4507777662840077,0.5,-1.4663898834681421,,0.6300099335100059,1,-63000.99335100059,1,4.0,12.0,0.024662149973649298
SS-RB,3,26.333333333333332,-45269.74785000124,-15089.915950000412,-0.45269747850001235,0.3333333333333333,-15.876790221589083,-70.47649800909473,0.45269747850001235,1,-29560.68104000055,1,9.666666666666666,23.0,0.024767177847955603
SM-NI,3,17.0,-46323.99483080009,-15441.331610266696,-0.4632399483080009,0.3333333333333333,-8.000089067765696,-11.166390716430156,0.5319905619200015,1,-45072.13574400071,0,23.333333333333332,4.333333333333333,0.025343958671998006
PB-I,2,18.5,-47304.65718599982,-23652.32859299991,-0.4730465718599982,0.0,-13.196377411821045,-13.196377411821045,0.4730465718599982,1,-45304.33973599982,0,6.5,10.0,0.025880481186779943
PB-SM,3,29.0,-50294.51098600231,-16764.836995334103,-0.502945109860023,0.0,-31.269674611249332,-31.269674611249332,0.502945109860023,1,-26456.196858000756,1,7.333333333333333,22.0,0.027516236725984813
SN-I,1,8.0,-50841.359103599985,-50841.359103599985,-0.5084135910359998,0.0,,,0.5084135910359998,1,-50841.359103599985,0,2.0,12.0,0.027815418524594304
ZN-I,4,23.5,-51609.50917300024,-12902.37729325006,-0.5160950917300023,0.5,-0.8292049528393425,-2.638258247167777,0.6702955072900056,1,-62647.11893000051,2,4.25,10.0,0.028235675104016693
RB-I,3,9.666666666666666,-52189.81270999892,-17396.604236666306,-0.5218981270999892,0.0,-57.298629163241905,-57.298629163241905,0.5218981270999893,1,-27033.033739998988,0,16.666666666666668,8.666666666666666,0.028553160435595443
SM-I,3,20.333333333333332,-53769.47691500042,-17923.158971666806,-0.5376947691500042,0.0,-34.22669376975723,-34.22669376975723,0.5376947691500042,0,0.0,1,16.666666666666668,9.0,0.029417398169698936
AU-SS,2,14.5,-54239.76270200046,-27119.88135100023,-0.5423976270200046,0.0,-51.69452222070824,-51.69452222070824,0.5423976270200046,1,-29189.976585999746,0,1.0,6.0,0.02967469255014456
SS-SM,3,11.333333333333334,-60449.94619799889,-20149.98206599963,-0.6044994619799889,0.0,-18.44621484835375,-18.44621484835375,0.6044994619799888,2,-59040.500437998984,0,8.666666666666666,20.333333333333332,0.03307229749425577
CU-SM,3,17.0,-60854.35356299946,-20284.78452099982,-0.6085435356299946,0.0,-30.964997694686613,-30.964997694686613,0.6085435356299946,1,-27495.164597999872,0,1.3333333333333333,13.333333333333334,0.03329354964624874
SS-I,3,24.666666666666668,-61135.464672999886,-20378.488224333294,-0.6113546467299988,0.3333333333333333,-11.611043590294331,-94.09889109716846,0.6568499413799987,1,-44117.615568000256,1,6.333333333333333,8.0,0.033447346148042525
ZN-SM,4,16.5,-62272.6066529981,-15568.151663249526,-0.6227260665299811,0.25,-13.16191318879774,-13.272991462472742,0.6227260665299811,2,-60825.85828699834,2,4.25,18.5,0.03406947900706156
AG-I,2,4.5,-70870.89817600006,-35435.44908800003,-0.7087089817600006,0.0,-83.89744967946397,-83.89744967946397,0.7087089817600006,2,-70870.89817600006,0,5.5,11.0,0.03877362306468641
AG-SF,4,11.0,-85675.06007799826,-21418.765019499566,-0.8567506007799827,0.25,-24.164641837904625,-24.164641837904625,1.1213837772299882,3,-112138.37772299882,1,5.5,22.0,0.04687301235069738
HC-SM,3,12.666666666666666,-88770.70488000115,-29590.234960000384,-0.8877070488000115,0.0,-27.96906588134783,-27.96906588134783,0.8877070488000115,2,-69590.56745200047,1,18.0,18.666666666666668,0.04856664637798085
SM-AG,3,8.0,-108285.34595799909,-36095.11531933303,-1.0828534595799908,0.0,-24.666052545388094,-24.666052545388094,1.0828534595799908,3,-108285.34595799909,0,22.666666666666668,5.666666666666667,0.05924314910159348
RB-SM,6,13.833333333333334,-127690.28928599755,-21281.714880999592,-1.2769028928599755,0.16666666666666666,4.213416290184564,34.21904135948432,1.2769028928599755,4,-120693.80790199831,1,24.333333333333332,23.666666666666668,0.06985963594677091
