trade_id,pair,symbol_x,symbol_y,direction,beta,z_score_open,open_date,close_date,holding_days,lots_x,lots_y,theoretical_ratio,actual_ratio,open_price_x,open_price_y,close_price_x,close_price_y,margin_occupied,gross_pnl,y_pnl,x_pnl,open_commission,close_commission,net_pnl,return_on_margin,close_reason
1,PB-HC,PB,HC,open_short,0.19605375908213604,2.061311840192871,2024-07-03,2024-07-04,1,1,5,0.19605375908213604,0.2,19432.103,3809.04,19469.971,3807.58,34522.5018,262.3400000000129,73.00000000000182,189.34000000001106,57.52250300000001,57.545771,147.27172600001288,0.004265963308603923,signal
2,AU-SF,AU,SF,open_long,7.887796643167524,-2.1233798049613193,2024-07-09,2024-07-16,7,71,9,7.887796643167524,7.888888888888889,561.412,6754.448,575.881,6683.138,4820949.8592,-1030507.9499999955,-3208.950000000018,-1027298.9999999955,8032.840432,8237.658442,-1046778.4488739956,-0.21713116283016073,stop_loss
3,NI-AG,NI,AG,open_long,0.05916331386594356,-2.6056566100943948,2024-07-19,2024-07-22,3,1,10,0.05916331386594356,0.1,130237.373,7707.598,128780.004,7629.091,154314.84876,-10318.680999999935,-11776.049999999941,1457.369000000006,257.2754146,254.62873080000003,-10830.585145399935,-0.07018498370331382,signal
4,SS-AG,SS,AG,open_long,0.5653395277321005,-2.3764668821030637,2024-07-19,2024-07-23,4,4,7,0.5653395277321005,0.5714285714285714,13821.818,7707.598,14062.388,7561.565,130286.29800000001,-20144.865000000067,-15333.465000000037,-4811.400000000031,217.14683,215.042417,-20577.05424700007,-0.15793720876926035,stop_loss
5,SS-I,SS,I,open_long,0.05445511257510527,-2.27894908338764,2024-07-23,2024-07-24,1,1,10,0.05445511257510527,0.1,14032.388,766.16,14095.068,764.127,100187.63279999999,-2346.400000000008,-2033.0000000000155,-313.39999999999236,167.264388,166.920468,-2680.5848560000077,-0.02675564619189214,signal
6,SS-RB,SS,RB,open_long,0.24288375551202207,-2.632240422854456,2024-07-23,2024-07-25,2,1,4,0.24288375551202207,0.25,14032.388,3410.07,13800.203,3338.731,24782.368800000004,-1692.6349999999911,-2853.5599999999977,1160.9250000000065,41.312948000000006,40.510051000000004,-1774.457998999991,-0.0716016299055315,signal
7,NI-AG,NI,AG,open_long,0.05816866700679149,-2.4780232284359007,2024-07-25,2024-07-29,4,1,10,0.05816866700679149,0.1,124650.437,7253.009,127398.975,7327.14,145461.81444,8371.112000000046,11119.650000000047,-2748.5380000000005,242.52035739999997,245.29399500000008,7883.297647600047,0.054194962973267084,signal
8,SS-HC,SS,HC,open_long,0.25577799326799333,-2.6046691323211855,2024-07-23,2024-07-30,7,1,4,0.25577799326799333,0.25,14032.388,3591.419,13925.019,3456.01,25652.844000000005,-4879.514999999983,-5416.359999999986,536.845000000003,42.763740000000006,41.573099000000006,-4963.851838999984,-0.19350103399841292,stop_loss
9,SF-AG,SF,AG,open_long,1.137664680740981,-2.692654115414185,2024-07-25,2024-07-30,5,8,7,1.137664680740981,1.1428571428571428,6746.897,7253.009,6609.207,7291.743,123764.019,9574.670000000024,4067.0700000000397,5507.599999999984,206.28836500000003,206.00025900000003,9162.381376000023,0.07403105886533971,signal
10,AU-ZN,AU,ZN,open_long,3.2148007270053345,-2.606341562103656,2024-07-25,2024-07-31,6,29,9,3.2148007270053345,3.2222222222222223,556.66,22557.403,568.068,22792.864,2059427.7761999997,-320236.25500000035,10595.745000000134,-330832.00000000047,3431.6446270000006,3499.930176,-327167.8298030003,-0.1588634637174223,stop_loss
11,CU-SN,CU,SN,open_long,3.4165513363593827,-2.0602504937865924,2024-07-23,2024-08-02,10,24,7,3.4165513363593827,3.4285714285714284,74721.285,248017.753,73856.675,250008.098,1284728.2165200002,117685.61500000008,13932.415000000008,103753.20000000007,2140.5356942000003,2122.5715372000004,113422.50776860007,0.08828521574456627,signal
12,SS-ZN,SS,ZN,open_long,1.677277779611014,-3.0760740828923647,2024-07-23,2024-08-02,10,5,3,1.677277779611014,1.6666666666666667,14032.388,23085.169,14162.533,22877.667,83668.4682,-6366.154999999972,-3112.530000000006,-3253.6249999999654,139.41744700000004,139.445666,-6645.018112999971,-0.07942081713646063,signal
13,NI-AG,NI,AG,open_long,0.05359148731540821,-2.836930079628232,2024-08-06,2024-08-07,1,1,10,0.05359148731540821,0.1,128854.973,6906.854,129446.125,6949.775,139735.56876,5846.997999999903,6438.149999999905,-591.1520000000019,232.97661460000003,234.382475,5379.638910399903,0.03849870836851563,signal
14,SS-AG,SS,AG,open_long,0.5047239871252232,-2.2043165092387134,2024-08-06,2024-08-07,1,1,2,0.5047239871252232,0.5,13932.579,6906.854,13930.368,6949.775,33222.4218,1298.6849999999777,1287.629999999981,11.054999999996653,55.373703000000006,55.629017999999995,1187.6822789999776,0.035749419056499296,signal
15,PB-RB,PB,RB,open_short,0.1881663727664768,2.506985132684576,2024-08-02,2024-08-07,5,1,5,0.1881663727664768,0.2,18046.442,3396.338,17169.398,3336.609,31214.8932,-1398.7699999999768,2986.4500000000135,-4385.21999999999,52.00982200000001,50.535488,-1501.3153099999768,-0.04809612194988951,signal
16,PB-HC,PB,HC,open_short,0.19585500264176198,2.5456262336746547,2024-08-02,2024-08-07,5,1,5,0.19585500264176198,0.2,18046.442,3534.968,17169.398,3499.471,32046.673199999997,-2610.369999999998,1774.8499999999922,-4385.21999999999,53.396122,52.164108,-2715.930229999998,-0.08474920978693035,signal
17,SS-ZN,SS,ZN,open_long,1.5996775052664405,-2.4323649736009973,2024-08-05,2024-08-08,3,8,5,1.5996775052664405,1.6,14091.052,22120.045,13868.249,21764.091,134024.18459999998,13.27000000004773,-8898.849999999948,8912.119999999995,223.32864100000003,219.76644699999997,-429.8250879999523,-0.003207071091555459,signal
18,SF-AG,SF,AG,open_long,1.0642858273009224,-2.673441554291564,2024-08-06,2024-08-08,2,11,10,1.0642858273009224,1.1,6961.632,6906.854,6526.489,6925.164,170255.7432,26679.364999999925,2746.4999999999236,23932.865,283.78357200000005,279.54629900000003,26116.035128999923,0.15339297599095572,signal
19,RB-AG,RB,AG,open_long,2.1893568209116365,-2.326595332979811,2024-08-06,2024-08-12,6,11,5,2.1893568209116365,2.2,3332.229,6906.854,3256.888,7194.792,106159.7088,29882.859999999993,21595.350000000006,8287.509999999987,176.91184800000002,179.573416,29526.374735999994,0.278131647776336,signal
20,NI-AG,NI,AG,open_short,0.05599187998955785,2.072043886780424,2024-08-12,2024-08-13,1,1,10,0.05599187998955785,0.1,128534.353,7194.792,128528.045,7155.869,144980.77836,5832.142000000098,5838.450000000103,-6.30800000000454,241.5506306,240.38167900000002,5350.209690400098,0.036902889823884504,signal
21,PB-HC,PB,HC,open_long,0.19510680761651283,-2.0436424304545246,2024-08-09,2024-08-14,5,1,5,0.19510680761651283,0.2,17680.839,3449.601,17055.031,3257.285,31297.1094,-6486.760000000009,-9615.800000000014,3129.0400000000045,52.176849000000004,49.627881,-6588.56473000001,-0.21051671724034712,stop_loss
22,PB-RB,PB,RB,open_long,0.18142457332762885,-2.420504780651909,2024-08-12,2024-08-14,2,1,6,0.18142457332762885,0.16666666666666666,17959.829,3256.888,17055.031,3122.528,34212.891,-3537.609999999995,-8061.600000000008,4523.9900000000125,57.04248500000001,54.525366999999996,-3649.1778519999953,-0.10666090310812948,signal
23,CU-ZN,CU,ZN,open_short,0.3132207986391567,2.08665683241474,2024-08-09,2024-08-15,6,3,10,0.3132207986391567,0.3,71852.399,22518.501,72874.503,22828.387,264481.32420000003,-162.7400000000489,-15494.29999999993,15331.559999999881,440.74220700000006,446.90737900000005,-1050.389586000049,-0.003971507588209696,signal
