pair,direction,open_date,close_date,holding_days,net_pnl,gross_pnl,open_commission,close_commission,total_commission,return_pct,close_reason,margin_released
RB-SM,long,2024-09-13,2024-09-23,10,-33588.406495999734,-32806.559999999736,394.14454399999994,387.7019520000002,781.8464960000001,-0.14203083195116586,stop_loss,236486.72639999996
SM-AG,short,2024-09-13,2024-09-30,17,-39273.78164900009,-38805.555000000095,224.784559,243.44208999999987,468.22664899999984,-0.29119572554062084,stop_loss,134870.73539999998
AU-SS,long,2024-09-23,2024-09-30,7,-25049.786116000712,-24648.40000000071,197.90501799999998,203.48109799999997,401.38611599999996,-0.21095798352454037,signal,118743.01079999997
SM-NI,long,2024-09-30,2024-10-08,8,-45072.13574400071,-44454.760000000715,312.78336299999984,304.592381,617.3757439999998,-0.24016694980033584,stop_loss,187670.0177999999
AL-I,short,2024-09-30,2024-10-08,8,-41777.35152499981,-41283.37499999981,250.0046049999999,243.97191999999984,493.97652499999975,-0.27851054666906255,stop_loss,150002.76299999992
ZN-I,short,2024-09-30,2024-10-08,8,-62647.11893000051,-61896.75000000052,380.08206999999976,370.2868599999999,750.3689299999996,-0.2747087356247409,stop_loss,228049.24199999982
SN-I,short,2024-09-30,2024-10-08,8,-50841.359103599985,-50244.36999999999,302.90835479999987,294.08074879999987,596.9891035999997,-0.2797400506233908,stop_loss,181745.0128799999
SF-I,short,2024-09-30,2024-10-08,8,-29122.754494000095,-28560.390000000094,286.289408,276.07508600000006,562.364494,-0.16954145979674817,stop_loss,171773.64479999998
AU-I,short,2024-09-30,2024-10-08,8,-28715.565680000254,-28252.200000000255,234.36225999999988,229.00341999999998,463.3656799999999,-0.20421067851681318,stop_loss,140617.3559999999
AG-I,short,2024-09-30,2024-10-08,8,-39571.42794600042,-38908.17000000042,337.2183959999998,326.0395499999999,663.2579459999997,-0.19557764550306664,stop_loss,202331.03759999987
PB-I,short,2024-09-30,2024-10-08,8,-45304.33973599982,-44648.43999999982,333.03126399999996,322.868472,655.899736,-0.22672716064679455,stop_loss,199818.75839999996
SN-SF,short,2024-09-30,2024-10-08,8,-26651.224625399827,-25929.10499999983,363.09677220000003,359.0228532000001,722.1196254000001,-0.12233297321776554,stop_loss,217858.06332
SS-I,short,2024-09-30,2024-10-08,8,-44117.615568000256,-43573.20000000026,275.82566399999996,268.589904,544.4155679999999,-0.26657910730163403,stop_loss,165495.39839999995
NI-I,short,2024-09-30,2024-10-08,8,-63000.99335100059,-62253.925000000585,379.1215829999998,367.94676799999996,747.0683509999998,-0.27696037443745597,stop_loss,227472.94979999986
SF-NI,long,2024-09-30,2024-10-09,9,-31134.634474800332,-30638.370000000334,249.24918240000002,247.01529240000008,496.26447480000013,-0.2081894791322716,stop_loss,149549.50944
CU-I,short,2024-09-30,2024-10-09,9,-31430.46924299914,-31018.72499999914,210.00888899999998,201.73535399999997,411.744243,-0.24943761025752856,stop_loss,126005.33339999997
RB-I,short,2024-09-30,2024-10-09,9,-27033.033739998988,-26566.799999998988,237.75883000000005,228.47491000000002,466.23374000000007,-0.18949898194456813,stop_loss,142655.298
SS-SF,short,2024-09-27,2024-10-14,17,-11538.594476999271,-10855.54499999927,335.5631369999998,347.48633999999987,683.0494769999997,-0.05730960488368184,signal,201337.88219999985
AU-RB,short,2024-09-30,2024-10-15,15,-30507.512040000438,-29745.000000000437,381.28732,381.22472000000016,762.5120400000002,-0.13335311911238154,stop_loss,228772.392
AU-HC,short,2024-09-30,2024-10-16,16,-43603.55004000103,-42829.40000000103,385.02876000000003,389.12127999999984,774.1500399999999,-0.18874585732245486,stop_loss,231017.256
SS-RB,short,2024-09-27,2024-10-17,20,-29560.68104000055,-28860.20000000055,349.0294759999998,351.45156399999996,700.4810399999998,-0.14115656447690475,stop_loss,209417.68559999988
PB-NI,short,2024-10-09,2024-10-17,8,-27010.07073400106,-26411.81000000106,303.11413799999997,295.14659599999993,598.260734,-0.14851430175344854,stop_loss,181868.48279999997
SS-HC,short,2024-09-27,2024-10-17,20,-19854.665336002254,-19141.680000002252,354.309772,358.67556399999984,712.9853359999998,-0.0933959814502014,signal,212585.8632
PB-SS,short,2024-10-10,2024-10-18,8,-25655.985219999988,-24989.399999999987,332.99513,333.59009000000015,666.5852200000002,-0.1284102123855885,signal,199797.07799999998
RB-SM,long,2024-10-08,2024-10-25,17,-28105.165530000362,-27418.430000000364,346.769358,339.966172,686.7355299999999,-0.13508097376354863,stop_loss,208061.6148
AG-SF,long,2024-10-21,2024-10-25,4,-45744.491729999594,-45136.7699999996,303.09171000000015,304.6300199999999,607.72173,-0.25154373093872906,stop_loss,181855.02600000007
SM-AG,short,2024-10-21,2024-10-25,4,-42506.232959000154,-41897.98500000015,303.68470300000007,304.56325599999985,608.2479589999999,-0.23328050737653908,stop_loss,182210.82180000003
SM-I,short,2024-09-30,2024-11-01,32,-20059.465600000174,-19668.000000000175,201.2551799999999,190.21041999999997,391.4655999999999,-0.16611966294068542,time_stop,120753.10799999995
SN-SF,short,2024-10-25,2024-11-04,10,-30645.76634080015,-30178.18800000015,233.2351115999999,234.34322919999997,467.57834079999986,-0.2189905151256263,stop_loss,139941.06695999994
HC-SM,long,2024-10-08,2024-11-07,30,-19180.13742800069,-18663.78000000069,256.68383200000005,259.6735959999999,516.357428,-0.12453801809119976,time_stop,154010.2992
SS-NI,long,2024-10-29,2024-11-07,9,-15247.262827598739,-14799.825999998739,222.30766519999997,225.12916239999998,447.43682759999996,-0.11431051956666662,signal,133384.59911999997
AU-AL,long,2024-10-17,2024-11-07,21,-20550.94539599925,-20137.29999999925,205.25136799999996,208.39402799999996,413.6453959999999,-0.16687623567994325,signal,123150.82079999996
AU-SM,long,2024-10-17,2024-11-07,21,-21846.263609999416,-21474.149999999416,184.35178999999997,187.76182,372.11361,-0.19750521191033207,signal,110611.07399999996
AU-SF,long,2024-10-21,2024-11-07,17,-19282.465079999696,-18906.099999999697,189.0629300000001,187.30215,376.36508000000015,-0.16998277663421105,signal,113437.75800000006
AG-I,short,2024-11-07,2024-11-08,1,-31299.47022999964,-30752.79999999964,275.137435,271.532795,546.67023,-0.18959900428186396,stop_loss,165082.46099999998
SM-NI,long,2024-10-25,2024-11-08,14,-8126.920447999434,-7527.829999999434,296.56634799999995,302.52410000000003,599.0904479999999,-0.04567230066619828,signal,177939.80879999997
AU-SS,long,2024-10-23,2024-11-14,22,-29189.976585999746,-28783.449999999746,207.64454800000004,198.88203800000005,406.52658600000007,-0.2342944298092827,stop_loss,124586.72880000003
SM-SF,long,2024-11-04,2024-11-18,14,-15843.394655999637,-15232.319999999636,309.3593519999999,301.71530399999995,611.0746559999998,-0.08535593829405037,signal,185615.6111999999
AU-AL,long,2024-11-22,2024-11-26,4,-20865.764739999748,-20453.619999999748,207.46060800000012,204.6841320000001,412.1447400000002,-0.16762832665884325,signal,124476.36480000005
AU-RB,long,2024-11-22,2024-11-26,4,-20377.990499999538,-19997.499999999538,191.6791000000001,188.81140000000005,380.4905000000001,-0.17718842325532214,signal,115007.46000000005
AU-HC,long,2024-11-22,2024-11-26,4,-20154.142939999987,-19766.899999999987,195.07838000000007,192.16456000000005,387.2429400000001,-0.17218842105072488,signal,117047.02800000002
AL-SM,short,2024-11-28,2024-12-04,6,-23565.412218000005,-23052.480000000003,256.491645,256.440573,512.9322179999999,-0.1531265746687383,signal,153894.98699999996
CU-AL,short,2024-11-07,2024-12-06,29,-13729.059656999298,-13410.744999999297,162.14683399999996,156.16782300000006,318.314657,-0.14111756320199775,signal,97288.10039999997
PB-SS,long,2024-11-13,2024-12-25,42,19287.93365800028,19706.37000000028,210.00724599999992,208.4290959999999,418.43634199999985,0.15307355678892692,time_stop,126004.34759999994
SS-NI,short,2024-11-26,2025-01-03,38,-7661.380597999129,-7100.189999999129,284.78896600000013,276.40163199999995,561.1905980000001,-0.04483659547165137,time_stop,170873.37960000007
PB-SM,long,2024-12-04,2025-01-03,30,-8931.875000000498,-8360.120000000497,292.61559200000005,279.13940800000023,571.7550000000003,-0.05087377002567301,time_stop,175569.35520000002
ZN-SM,long,2024-12-05,2025-01-06,32,-2587.608449999915,-2165.8699999999153,215.03709400000005,206.70135599999998,421.73845000000006,-0.020055520049019348,time_stop,129022.25640000001
SM-AG,short,2025-01-07,2025-01-10,3,-26505.33134999884,-25930.22999999884,283.7890019999999,291.312348,575.1013499999999,-0.15566336940005196,stop_loss,170273.40119999993
CU-SM,long,2025-01-07,2025-01-10,3,-19948.815348000408,-19403.340000000408,269.36742800000013,276.1079199999999,545.475348,-0.12343001463414004,signal,161620.45680000007
CU-SF,long,2025-01-07,2025-01-10,3,-8779.047688000064,-8228.440000000064,273.05108800000016,277.55659999999995,550.607688,-0.053586111865874586,signal,163830.6528000001
AG-SF,long,2025-01-07,2025-01-14,7,-36396.73423799901,-35818.34999999901,288.20939400000003,290.17484400000006,578.3842380000001,-0.21047621969601155,stop_loss,172925.6364
AU-I,long,2025-01-03,2025-01-14,11,-12202.421319999656,-11702.999999999656,247.86376000000013,251.55756000000008,499.4213200000002,-0.08205059451476926,signal,148718.25600000005
RB-AG,short,2025-01-07,2025-01-14,7,-21476.46986499977,-20985.02499999977,245.78985499999982,245.65500999999998,491.4448649999998,-0.14562894160813233,signal,147473.91299999988
HC-AG,short,2025-01-03,2025-01-14,11,-9310.315368000334,-8923.500000000335,193.1243339999999,193.69103400000003,386.8153679999999,-0.08034819827521356,signal,115874.60039999994
RB-NI,short,2025-01-08,2025-01-16,8,-11145.531854401159,-10770.582000001159,184.39441739999995,190.55543700000007,374.94985440000005,-0.10073996103529509,signal,110636.65043999995
RB-SF,short,2025-01-09,2025-01-16,7,-16473.166139999666,-15930.899999999667,267.01640000000015,275.24974000000014,542.2661400000003,-0.10282243674920129,signal,160209.84000000008
SN-SF,short,2025-01-15,2025-01-20,5,-19492.81232599978,-19038.969999999783,227.05390599999998,226.78841999999995,453.84232599999996,-0.14308505462721693,signal,136232.34359999996
AU-HC,long,2025-01-03,2025-02-05,33,36263.79159999943,36659.79999999943,193.35898,202.64942,396.0084,0.31257742809082734,time_stop,116015.38799999999
PB-RB,short,2025-01-17,2025-02-05,19,-27461.770518000805,-26944.120000000807,258.4410570000001,259.20946099999986,517.6505179999999,-0.1770988637072527,stop_loss,155064.63420000006
PB-HC,short,2025-01-14,2025-02-05,22,-20421.939258000297,-19899.880000000296,258.822417,263.23684099999997,522.059258,-0.13150547709320135,signal,155293.45019999996
RB-NI,long,2025-01-24,2025-02-06,13,-15384.144857398822,-15017.590999998822,182.46369759999993,184.09015979999998,366.5538573999999,-0.1405224259195219,signal,109478.21855999995
AG-SF,long,2025-02-05,2025-02-07,2,-29997.151755000225,-29497.975000000224,247.58821500000005,251.58853999999985,499.1767549999999,-0.20192904951069812,stop_loss,148552.929
RB-SM,short,2025-01-10,2025-02-11,32,17132.114156000196,17675.620000000195,266.22374399999984,277.2821000000001,543.505844,0.10725385784272373,time_stop,159734.24639999992
HC-SM,short,2025-02-06,2025-02-11,5,-40086.11821600039,-39617.12000000039,240.5717639999999,228.42645200000015,468.99821600000007,-0.27771420849982775,stop_loss,144343.05839999992
CU-SM,short,2025-01-15,2025-02-11,27,-13410.373616999177,-13124.444999999178,142.21141400000008,143.717203,285.9286170000001,-0.15716475960922954,signal,85326.84840000003
AL-SM,short,2025-01-14,2025-02-11,28,4738.939452000175,5260.110000000175,257.41116299999993,263.7593850000001,521.170548,0.030683332952426368,signal,154446.69779999994
PB-SM,short,2025-01-14,2025-02-12,29,-26456.196858000756,-25949.490000000755,251.2650419999999,255.44181600000002,506.7068579999999,-0.1754866537701702,stop_loss,150759.02519999995
SM-NI,long,2025-01-14,2025-02-12,29,6875.061361200056,7233.204000000056,180.11859180000002,178.024047,358.1426388,0.06361606254796455,signal,108071.15508
SS-SM,short,2025-01-14,2025-02-12,29,-1409.4457599999075,-967.1799999999075,221.50035799999998,220.76540199999997,442.26575999999994,-0.010605293318155781,signal,132900.21479999996
SM-SF,long,2025-01-14,2025-02-12,29,-936.4404279995908,-372.679999999591,282.39563,281.3647979999999,563.7604279999998,-0.005526764159438249,signal,169437.378
ZN-SM,short,2025-01-14,2025-02-13,30,1140.860084000151,1564.000000000151,212.3115619999999,210.8283540000001,423.13991599999997,0.008955863992624134,time_stop,127386.93719999991
ZN-I,short,2025-01-14,2025-02-13,30,15747.266420999566,16111.814999999566,181.20761099999996,183.34096799999998,364.5485789999999,0.14483632276902147,time_stop,108724.56659999996
SS-AG,short,2025-02-05,2025-02-26,21,-11752.921950000236,-11375.270000000237,190.15347600000004,187.498474,377.65195000000006,-0.10301259625672261,signal,114092.0856
RB-AG,short,2025-02-05,2025-02-26,21,-21283.69763500074,-20776.175000000738,254.75373499999998,252.7689,507.522635,-0.13924360870182298,signal,152852.24099999998
AG-NI,long,2025-02-05,2025-02-28,23,-25098.757422600127,-24756.729000000127,171.52025040000004,170.50817219999988,342.0284225999999,-0.24388526878573286,signal,102912.15024000002
AU-RB,long,2025-02-05,2025-03-10,33,19784.467679999932,20186.599999999933,200.7316199999999,201.40069999999992,402.1323199999998,0.16426964919627463,time_stop,120438.97199999994
AU-SF,long,2025-02-05,2025-03-10,33,24756.1259,25150.1,197.14885999999998,196.82523999999995,393.9740999999999,0.2092845468816474,time_stop,118289.31599999998
AU-I,long,2025-02-05,2025-03-10,33,41597.048319999965,42115.99999999996,261.51424,257.43744,518.9516799999999,0.2651037812192048,time_stop,156908.54399999997
AU-SM,long,2025-02-11,2025-03-14,31,25435.11940999996,25841.54999999996,203.77685000000005,202.65374000000006,406.4305900000001,0.20803082235952344,time_stop,122266.11000000003
CU-SF,long,2025-02-11,2025-03-14,31,28955.442136000507,29236.690000000508,140.651273,140.59659099999996,281.24786399999994,0.3431115069016653,time_stop,84390.7638
AG-SF,long,2025-02-14,2025-03-17,31,26463.31764500057,26958.825000000572,249.18039499999995,246.32695999999999,495.50735499999996,0.17700240586075924,time_stop,149508.23699999994
SN-SF,long,2025-02-14,2025-03-17,31,60472.635684400935,60937.346000000936,230.4170231999999,234.2932924,464.71031559999994,0.43741440949519345,time_stop,138250.21391999992
RB-SF,long,2025-02-20,2025-03-24,32,-6809.140539999506,-6300.699999999506,259.29792000000015,249.14261999999994,508.44054000000006,-0.04376651986512595,time_stop,155578.75200000007
PB-HC,long,2025-03-05,2025-04-07,33,-277.7389300002966,239.32999999970343,263.78401,253.28491999999997,517.06893,-0.0017548380459723885,time_stop,158270.406
CU-SM,long,2025-03-17,2025-04-07,21,-27495.164597999872,-27218.839999999873,142.34345300000004,133.98114500000008,276.32459800000015,-0.3219345418717626,stop_loss,85406.07180000002
SS-SF,long,2025-03-10,2025-04-08,29,-20544.03841999978,-20094.17999999978,228.700408,221.15801200000007,449.8584200000001,-0.14971579776688884,signal,137220.2448
RB-SN,short,2025-03-10,2025-04-09,30,22769.362701999293,23291.213999999294,267.0301275999999,254.82117039999991,521.8512979999998,0.14211481744678425,time_stop,160218.07655999993
PB-RB,long,2025-03-10,2025-04-09,30,-378.63617400087617,76.76999999912368,234.36188999999996,221.0442839999999,455.40617399999985,-0.002692674521448263,time_stop,140617.13399999996
SS-NI,long,2025-04-07,2025-04-09,2,-15766.075185799275,-15344.320999999274,212.0302738,209.72391199999998,421.75418579999996,-0.1239294347236377,signal,127218.16427999998
SM-I,long,2025-04-08,2025-04-15,7,-26709.694694000395,-26209.530000000395,249.35289999999992,250.81179400000005,500.16469399999994,-0.1785267298809599,signal,149611.73999999993
AL-I,long,2025-04-08,2025-05-08,30,5062.431524999509,5537.874999999509,239.33615,236.107325,475.44347500000003,0.03525328653861601,time_stop,143601.69
RB-SM,long,2025-05-06,2025-05-08,2,-31739.17807199866,-31197.42999999866,269.12201100000004,272.626061,541.7480720000001,-0.1965600283805763,stop_loss,161473.2066
SS-SM,long,2025-05-06,2025-05-08,2,-29186.97809999893,-28649.44999999893,266.33359500000023,271.19450500000005,537.5281000000002,-0.18264674233079076,stop_loss,159800.15700000012
