pair,symbol_x,symbol_y,pvalue_1y,beta_1y,halflife_1y,pvalue_2y,beta_2y,halflife_2y,pvalue_3y,beta_3y,halflife_3y,pvalue_4y,beta_4y,halflife_4y,pvalue_5y,beta_5y,halflife_5y,volatility_x,volatility_y,volatility_period,r_squared_5y,residual_mean,residual_std,residual_skew,residual_kurt,jarque_bera_pvalue
AG-NI,AG,NI,1.0284950438864611e-05,-0.216854,4.769469688723807,0.0024371110746079223,-0.354011,23.369403231331532,0.0020217922330694844,-0.626428,29.292231579360617,0.0007944763725744067,-0.586443,32.02286093820111,0.001130316947998416,-0.429572,49.561988170809165,0.2813219673266603,0.3342078345941181,all available data,0.22106377644512698,-2.5145035965218246e-13,0.16896910139879837,0.11284494597074793,0.536401249361893,0.00013777571127959179
AU-ZN,AU,ZN,5.593669648791317e-05,-0.306369,8.49744315770569,0.04534397843523751,0.169532,43.836871928589765,0.020556961497878924,0.047652,49.51670826845147,0.005451918121189148,-0.033979,46.5587883251764,0.000319492571838775,0.042925,48.845974731470506,0.13940118881903446,0.20517948821568555,all available data,0.011109942860296984,-9.573576499456572e-14,0.0919057473971454,-0.334928153080902,0.5370943432707436,3.944603606972449e-09
AU-CU,AU,CU,0.00011539158815509332,0.177991,7.259192990107022,0.028934265270277697,0.26234,36.83783278129305,0.0008835210833946178,0.33529,27.45657507347342,0.0031201051921201377,0.238977,41.34589787708648,0.0006528307593939815,0.310442,70.08728218906694,0.13940118881903446,0.17816168597538068,all available data,0.3362231328953509,-9.277658006924737e-14,0.09899070029797791,-1.2129146599737315,1.472250479324975,1.5974087201974478e-92
SF-NI,SF,NI,0.0001498232568656089,0.290517,5.084060686349519,0.0006047589492564242,0.760246,19.138728190430694,0.0025606868756419036,1.304932,21.126314127682335,0.028109994199466186,0.570649,59.73579765718709,0.011165977886998925,0.643684,59.30090267429122,0.2919390138344788,0.3342078345941181,all available data,0.406437164689214,-1.513145869625626e-13,0.14749921006333375,-0.0798156316548709,0.8783194017546867,8.219540006071908e-10
AU-NI,AU,NI,0.00018511479767530778,-0.154743,5.052566440232315,0.0030154634872669563,-0.3398,24.553568902250344,0.00915639161094628,-0.647011,37.96208598243899,0.01258738121571064,-0.535352,40.83462851725071,0.012396285827133756,-0.32267,69.7878221663379,0.13940118881903446,0.3342078345941181,all available data,0.14629787689439944,-2.904230647858178e-13,0.1768925427817924,0.3222398916131596,-0.09449631155404825,1.4556858847375965e-05
SS-NI,SS,NI,0.00028964891571524803,0.829148,4.8250215107018795,0.0004828756272103258,1.493442,15.206514714461266,3.957141157630208e-05,1.875827,16.610475590047038,0.02306057537390799,1.012713,58.806725865554434,0.034297132867917274,1.122253,71.17413971870778,0.21703405908514983,0.3342078345941181,all available data,0.5358295459359566,-3.849055113436955e-14,0.13043528470736063,-0.21994768631743125,0.00858630632921109,0.006210470211588368
CU-SN,CU,SN,0.00044872239307061743,0.977974,7.000764048172718,1.6018265414181127e-05,1.427682,9.542608449592068,6.782859094096484e-05,1.481296,18.19817496111559,0.020464204343397716,1.493543,67.11965565444994,0.009860841027471765,1.556979,68.207386345793,0.17816168597538068,0.2895085948655372,all available data,0.7100270752382569,-2.3423661599418477e-13,0.12089471389157068,0.9562123172560063,1.3808290449064495,3.702299305449221e-64
RB-SM,RB,SM,0.0006321049413292098,1.046174,7.262201899159647,0.04326407666602421,0.675481,51.64697201945273,0.013144696222948058,0.72968,43.67461847058083,0.00011765015121937411,0.740047,35.93282873546266,0.0008209616773543058,0.625369,45.496382316861826,0.22741934347301562,0.2723224052101931,all available data,0.5479438473454223,6.534173554962128e-14,0.09036816798320077,0.9047102080077141,1.9504279895475403,2.0286863077718025e-81
SM-NI,SM,NI,0.0007116704624138509,0.332254,6.023389497641074,0.00117391612816833,0.551087,25.46916240180067,0.027830868827785644,1.216865,51.29738975791962,0.03111776484455119,0.6884,61.41704051792814,0.007710217879825164,0.776019,60.06451730392979,0.2723224052101931,0.3342078345941181,all available data,0.2968043210552901,-1.299024380127126e-13,0.16054413361384784,0.32753962440101764,-0.24032739499557954,2.814405317272371e-06
PB-AL,PB,AL,0.0011965660043485062,0.146506,11.300428444475282,0.011884814730877935,0.4698,28.74253181999286,0.002491624489149318,0.615243,17.40943808348408,0.00483917424689684,0.240196,44.0619799927745,0.007723283340250797,0.800776,77.34671153658942,0.15357745304054454,0.18420873144958447,all available data,0.19511206196543707,5.04569930810595e-15,0.1040082185527383,-0.3983136314927361,1.297983385072392,3.618939689126516e-27
AU-PB,AU,PB,0.0012648828321840165,-0.025439,7.0807514692479865,0.04174605810853518,0.074987,42.6267065756526,0.03023259917512183,0.192662,53.27232691525474,0.004487309149273121,0.197381,35.936592000196434,0.00013024435813879912,0.212647,26.237848390788972,0.13940118881903446,0.15357745304054454,all available data,0.5694952366120125,-4.8889287679938004e-14,0.041958509147781584,1.3794480955425943,3.2287840154917538,2.394024509425876e-206
AU-AL,AU,AL,0.0015037489557252863,0.032935,10.909208727226693,0.004075143188189505,0.154629,22.258431689606766,0.0006756689103904764,0.182713,15.345272331470566,0.004188856955830423,0.050495,42.86866418024448,0.00287583565639979,0.169969,78.16834017569553,0.13940118881903446,0.18420873144958447,all available data,0.1107062480958998,3.507176912203177e-14,0.10932577603183596,-0.6412190537158761,1.2930509700427324,1.5476542269007952e-38
AU-SS,AU,SS,0.0027689229567446276,-0.184136,9.937102641407495,0.001894409829540963,-0.249277,19.810442966812264,0.0013209214080191218,-0.35281,25.12678320767138,0.0022723595710643896,-0.479974,31.907645995897887,0.004403562071231604,-0.368362,47.04561925315049,0.13940118881903446,0.21703405908514983,all available data,0.4481530530351733,6.645830270581572e-15,0.09276583829123784,0.3231551847846756,0.5232719677309055,1.3073488209688906e-08
SM-I,SM,I,0.002882667378858566,0.68258,9.260512057493889,0.03369967128814795,0.434084,39.19220453621281,0.00421619357756266,0.248868,36.715042125439105,0.0003193019180930624,-0.027062,30.40387559872934,0.002860328137490853,0.004289,49.51372781207329,0.2723224052101931,0.37454281023994035,all available data,1.6309010439807814e-05,1.1575643442021886e-13,0.14274039388661514,0.34161981242163386,0.3314337352056369,2.6661810335664676e-07
AU-SM,AU,SM,0.0029153625957132755,-0.295045,9.774330330156639,0.012569767132590282,-0.266747,44.11841925485958,0.0012333666501855869,-0.278145,37.24355921234071,0.00013864856688576113,-0.437415,40.52072366001517,0.0002291899975987029,-0.352047,49.99343732104422,0.13940118881903446,0.2723224052101931,all available data,0.353343841699146,-4.547050566760022e-14,0.10808265257875281,1.2957426146343825,3.196772008853375,8.618405368818353e-194
HC-I,HC,I,0.0034233297992068545,1.014575,10.827090734760898,0.0015492915729195447,1.018742,19.843431542645174,0.003180865973277352,0.736555,39.39418414324748,0.0010579397618758419,0.20798,35.20962850876267,0.00571466595636427,0.408372,53.820921305225895,0.2211169537350894,0.37454281023994035,all available data,0.2186983229222813,1.862862597865012e-13,0.12617107710658673,-0.7635307851609294,1.095063828974224,5.557180077877247e-41
RB-NI,RB,NI,0.004510684906620747,0.405988,7.354635332595529,0.008885597186159479,0.648034,34.55112233196851,0.03170575306260401,1.35846,59.740836819738085,0.026800381265899002,0.583851,68.01361400971072,0.049391720787937785,0.396355,92.00932604086256,0.22741934347301562,0.3342078345941181,all available data,0.10848187752400384,2.570134581349391e-13,0.18076794961026973,0.5636189021946183,-0.5551888075412612,1.0004151688884908e-18
