pair,symbol_x,symbol_y,pvalue_1y,beta_1y,halflife_1y,pvalue_2y,beta_2y,halflife_2y,pvalue_3y,beta_3y,halflife_3y,pvalue_4y,beta_4y,halflife_4y,pvalue_5y,beta_5y,halflife_5y,volatility_x,volatility_y,volatility_period,r_squared_5y,residual_mean,residual_std,residual_skew,residual_kurt,jarque_bera_pvalue
AU-ZN,AU,ZN,5.593669648791317e-05,-0.306369,8.49744315770569,0.04534397843523751,0.169532,43.836871928589765,0.020556961497878924,0.047652,49.51670826845147,0.005451918121189148,-0.033979,46.5587883251764,0.000319492571838775,0.042925,48.845974731470506,0.14883455332099976,0.1728653045555482,2024-01-01 to latest,0.011109942860296984,-9.573576499456572e-14,0.0919057473971454,-0.334928153080902,0.5370943432707436,3.944603606972449e-09
AU-CU,AU,CU,0.00011539158815509332,0.177991,7.259192990107022,0.028934265270277697,0.26234,36.83783278129305,0.0008835210833946178,0.33529,27.45657507347342,0.0031201051921201377,0.238977,41.34589787708648,0.0006528307593939815,0.310442,70.08728218906694,0.14883455332099976,0.15251240993423965,2024-01-01 to latest,0.3362231328953509,-9.277658006924737e-14,0.09899070029797791,-1.2129146599737315,1.472250479324975,1.5974087201974478e-92
AU-NI,AU,NI,0.00018511479767530778,-0.154743,5.052566440232315,0.0030154634872669563,-0.3398,24.553568902250344,0.00915639161094628,-0.647011,37.96208598243899,0.01258738121571064,-0.535352,40.83462851725071,0.012396285827133756,-0.32267,69.7878221663379,0.14883455332099976,0.20628958609099912,2024-01-01 to latest,0.14629787689439944,-2.904230647858178e-13,0.1768925427817924,0.3222398916131596,-0.09449631155404825,1.4556858847375965e-05
ZN-SM,ZN,SM,0.0002880136237956781,0.684857,7.854380168021939,0.10730911871445459,0.255918,64.98191167940898,0.056026972169687266,0.359764,69.11417343351079,0.019446877981155776,0.824504,70.1965428318482,0.005528736344070991,0.65803,67.93541562943302,0.1728653045555482,0.2694723267212363,2024-01-01 to latest,0.204734298883555,-1.4210854715202005e-15,0.11986031421108176,0.6233609423137294,2.436644236950145,3.93186896662732e-86
SS-NI,SS,NI,0.00028964891571524803,0.829148,4.8250215107018795,0.0004828756272103258,1.493442,15.206514714461266,3.957141157630208e-05,1.875827,16.610475590047038,0.02306057537390799,1.012713,58.806725865554434,0.034297132867917274,1.122253,71.17413971870778,0.12197395517172488,0.20628958609099912,2024-01-01 to latest,0.5358295459359566,-3.849055113436955e-14,0.13043528470736063,-0.21994768631743125,0.00858630632921109,0.006210470211588368
CU-SN,CU,SN,0.00044872239307061743,0.977974,7.000764048172718,1.6018265414181127e-05,1.427682,9.542608449592068,6.782859094096484e-05,1.481296,18.19817496111559,0.020464204343397716,1.493543,67.11965565444994,0.009860841027471765,1.556979,68.207386345793,0.15251240993423965,0.2425340350822569,2024-01-01 to latest,0.7100270752382569,-2.3423661599418477e-13,0.12089471389157068,0.9562123172560063,1.3808290449064495,3.702299305449221e-64
RB-SM,RB,SM,0.0006321049413292098,1.046174,7.262201899159647,0.04326407666602421,0.675481,51.64697201945273,0.013144696222948058,0.72968,43.67461847058083,0.00011765015121937411,0.740047,35.93282873546266,0.0008209616773543058,0.625369,45.496382316861826,0.17577879038420638,0.2694723267212363,2024-01-01 to latest,0.5479438473454223,6.534173554962128e-14,0.09036816798320077,0.9047102080077141,1.9504279895475403,2.0286863077718025e-81
NI-AG,NI,AG,0.0007138072457013729,-1.221637,8.070460402159842,0.03924243387150247,-1.009621,39.54859080436454,0.0019330211137372057,-1.002635,31.349703048023887,0.005568441392669665,-0.869512,45.16216003813697,0.00826989635171223,-0.514614,76.2046917416978,0.20628958609099912,0.2555525402215319,2024-01-01 to latest,0.2210637764451271,-2.9470605849859396e-14,0.1849397720323283,0.08949745739564938,-0.5180597564469362,0.0003759108165485503
AU-SN,AU,SN,0.0009443981730318944,0.164708,7.967600653528771,0.009193859983621589,0.416983,26.630129817930886,0.0008002643553138184,0.543276,25.793401068208244,0.07776694092983563,0.174607,99.60197470717226,0.028229977210820743,0.386594,130.65431467564454,0.14883455332099976,0.2425340350822569,2024-01-01 to latest,0.15271662115084295,5.062476011589174e-14,0.2066535788086824,0.3057341034947042,0.3691364555462582,1.5279690265352078e-06
RB-SN,RB,SN,0.0010231736817775362,-0.216324,8.234794496493224,0.002226843300938454,-0.81051,18.793500984415388,0.0014188703998754967,-0.994236,26.995644937173026,0.0867414889346505,0.149518,106.74486112194604,0.036971788147509184,0.039754,149.20698748860525,0.17577879038420638,0.2425340350822569,2024-01-01 to latest,0.0007936248080675501,-8.278386794411326e-14,0.22441722374536588,-0.3203889884083893,-0.5984424310850502,1.72307358809362e-09
