交易序号,配对,品种X,品种Y,方向,开仓日期,开仓Z值,开仓Beta,开仓价格X,开仓价格Y,平仓日期,平仓Z值,平仓价格X,平仓价格Y,平仓原因,手数X,手数Y,乘数X,乘数Y,持仓天数,毛盈亏,手续费,净盈亏,收益率,保证金
1,SS-HC,SS,HC,long,2024-07-08,-2.1895,0.861869,14236.66,3710.71,2024-07-11,-0.1684,13894.79,3707.32,signal,12,27,5,10,3,-23016.33,738.15,-23754.48,-10.67%,222730.82
2,SS-HC,SS,HC,long,2024-07-23,-3.5880,0.861127,14047.39,3588.42,2024-08-26,N/A,13816.68,3349.15,time_stop,12,27,5,10,34,47340.24,709.00,46631.24,21.45%,217405.97
3,ZN-I,ZN,I,long,2024-08-15,-2.2451,0.661344,22813.39,706.71,2024-08-26,N/A,24146.99,751.53,stop_loss,6,15,5,100,11,-32623.47,719.23,-33342.70,-15.93%,209335.27
4,NI-I,NI,I,long,2024-08-15,-2.3554,0.564139,129677.32,706.71,2024-08-26,-0.3806,131490.43,751.53,stop_loss,3,10,1,100,11,-42561.69,448.35,-43010.04,-32.71%,131488.56
5,AL-I,AL,I,short,2024-09-30,2.0266,0.664493,20487.08,819.83,2024-10-08,N/A,20640.48,782.05,stop_loss,5,9,5,100,8,-41283.37,493.98,-41777.35,-27.85%,150002.76
6,SF-I,SF,I,short,2024-09-30,2.3734,0.751016,6795.76,819.83,2024-10-08,N/A,6648.03,782.05,stop_loss,18,10,5,100,8,-28560.39,562.36,-29122.75,-16.95%,171773.64
7,PB-I,PB,I,short,2024-09-30,3.6562,0.675423,17034.04,819.83,2024-10-08,N/A,16896.97,782.05,stop_loss,8,12,5,100,8,-44648.44,655.90,-45304.34,-22.67%,199818.76
8,SS-I,SS,I,short,2024-09-30,2.6926,0.691445,13982.48,819.83,2024-10-08,N/A,14022.41,782.05,stop_loss,8,10,5,100,8,-43573.20,544.42,-44117.62,-26.66%,165495.40
9,PB-SM,PB,SM,short,2024-09-30,2.7017,0.897053,17034.04,6652.24,2024-10-08,N/A,16896.97,6343.02,stop_loss,10,30,5,5,8,-42829.70,729.17,-43558.87,-19.63%,221944.55
10,SS-RB,SS,RB,short,2024-09-30,2.6130,0.849210,13982.48,3552.87,2024-10-16,N/A,14059.21,3460.99,stop_loss,9,21,5,10,16,-33811.94,729.28,-34541.22,-15.70%,220050.41
