交易ID,配对,品种X,品种Y,入场日期,出场日期,持仓天数,入场动作,退出动作,Beta,入场Z_Score,出场Z_Score,入场价格X,入场价格Y,出场价格X,出场价格Y,手数X,手数Y,乘数X,乘数Y,保证金,原始盈亏,原始收益率%,触发止损,止损后盈亏,止损后收益率%,入场价差,出场价差
1,AG0-AL0,AG0,AL0,2024-10-08,2024-11-18,29,open_short,close_normal,0.529629711591968,2.514791208919164,-0.0077527275256959,7675.0,20610.0,7685.0,20530.0,2,1,15,5,39996.0,566.7,1.4168916891689172,False,566.7,1.4168916891689172,16561.68085266642,16228.438109528322
2,AG0-AL0,AG0,AL0,2024-12-17,2025-02-06,5,open_long,close_timeout,0.5787581052133529,-2.365063497080758,-0.8483119264695815,7714.0,19940.0,8045.0,20320.0,5,3,15,5,105318.0,-19482.165,-18.49841907366262,True,-15797.7,-15.0,15458.723702068555,15415.190565023058
3,AG0-AL0,AG0,AL0,2025-03-28,2025-05-15,30,open_long,close_timeout,0.6598960558658125,-2.7839302140769058,-0.541758385792515,8509.0,20595.0,8011.0,20170.0,3,2,15,5,70662.6,17929.79,25.373804530260703,False,17929.79,25.373804530260703,14962.964772470204,14557.659615012268
4,AG0-PB0,AG0,PB0,2024-08-02,2024-09-13,5,open_long,close_timeout,1.1604822064569111,-2.910752426111446,-1.820632162384724,7495.0,18180.0,7427.0,16700.0,4,5,15,5,108504.0,-33273.464,-30.66565656565657,True,-16275.6,-15.0,9463.70441598608,7869.891276021441
5,AG0-PB0,AG0,PB0,2025-03-28,2025-05-15,30,open_long,close_timeout,1.4152533576432649,-2.781106537607686,-0.8654380607497806,8509.0,17465.0,8011.0,16960.0,3,4,15,5,87864.6,12023.62,13.684259644953714,False,12023.62,13.684259644953714,5403.36341974053,5083.819345563974
6,AG0-PB0,AG0,PB0,2025-06-03,2025-07-15,5,open_long,close_timeout,1.5140469622796435,-2.2488153249789686,-2.173056513940677,8453.0,16585.0,9228.0,16915.0,2,3,15,5,60283.8,-18506.586,-30.699103241666915,True,-9042.57,-15.0,3767.218886963332,2302.0980598854803
7,AG0-ZN0,AG0,ZN0,2024-10-21,2024-11-12,16,open_short,close_normal,-1.946942405724687,2.31069178157486,0.2504820869734991,8346.0,25215.0,7578.0,24865.0,1,2,15,5,45280.8,14872.068,32.84409286055016,False,14872.068,32.84409286055016,41473.34049096106,39557.02357933932
8,AG0-ZN0,AG0,ZN0,2025-01-15,2025-02-14,16,open_long,close_normal,-1.9196183455592704,-2.4514119826645886,0.2631526015414235,7686.0,23610.0,8257.0,24110.0,1,2,15,5,42166.8,13421.731,31.830091446351155,False,13421.731,31.830091446351155,38354.945459005234,39901.798470540176
9,AG0-ZN0,AG0,ZN0,2025-04-07,2025-05-22,30,open_long,close_timeout,-1.890938698534694,-4.238276973892938,-0.7173896139484837,7614.0,22640.0,8304.0,22230.0,1,2,15,5,40873.2,6112.506,14.95480167934001,False,6112.506,14.95480167934001,37028.28006673877,37783.65682612329
10,AG0-ZN0,AG0,ZN0,2025-07-14,2025-08-01,14,open_short,close_normal,-1.8438453711944764,2.31594177136479,0.1625135064533564,9210.0,22235.0,8915.0,22335.0,1,2,15,5,43260.0,3281.485,7.585494683310218,False,3281.485,7.585494683310218,39226.28433258754,38651.19170869418
