,open,high,low,close,volume,open_interest,symbol
2020-01-02,4384.173,4386.431,4245.268,4357.265,427039.0,753612.0,AG
2020-01-03,4365.105,4464.816,4364.577,4434.588,1214066.0,792744.0,AG
2020-01-06,4441.075,4533.257,4406.946,4500.821,1184517.0,801518.0,AG
2020-01-07,4515.182,4521.688,4388.376,4427.265,1282841.0,783782.0,AG
2020-01-08,4415.003,4595.647,4409.75,4519.335,1326755.0,783018.0,AG
2020-01-09,4471.169,4480.524,4315.424,4340.682,1469444.0,768553.0,AG
2020-01-10,4364.04,4368.922,4323.944,4330.528,749149.0,773280.0,AG
2020-01-13,4333.924,4385.927,4317.622,4344.237,944145.0,771624.0,AG
2020-01-14,4348.991,4355.34,4245.646,4263.879,799881.0,758171.0,AG
2020-01-15,4271.216,4317.166,4263.39,4299.503,613863.0,746848.0,AG
2020-01-16,4293.694,4338.971,4276.854,4311.068,683956.0,758943.0,AG
2020-01-17,4325.053,4338.315,4301.592,4328.339,489058.0,772191.0,AG
2020-01-20,4334.35,4356.428,4303.463,4324.311,562456.0,776699.0,AG
2020-01-21,4322.618,4372.114,4316.604,4363.345,401738.0,775409.0,AG
2020-01-22,4342.028,4343.267,4256.562,4280.16,729280.0,730030.0,AG
2020-01-23,4286.773,4309.846,4278.105,4281.581,400640.0,717126.0,AG
2020-02-03,4352.339,4371.095,4320.982,4330.325,318106.0,716539.0,AG
2020-02-04,4338.257,4340.508,4289.863,4312.468,206375.0,719548.0,AG
2020-02-05,4294.877,4320.999,4270.758,4311.578,261832.0,744877.0,AG
2020-02-06,4297.528,4305.749,4285.136,4298.38,197756.0,757425.0,AG
2020-02-07,4323.49,4340.785,4305.673,4311.819,222567.0,767606.0,AG
2020-02-10,4325.367,4327.905,4304.309,4306.227,152227.0,778567.0,AG
2020-02-11,4312.008,4317.957,4301.116,4312.694,158253.0,779804.0,AG
2020-02-12,4287.208,4291.185,4231.04,4251.515,389413.0,796946.0,AG
2020-02-13,4255.232,4288.591,4253.888,4279.587,193097.0,786789.0,AG
2020-02-14,4282.727,4298.162,4275.616,4290.994,169932.0,777692.0,AG
2020-02-17,4300.249,4335.325,4299.149,4330.465,243872.0,777961.0,AG
2020-02-18,4329.188,4360.353,4327.808,4337.303,241596.0,762945.0,AG
2020-02-19,4409.312,4456.406,4406.045,4442.094,423487.0,772934.0,AG
2020-02-20,4457.299,4487.692,4433.443,4457.149,435269.0,764527.0,AG
2020-02-21,4481.907,4525.268,4474.704,4513.645,439106.0,744422.0,AG
2020-02-24,4548.123,4586.062,4529.3,4547.954,465934.0,717500.0,AG
2020-02-25,4504.992,4527.44,4438.127,4450.307,614099.0,661599.0,AG
2020-02-26,4391.99,4434.3,4382.789,4405.103,541305.0,678697.0,AG
2020-02-27,4381.935,4470.767,4376.528,4391.4,465290.0,692420.0,AG
2020-02-28,4352.251,4359.55,4132.908,4168.86,1077717.0,668221.0,AG
2020-03-02,4085.635,4130.699,4067.444,4100.748,659122.0,676108.0,AG
2020-03-03,4079.821,4122.856,4060.085,4077.774,484175.0,691934.0,AG
2020-03-04,4171.415,4182.945,4144.786,4162.122,527492.0,684282.0,AG
2020-03-05,4155.375,4163.031,4135.028,4153.92,248006.0,681042.0,AG
2020-03-06,4207.997,4220.554,4168.856,4183.618,446104.0,691261.0,AG
2020-03-09,4177.996,4190.382,3959.512,4006.413,1045050.0,726503.0,AG
2020-03-10,4038.985,4108.77,4010.405,4093.788,643621.0,705363.0,AG
2020-03-11,4094.994,4119.47,4081.906,4098.389,339792.0,700171.0,AG
2020-03-12,4077.986,4089.893,3960.206,4004.861,635526.0,700943.0,AG
2020-03-13,3802.263,3849.102,3771.851,3796.807,652576.0,688804.0,AG
2020-03-16,3583.495,3598.733,3568.074,3568.074,348939.0,695923.0,AG
2020-03-17,3218.807,3219.277,3218.719,3218.657,41097.0,689742.0,AG
2020-03-18,3114.878,3146.966,2954.629,3011.46,988000.0,681234.0,AG
2020-03-19,2951.383,2995.424,2866.769,2946.459,992804.0,684670.0,AG
2020-03-20,2976.304,3143.404,2974.007,3143.387,937852.0,706923.0,AG
2020-03-23,3119.871,3169.772,3078.776,3132.645,878417.0,679367.0,AG
2020-03-24,3347.226,3347.42,3250.567,3347.42,449914.0,677363.0,AG
2020-03-25,3542.422,3563.568,3466.67,3547.839,859350.0,675599.0,AG
2020-03-26,3544.94,3551.159,3490.966,3523.427,598084.0,691915.0,AG
2020-03-27,3524.279,3596.438,3519.738,3574.64,565598.0,698042.0,AG
2020-03-30,3513.841,3520.136,3355.331,3373.93,745672.0,696403.0,AG
2020-03-31,3396.11,3454.003,3396.028,3443.116,414610.0,687772.0,AG
2020-04-01,3418.425,3431.929,3395.33,3412.388,317859.0,686673.0,AG
2020-04-02,3404.234,3506.722,3390.953,3500.772,445044.0,671721.0,AG
2020-04-03,3540.605,3572.07,3521.292,3560.888,413965.0,664865.0,AG
2020-04-07,3783.837,3805.418,3713.59,3773.25,457978.0,674512.0,AG
2020-04-08,3674.014,3726.12,3648.666,3700.632,423079.0,671813.0,AG
2020-04-09,3704.438,3715.835,3681.919,3709.447,246881.0,671799.0,AG
2020-04-10,3775.526,3787.306,3731.861,3737.032,221720.0,679093.0,AG
2020-04-13,3754.663,3764.735,3649.549,3714.867,511045.0,676211.0,AG
2020-04-14,3736.957,3826.422,3725.915,3788.604,511794.0,676885.0,AG
2020-04-15,3801.86,3840.946,3712.347,3719.867,447901.0,680149.0,AG
2020-04-16,3722.667,3797.491,3694.542,3788.754,441880.0,667908.0,AG
2020-04-17,3772.181,3779.387,3636.919,3694.291,620761.0,674473.0,AG
2020-04-20,3647.925,3734.323,3628.545,3687.872,490593.0,653736.0,AG
2020-04-21,3694.525,3738.521,3675.955,3708.921,488346.0,642392.0,AG
2020-04-22,3646.801,3647.824,3547.635,3560.952,625737.0,646637.0,AG
2020-04-23,3639.918,3740.558,3621.071,3709.85,554654.0,607872.0,AG
2020-04-24,3682.225,3735.573,3673.986,3725.79,359842.0,592138.0,AG
2020-04-27,3719.248,3748.818,3679.988,3686.096,381710.0,573637.0,AG
2020-04-28,3694.232,3696.101,3597.712,3614.136,528439.0,566197.0,AG
2020-04-29,3663.22,3694.881,3646.379,3677.337,291527.0,544637.0,AG
2020-04-30,3694.869,3720.531,3662.45,3712.506,337036.0,537561.0,AG
2020-05-06,3620.14,3709.406,3609.133,3686.181,309210.0,536376.0,AG
2020-05-07,3678.944,3684.632,3653.652,3665.915,477878.0,536193.0,AG
2020-05-08,3688.313,3811.846,3682.901,3794.857,970596.0,595312.0,AG
2020-05-11,3779.183,3828.4,3641.953,3800.645,1082985.0,581883.0,AG
2020-05-12,3795.669,3814.164,3758.849,3780.442,619120.0,560320.0,AG
2020-05-13,3792.428,3828.107,3775.246,3805.242,670622.0,559588.0,AG
2020-05-14,3827.975,3844.778,3763.865,3817.064,729049.0,557410.0,AG
2020-05-15,3813.52,4017.825,3798.095,3989.115,1470155.0,638454.0,AG
2020-05-18,4076.032,4234.309,4017.51,4234.309,1488910.0,639278.0,AG
2020-05-19,4231.296,4248.821,4124.656,4176.213,1555808.0,601205.0,AG
2020-05-20,4189.879,4331.799,4183.3,4315.914,1602364.0,656272.0,AG
2020-05-21,4277.525,4314.396,4178.022,4203.595,1366630.0,624145.0,AG
2020-05-22,4217.899,4236.293,4091.159,4140.27,1736048.0,593388.0,AG
2020-05-25,4186.372,4239.659,4143.922,4158.235,1414798.0,589521.0,AG
2020-05-26,4184.581,4308.551,4171.16,4278.467,1302154.0,645583.0,AG
2020-05-27,4277.93,4301.309,4186.132,4216.874,1487485.0,616278.0,AG
2020-05-28,4179.798,4301.294,4140.84,4283.315,1759697.0,667670.0,AG
2020-05-29,4279.333,4340.398,4257.745,4298.474,1671789.0,672780.0,AG
2020-06-01,4365.771,4514.776,4363.988,4507.8,1657399.0,708133.0,AG
2020-06-02,4469.662,4498.36,4423.959,4474.69,1294939.0,697141.0,AG
2020-06-03,4472.422,4488.52,4343.466,4382.046,1743192.0,677132.0,AG
2020-06-04,4326.121,4350.043,4277.664,4294.103,1563354.0,662670.0,AG
2020-06-05,4349.487,4361.237,4303.95,4319.525,1181909.0,650657.0,AG
2020-06-08,4230.528,4328.382,4207.591,4305.29,1236991.0,666957.0,AG
2020-06-09,4305.983,4322.769,4255.557,4290.841,1001081.0,670362.0,AG
2020-06-10,4311.998,4340.764,4302.336,4326.608,787069.0,689638.0,AG
2020-06-11,4375.198,4398.365,4274.075,4357.582,1309273.0,677747.0,AG
2020-06-12,4352.944,4388.632,4228.47,4290.471,1566011.0,668494.0,AG
2020-06-15,4296.755,4321.095,4161.696,4184.43,1608046.0,687306.0,AG
2020-06-16,4145.645,4244.879,4136.6,4216.568,1328990.0,661306.0,AG
2020-06-17,4232.99,4273.823,4204.793,4254.125,1248466.0,654911.0,AG
2020-06-18,4259.386,4279.233,4238.418,4256.378,744322.0,649009.0,AG
2020-06-19,4243.853,4289.56,4216.686,4282.16,847422.0,655036.0,AG
2020-06-22,4309.708,4394.7,4287.554,4358.254,1300237.0,653876.0,AG
2020-06-23,4376.953,4381.902,4302.818,4316.841,1083750.0,620154.0,AG
2020-06-24,4346.56,4372.048,4330.728,4351.31,827118.0,602090.0,AG
2020-06-29,4360.42,4371.029,4325.066,4331.777,329838.0,595097.0,AG
2020-06-30,4316.766,4345.927,4298.534,4341.858,637894.0,579811.0,AG
2020-07-01,4315.455,4449.404,4299.621,4432.65,1302662.0,651088.0,AG
2020-07-02,4427.009,4429.588,4330.354,4353.965,1309203.0,600063.0,AG
2020-07-03,4330.494,4394.998,4308.767,4373.288,1058775.0,610617.0,AG
2020-07-06,4371.254,4391.536,4353.313,4376.208,606023.0,604033.0,AG
2020-07-07,4414.486,4441.102,4373.073,4385.393,920504.0,605656.0,AG
2020-07-08,4367.026,4436.796,4360.195,4426.521,834760.0,627184.0,AG
2020-07-09,4454.113,4542.306,4451.874,4533.824,1318581.0,709135.0,AG
2020-07-10,4534.582,4552.714,4428.431,4448.058,1452916.0,652360.0,AG
2020-07-13,4486.997,4582.879,4462.745,4576.708,1157987.0,747542.0,AG
2020-07-14,4580.821,4641.08,4544.558,4573.509,1445944.0,720475.0,AG
2020-07-15,4588.701,4631.126,4571.73,4609.545,977502.0,717531.0,AG
2020-07-16,4617.526,4626.798,4571.946,4592.758,1031990.0,684169.0,AG
2020-07-17,4589.173,4617.697,4512.944,4542.707,997676.0,664175.0,AG
2020-07-20,4567.012,4613.767,4561.388,4598.708,871265.0,673651.0,AG
2020-07-21,4666.162,4863.644,4664.391,4849.191,1565634.0,778018.0,AG
2020-07-22,5001.09,5122.049,4962.154,5122.049,1004602.0,761052.0,AG
2020-07-23,5296.529,5443.819,5167.495,5399.93,2847921.0,686514.0,AG
2020-07-24,5340.125,5467.466,5306.469,5345.766,2282093.0,677452.0,AG
2020-07-27,5375.515,5799.701,5355.253,5718.026,3062502.0,708797.0,AG
2020-07-28,5729.196,5985.344,5651.005,5778.408,3030703.0,704859.0,AG
2020-07-29,5647.262,5823.072,5601.932,5751.618,3432520.0,701030.0,AG
2020-07-30,5766.611,5784.859,5518.134,5571.208,2477098.0,710452.0,AG
2020-07-31,5472.133,5760.227,5457.954,5725.329,3221672.0,729714.0,AG
2020-08-03,5736.542,5766.405,5616.073,5722.704,2519281.0,734649.0,AG
2020-08-04,5720.99,5770.482,5674.746,5731.4,1433092.0,748206.0,AG
2020-08-05,5727.362,6175.01,5718.258,6175.003,3801414.0,786151.0,AG
2020-08-06,6225.423,6530.474,6180.03,6474.405,3338988.0,765835.0,AG
2020-08-07,6564.296,6835.726,6509.962,6596.933,3653469.0,777312.0,AG
2020-08-10,6664.233,6708.612,6415.305,6637.344,3651886.0,786499.0,AG
