,open,high,low,close,volume,open_interest,symbol
2020-01-02,14077.715,14141.134,14064.829,14093.506,67720.0,348043.0,AL
2020-01-03,14070.551,14085.837,13973.729,14063.235,144205.0,338831.0,AL
2020-01-06,14062.456,14126.009,14033.976,14084.945,124344.0,332696.0,AL
2020-01-07,14085.267,14111.114,14028.162,14057.931,105740.0,334586.0,AL
2020-01-08,14043.806,14144.101,14005.091,14112.821,102311.0,335514.0,AL
2020-01-09,14090.094,14105.368,14023.594,14038.969,104297.0,331188.0,AL
2020-01-10,14035.354,14147.501,14029.436,14135.784,134919.0,332692.0,AL
2020-01-13,14106.986,14132.578,13963.634,13998.382,178727.0,323858.0,AL
2020-01-14,13969.458,14006.983,13947.344,13960.701,129026.0,321211.0,AL
2020-01-15,13947.675,14043.97,13934.171,14001.39,129178.0,322568.0,AL
2020-01-16,13968.164,14274.227,13934.875,14270.182,221624.0,322748.0,AL
2020-01-17,14265.679,14323.274,14183.801,14240.039,210685.0,332392.0,AL
2020-01-20,14248.159,14266.527,14135.083,14173.134,140427.0,330605.0,AL
2020-01-21,14188.324,14219.731,14074.295,14080.595,120190.0,321029.0,AL
2020-01-22,14092.409,14241.878,14059.659,14144.307,97711.0,316941.0,AL
2020-01-23,14126.939,14153.102,14037.633,14064.262,90424.0,310517.0,AL
2020-02-03,13637.36,13773.608,13490.565,13613.121,238174.0,289339.0,AL
2020-02-04,13556.78,13638.316,13524.024,13614.69,136923.0,284768.0,AL
2020-02-05,13586.477,13675.357,13566.847,13640.28,113979.0,291712.0,AL
2020-02-06,13690.562,13708.332,13652.777,13684.003,54551.0,289395.0,AL
2020-02-07,13698.321,13740.691,13682.566,13736.844,77704.0,293632.0,AL
2020-02-10,13692.498,13743.556,13665.608,13734.623,106139.0,304196.0,AL
2020-02-11,13703.563,13806.86,13688.943,13747.875,147911.0,307772.0,AL
2020-02-12,13780.066,13798.855,13733.219,13745.221,83202.0,311864.0,AL
2020-02-13,13750.431,13757.032,13707.857,13718.995,59527.0,310251.0,AL
2020-02-14,13747.96,13772.162,13687.663,13705.368,69775.0,313135.0,AL
2020-02-17,13681.553,13704.087,13635.164,13674.566,92113.0,327226.0,AL
2020-02-18,13671.606,13735.665,13660.018,13716.756,93304.0,314299.0,AL
2020-02-19,13723.184,13733.154,13684.843,13706.951,60425.0,323408.0,AL
2020-02-20,13712.807,13726.803,13665.523,13676.76,69857.0,337523.0,AL
2020-02-21,13674.239,13674.909,13590.708,13596.374,96417.0,358854.0,AL
2020-02-24,13594.395,13599.726,13484.863,13541.546,122033.0,358624.0,AL
2020-02-25,13547.809,13587.287,13469.325,13551.149,101415.0,356944.0,AL
2020-02-26,13536.684,13551.323,13502.996,13506.369,73744.0,354975.0,AL
2020-02-27,13499.028,13523.57,13431.729,13450.435,98266.0,365310.0,AL
2020-02-28,13440.707,13443.046,13119.869,13142.307,232812.0,381375.0,AL
2020-03-02,13257.376,13324.51,13195.46,13301.543,176084.0,397240.0,AL
2020-03-03,13356.545,13435.822,13302.955,13324.863,114081.0,398709.0,AL
2020-03-04,13350.763,13353.199,13150.146,13241.919,124086.0,405735.0,AL
2020-03-05,13245.626,13268.882,13192.653,13242.719,108522.0,406733.0,AL
2020-03-06,13217.472,13240.522,13089.09,13171.982,133518.0,412928.0,AL
2020-03-09,13035.363,13056.565,12838.201,12891.517,207962.0,420271.0,AL
2020-03-10,12960.854,13048.096,12911.336,12991.28,136881.0,425851.0,AL
2020-03-11,13013.109,13021.531,12934.861,12939.363,123333.0,430737.0,AL
2020-03-12,12873.079,12915.15,12836.664,12881.933,142760.0,430435.0,AL
2020-03-13,12853.534,13030.759,12758.436,12932.016,205662.0,427593.0,AL
2020-03-16,12952.194,13013.982,12794.886,12819.229,127190.0,434539.0,AL
2020-03-17,12859.626,12874.289,12721.037,12765.954,145415.0,420469.0,AL
2020-03-18,12693.09,12756.35,12260.729,12322.11,288409.0,422929.0,AL
2020-03-19,12412.279,12459.96,11762.354,11835.198,282057.0,426128.0,AL
2020-03-20,12022.053,12205.82,11888.819,12035.758,259181.0,434420.0,AL
2020-03-23,11740.441,11766.58,11323.002,11388.091,290394.0,443282.0,AL
2020-03-24,11324.356,11561.297,11232.803,11475.616,164424.0,444132.0,AL
2020-03-25,11486.111,11746.61,11454.036,11741.903,263723.0,450187.0,AL
2020-03-26,11683.737,11756.956,11610.761,11682.414,206100.0,447467.0,AL
2020-03-27,11702.865,11794.779,11607.561,11765.376,236958.0,452759.0,AL
2020-03-30,11719.484,11728.922,11514.439,11551.245,238904.0,456333.0,AL
2020-03-31,11575.061,11669.821,11546.443,11599.457,155453.0,459962.0,AL
2020-04-01,11617.935,11674.322,11460.389,11473.703,195304.0,463444.0,AL
2020-04-02,11409.518,11534.896,11256.443,11504.643,325227.0,466021.0,AL
2020-04-03,11561.114,11626.75,11464.371,11562.417,238181.0,464208.0,AL
2020-04-07,11560.335,11748.066,11545.474,11642.611,211751.0,467298.0,AL
2020-04-08,11594.277,11669.067,11538.683,11640.728,188877.0,469847.0,AL
2020-04-09,11645.213,11700.136,11620.778,11670.885,186743.0,467397.0,AL
2020-04-10,11674.572,11851.75,11669.374,11843.549,204637.0,466141.0,AL
2020-04-13,11868.979,11877.467,11742.799,11771.644,179524.0,458559.0,AL
2020-04-14,11787.759,11828.147,11751.448,11782.251,136252.0,450691.0,AL
2020-04-15,11829.739,12026.375,11798.006,11969.374,243524.0,436722.0,AL
2020-04-16,11943.916,12124.867,11889.341,12095.392,222562.0,419702.0,AL
2020-04-17,12149.673,12421.363,12100.079,12398.399,289359.0,427298.0,AL
2020-04-20,12348.383,12456.594,12263.417,12342.113,347801.0,442347.0,AL
2020-04-21,12295.784,12316.606,12024.915,12117.705,357307.0,450868.0,AL
2020-04-22,12093.144,12236.613,12049.877,12182.742,274355.0,443006.0,AL
2020-04-23,12299.19,12364.823,12197.686,12218.054,237392.0,448342.0,AL
2020-04-24,12179.779,12307.1,12175.359,12252.515,170114.0,441223.0,AL
2020-04-27,12323.62,12393.97,12266.309,12353.29,202468.0,451383.0,AL
2020-04-28,12327.045,12442.057,12306.147,12410.205,250839.0,455608.0,AL
2020-04-29,12427.847,12581.478,12408.386,12513.417,300146.0,458133.0,AL
2020-04-30,12533.318,12567.501,12440.906,12539.423,216080.0,459278.0,AL
2020-05-06,12471.925,12634.785,12455.767,12585.338,248147.0,464050.0,AL
2020-05-07,12582.043,12630.038,12428.719,12476.832,254460.0,481868.0,AL
2020-05-08,12505.598,12530.8,12354.648,12474.041,276434.0,509230.0,AL
2020-05-11,12469.391,12585.5,12418.551,12545.251,230032.0,499517.0,AL
2020-05-12,12549.328,12620.141,12434.733,12446.456,229136.0,503446.0,AL
2020-05-13,12427.064,12521.567,12315.644,12488.487,280692.0,508927.0,AL
2020-05-14,12484.863,12557.66,12398.509,12513.454,191320.0,507249.0,AL
2020-05-15,12488.898,12609.505,12452.053,12567.512,191472.0,509835.0,AL
2020-05-18,12535.693,12743.526,12482.12,12681.622,314859.0,507853.0,AL
2020-05-19,12708.623,12878.212,12687.655,12777.304,285787.0,504612.0,AL
2020-05-20,12766.639,12857.018,12711.956,12804.741,205334.0,512454.0,AL
2020-05-21,12805.664,12935.087,12615.158,12725.383,346821.0,511233.0,AL
2020-05-22,12735.0,12827.31,12675.753,12727.339,259134.0,515874.0,AL
2020-05-25,12713.503,12805.924,12686.87,12759.815,157342.0,514528.0,AL
2020-05-26,12757.399,12872.156,12747.532,12849.89,173432.0,518898.0,AL
2020-05-27,12864.157,12925.983,12799.462,12904.442,234604.0,516660.0,AL
2020-05-28,12931.573,13051.619,12885.141,13042.253,244171.0,525946.0,AL
2020-05-29,13025.438,13131.7,12994.072,13104.972,228171.0,517736.0,AL
2020-06-01,13106.6,13129.342,12976.429,13032.331,175797.0,512851.0,AL
2020-06-02,13002.155,13045.763,12896.483,12914.938,180098.0,515018.0,AL
2020-06-03,12916.754,13073.41,12909.209,13041.851,170504.0,512840.0,AL
2020-06-04,13054.41,13106.284,13013.42,13049.711,131474.0,509341.0,AL
2020-06-05,13051.328,13095.067,12973.546,13050.413,158571.0,509087.0,AL
2020-06-08,13086.669,13283.768,13065.282,13258.543,209086.0,499876.0,AL
2020-06-09,13279.451,13468.054,13263.014,13378.606,300372.0,493090.0,AL
2020-06-10,13331.93,13508.19,13228.763,13474.924,232821.0,481474.0,AL
2020-06-11,13564.937,13629.132,13259.772,13324.366,301204.0,467264.0,AL
2020-06-12,13306.301,13422.187,13221.614,13392.156,230951.0,465930.0,AL
2020-06-15,13371.454,13434.572,13227.11,13325.501,251963.0,462134.0,AL
2020-06-16,13329.099,13572.811,13311.715,13542.741,254133.0,463298.0,AL
2020-06-17,13547.725,13620.925,13468.569,13512.069,270811.0,459056.0,AL
2020-06-18,13518.739,13570.482,13439.527,13486.52,213709.0,458487.0,AL
2020-06-19,13474.27,13534.395,13414.599,13517.248,183826.0,451013.0,AL
2020-06-22,13517.521,13604.38,13432.276,13590.127,231840.0,457077.0,AL
2020-06-23,13607.826,13647.495,13524.069,13552.073,222509.0,452293.0,AL
2020-06-24,13559.389,13587.168,13490.478,13500.28,156409.0,442951.0,AL
2020-06-29,13510.926,13671.22,13493.36,13649.818,155646.0,449712.0,AL
2020-06-30,13674.083,13752.361,13630.35,13710.39,179849.0,446815.0,AL
2020-07-01,13712.045,13916.169,13701.49,13904.622,194978.0,448165.0,AL
2020-07-02,13872.013,13905.314,13782.042,13829.09,199506.0,440546.0,AL
2020-07-03,13833.809,13914.727,13797.974,13895.142,160596.0,439871.0,AL
2020-07-06,13887.488,13980.918,13847.314,13940.241,189729.0,434320.0,AL
2020-07-07,13956.551,14020.492,13834.598,13886.199,205502.0,428857.0,AL
2020-07-08,13866.081,13976.273,13783.532,13965.857,233130.0,430227.0,AL
2020-07-09,13997.828,14117.836,13950.627,14089.864,226572.0,429445.0,AL
2020-07-10,14088.489,14249.533,13999.384,14163.439,258549.0,427844.0,AL
2020-07-13,14188.764,14605.193,14182.332,14459.707,434625.0,422154.0,AL
2020-07-14,14411.329,14444.578,14170.161,14222.282,317268.0,415149.0,AL
2020-07-15,14223.085,14289.346,14157.043,14194.098,231696.0,406652.0,AL
2020-07-16,14187.173,14203.425,13750.518,13784.715,382712.0,399557.0,AL
2020-07-17,13802.209,13913.315,13753.46,13882.321,259391.0,395700.0,AL
2020-07-20,13862.361,14020.047,13844.319,13920.942,201620.0,398422.0,AL
2020-07-21,13909.091,13987.171,13877.825,13914.35,164957.0,399008.0,AL
2020-07-22,13985.285,14112.407,13956.033,14069.183,206171.0,386891.0,AL
2020-07-23,14008.212,14133.225,13941.406,14071.908,199336.0,379347.0,AL
2020-07-24,14064.958,14177.372,13993.184,14079.542,222791.0,376550.0,AL
2020-07-27,14075.263,14183.489,14033.342,14112.16,178970.0,377445.0,AL
2020-07-28,14052.757,14265.338,14026.827,14207.336,243100.0,374158.0,AL
2020-07-29,14217.913,14419.965,14203.035,14361.471,272171.0,384796.0,AL
