,open,high,low,close,volume,open_interest,symbol
2020-01-02,345.382,345.881,341.164,345.545,81773.0,221272.0,AU
2020-01-03,346.172,351.346,345.996,350.576,261168.0,239426.0,AU
2020-01-06,351.723,359.301,350.208,357.889,318462.0,242558.0,AU
2020-01-07,358.134,358.517,352.857,354.54,342069.0,244294.0,AU
2020-01-08,354.317,365.371,354.206,360.459,387910.0,252387.0,AU
2020-01-09,356.505,357.159,346.786,347.984,403154.0,248268.0,AU
2020-01-10,350.616,350.801,348.508,349.271,222621.0,252975.0,AU
2020-01-13,349.38,351.421,348.366,349.511,252481.0,256140.0,AU
2020-01-14,348.956,349.175,342.968,344.768,212867.0,263811.0,AU
2020-01-15,345.831,348.767,345.286,347.613,177342.0,269128.0,AU
2020-01-16,347.798,349.39,346.949,348.085,182750.0,269505.0,AU
2020-01-17,348.658,348.711,346.514,347.906,158333.0,269856.0,AU
2020-01-20,348.248,348.755,347.173,348.123,132885.0,272810.0,AU
2020-01-21,348.657,352.025,348.21,351.596,129680.0,277269.0,AU
2020-01-22,349.815,350.14,346.934,348.615,192705.0,269811.0,AU
2020-01-23,349.17,351.52,348.919,350.99,117459.0,270181.0,AU
2020-02-03,359.704,361.044,357.408,359.623,103908.0,270888.0,AU
2020-02-04,359.548,359.809,356.463,356.627,96021.0,275076.0,AU
2020-02-05,353.294,355.37,352.543,354.614,82678.0,275110.0,AU
2020-02-06,352.846,353.237,351.134,352.832,83213.0,275931.0,AU
2020-02-07,355.857,356.152,354.145,354.759,61470.0,277939.0,AU
2020-02-10,357.794,358.11,355.891,356.103,69370.0,279666.0,AU
2020-02-11,356.154,356.394,354.933,355.106,53842.0,280403.0,AU
2020-02-12,355.112,355.13,353.584,354.539,56015.0,279043.0,AU
2020-02-13,356.126,357.493,355.521,357.023,67033.0,281950.0,AU
2020-02-14,357.646,358.045,356.62,357.315,58424.0,284109.0,AU
2020-02-17,358.53,359.277,358.189,358.449,60512.0,286757.0,AU
2020-02-18,359.791,360.489,359.463,360.172,66939.0,291624.0,AU
2020-02-19,363.491,365.135,363.449,364.704,95708.0,294875.0,AU
2020-02-20,365.919,367.444,364.838,365.608,106403.0,296112.0,AU
2020-02-21,369.443,372.82,369.281,372.424,128961.0,298851.0,AU
2020-02-24,379.449,381.329,378.266,380.229,173763.0,295780.0,AU
2020-02-25,375.211,377.729,369.332,372.324,220618.0,283266.0,AU
2020-02-26,373.631,375.365,372.569,374.836,149966.0,287225.0,AU
2020-02-27,374.521,376.256,374.226,374.905,131509.0,288855.0,AU
2020-02-28,374.005,374.588,360.508,370.67,230280.0,285919.0,AU
2020-03-02,361.07,363.578,359.209,361.915,222208.0,280828.0,AU
2020-03-03,359.44,361.685,359.037,360.959,112731.0,284699.0,AU
2020-03-04,370.143,371.479,368.451,369.215,153471.0,286688.0,AU
2020-03-05,367.811,369.504,367.649,369.387,71900.0,289137.0,AU
2020-03-06,375.951,378.637,375.346,376.782,169737.0,293727.0,AU
2020-03-09,381.723,381.929,371.241,374.111,283779.0,293868.0,AU
2020-03-10,372.616,373.995,367.509,369.377,191789.0,295951.0,AU
2020-03-11,369.613,372.252,369.561,371.91,135264.0,295745.0,AU
2020-03-12,368.813,370.73,366.353,367.989,205888.0,294102.0,AU
2020-03-13,356.516,358.783,349.891,357.146,296366.0,289875.0,AU
2020-03-16,349.06,350.099,343.738,347.975,247187.0,290559.0,AU
2020-03-17,341.246,341.791,330.892,331.604,305261.0,287219.0,AU
2020-03-18,342.695,345.474,337.436,339.817,257924.0,286321.0,AU
2020-03-19,336.241,338.186,331.441,337.374,237217.0,280474.0,AU
2020-03-20,336.183,342.257,336.02,340.51,222716.0,279631.0,AU
2020-03-23,341.196,341.846,337.703,340.365,165953.0,277883.0,AU
2020-03-24,359.958,360.247,355.371,359.081,219018.0,280007.0,AU
2020-03-25,377.826,377.95,363.789,365.048,201478.0,277602.0,AU
2020-03-26,363.798,365.743,362.49,363.972,145205.0,273308.0,AU
2020-03-27,365.852,369.106,365.629,368.237,128617.0,273938.0,AU
2020-03-30,369.211,369.287,363.929,365.263,146934.0,271952.0,AU
2020-03-31,364.611,365.873,364.184,365.528,85613.0,265865.0,AU
2020-04-01,357.307,360.376,356.126,359.288,106609.0,263880.0,AU
2020-04-02,359.308,361.567,358.493,361.321,94222.0,263426.0,AU
2020-04-03,364.738,365.806,363.374,364.12,80034.0,259850.0,AU
2020-04-07,378.544,379.424,373.902,374.497,141220.0,265273.0,AU
2020-04-08,368.871,372.196,367.724,370.87,87754.0,265146.0,AU
2020-04-09,371.086,372.306,370.671,372.11,59104.0,268759.0,AU
2020-04-10,377.646,377.673,373.482,374.325,60328.0,270554.0,AU
2020-04-13,375.5,375.744,372.477,373.899,106663.0,271463.0,AU
2020-04-14,376.107,380.587,375.103,378.2,178669.0,283926.0,AU
2020-04-15,377.959,379.931,376.656,376.891,124222.0,280838.0,AU
2020-04-16,377.158,381.027,374.84,379.988,130042.0,286538.0,AU
2020-04-17,377.387,378.461,369.759,372.91,194412.0,275598.0,AU
2020-04-20,368.149,372.161,366.703,371.338,142181.0,269535.0,AU
2020-04-21,373.097,375.208,372.675,374.978,114783.0,265630.0,AU
2020-04-22,373.72,375.544,372.38,373.8,124346.0,260589.0,AU
2020-04-23,378.634,381.954,378.155,380.377,152500.0,259264.0,AU
2020-04-24,380.805,383.892,379.903,383.482,133762.0,261729.0,AU
2020-04-27,381.938,383.031,380.377,380.743,133932.0,246765.0,AU
2020-04-28,379.588,379.799,375.76,377.891,152775.0,241092.0,AU
2020-04-29,378.353,380.28,378.351,379.482,99590.0,236625.0,AU
2020-04-30,380.344,381.591,378.614,381.071,107070.0,231254.0,AU
2020-05-06,379.013,381.637,378.158,380.897,109711.0,227921.0,AU
2020-05-07,379.993,380.449,378.395,379.128,214250.0,224570.0,AU
2020-05-08,380.597,385.628,380.063,384.5,258489.0,230448.0,AU
2020-05-11,383.017,384.785,381.348,382.94,239202.0,223038.0,AU
2020-05-12,383.397,383.78,380.667,382.084,174492.0,221306.0,AU
2020-05-13,382.067,384.116,381.558,382.97,172217.0,224088.0,AU
