,open,high,low,close,volume,open_interest,symbol
2020-01-02,49228.21,49412.314,49212.822,49292.198,106425.0,311300.0,CU
2020-01-03,49190.474,49204.202,48828.322,48858.616,209999.0,293581.0,CU
2020-01-06,48617.965,48962.222,48515.317,48729.059,190723.0,293494.0,CU
2020-01-07,48672.058,48982.047,48662.793,48966.279,117651.0,296486.0,CU
2020-01-08,48850.877,48981.862,48623.764,48825.867,156825.0,296775.0,CU
2020-01-09,48878.482,49124.434,48796.092,48930.071,143074.0,300895.0,CU
2020-01-10,48879.678,49018.479,48829.255,48976.0,99977.0,303893.0,CU
2020-01-13,48892.316,49196.87,48703.277,48919.569,154839.0,301120.0,CU
2020-01-14,48848.097,49349.051,48807.36,49288.624,175361.0,306490.0,CU
2020-01-15,49285.736,49586.163,49168.202,49236.863,137045.0,304520.0,CU
2020-01-16,49238.499,49387.184,49158.261,49196.423,99414.0,298950.0,CU
2020-01-17,49422.459,49541.056,49130.531,49250.431,138830.0,296234.0,CU
2020-01-20,49308.321,49341.809,48980.582,49102.456,120433.0,294219.0,CU
2020-01-21,49057.885,49080.946,48321.97,48424.764,182528.0,283424.0,CU
2020-01-22,48471.137,48672.686,48310.583,48566.886,109248.0,277051.0,CU
2020-01-23,48370.86,48410.533,47990.985,48055.884,115273.0,270950.0,CU
2020-02-03,44809.845,45282.951,44803.94,45102.364,223455.0,269483.0,CU
2020-02-04,44836.109,45348.198,44786.877,45323.452,150702.0,289972.0,CU
2020-02-05,45147.208,45714.588,45077.393,45632.725,137455.0,306090.0,CU
2020-02-06,45755.314,46285.615,45719.443,46114.333,120240.0,312172.0,CU
2020-02-07,45928.69,46007.683,45688.313,45780.09,98933.0,315410.0,CU
2020-02-10,45427.33,45684.449,45378.309,45519.781,127012.0,328901.0,CU
2020-02-11,45749.285,45916.124,45565.913,45684.852,131185.0,336465.0,CU
2020-02-12,45726.223,45855.209,45614.643,45698.055,107318.0,338643.0,CU
2020-02-13,45720.565,45995.15,45713.491,45851.108,127544.0,349659.0,CU
2020-02-14,46000.481,46096.512,45957.853,46077.543,84997.0,352386.0,CU
2020-02-17,46013.902,46471.984,45987.042,46461.915,136452.0,360820.0,CU
2020-02-18,46451.728,46467.603,46249.3,46290.186,110157.0,341734.0,CU
2020-02-19,46286.719,46555.364,46242.479,46430.07,100488.0,346264.0,CU
2020-02-20,46436.323,46588.017,46264.54,46449.475,144088.0,351912.0,CU
2020-02-21,46310.667,46362.24,46017.989,46023.194,139967.0,357328.0,CU
2020-02-24,46008.691,46092.398,45757.802,46034.992,161623.0,360122.0,CU
2020-02-25,46038.265,46063.902,45714.433,45974.49,148704.0,363256.0,CU
2020-02-26,45733.961,45810.954,45611.05,45662.749,134177.0,364132.0,CU
2020-02-27,45645.386,45688.684,45471.501,45484.216,129291.0,363827.0,CU
2020-02-28,45392.825,45408.586,44311.553,44432.919,279256.0,368871.0,CU
2020-03-02,44571.004,45386.318,44503.719,45303.553,203194.0,369474.0,CU
2020-03-03,45704.0,46066.817,45560.926,45691.444,149584.0,365180.0,CU
2020-03-04,45448.842,45488.881,45287.215,45364.082,131766.0,368618.0,CU
2020-03-05,45308.914,45500.333,45284.503,45412.653,103212.0,373790.0,CU
2020-03-06,45177.209,45194.339,44946.458,44987.993,131424.0,383772.0,CU
2020-03-09,43926.652,44104.71,43479.34,43862.712,241535.0,392229.0,CU
2020-03-10,44246.957,44885.083,44212.189,44685.003,179274.0,394559.0,CU
2020-03-11,44578.829,44716.004,44230.191,44262.124,131538.0,402519.0,CU
2020-03-12,43740.208,43853.804,43172.103,43458.497,240984.0,410239.0,CU
2020-03-13,43290.259,43765.429,42756.079,43671.236,285639.0,404849.0,CU
2020-03-16,43380.78,43606.571,42639.955,42657.489,212673.0,410560.0,CU
2020-03-17,42846.113,43057.137,42166.056,42678.334,269525.0,375930.0,CU
2020-03-18,41728.573,41836.424,39988.999,39988.999,260776.0,384707.0,CU
2020-03-19,38251.883,38783.205,37608.378,37608.378,39289.0,374558.0,CU
2020-03-20,37995.976,39277.634,37609.361,38975.748,483920.0,357339.0,CU
2020-03-23,37096.519,37353.097,35342.222,37284.756,420250.0,353173.0,CU
2020-03-24,38171.437,38916.697,37598.181,38268.344,322936.0,348616.0,CU
2020-03-25,39173.549,39461.649,38609.304,39414.812,306167.0,344351.0,CU
2020-03-26,39374.736,39434.755,38874.697,38921.173,210117.0,343470.0,CU
2020-03-27,39199.202,39382.24,38776.151,39231.992,256800.0,341795.0,CU
2020-03-30,38667.311,38960.355,38332.688,38747.634,237377.0,342659.0,CU
