,open,high,low,close,volume,open_interest,symbol
2020-01-02,3599.242,3616.825,3564.617,3569.788,161080.0,341025.0,HC
2020-01-03,3569.222,3584.82,3554.654,3558.047,116835.0,332688.0,HC
2020-01-06,3556.431,3578.689,3547.201,3573.35,124303.0,333680.0,HC
2020-01-07,3571.328,3590.163,3568.545,3579.707,100861.0,332786.0,HC
2020-01-08,3581.632,3640.221,3578.205,3632.991,193288.0,349849.0,HC
2020-01-09,3638.457,3638.974,3575.495,3576.011,177245.0,346000.0,HC
2020-01-10,3572.931,3600.234,3572.896,3588.814,107423.0,345000.0,HC
2020-01-13,3584.219,3585.818,3547.94,3551.574,122048.0,331373.0,HC
2020-01-14,3566.085,3583.815,3536.697,3581.992,113187.0,332414.0,HC
2020-01-15,3582.756,3601.554,3558.78,3562.115,138327.0,334463.0,HC
2020-01-16,3549.265,3594.618,3549.009,3570.568,145413.0,326942.0,HC
2020-01-17,3573.188,3619.581,3561.304,3609.691,149937.0,351692.0,HC
2020-01-20,3620.183,3630.785,3599.318,3610.125,126447.0,352554.0,HC
2020-01-21,3619.417,3619.916,3549.571,3569.311,169758.0,326500.0,HC
2020-01-22,3556.514,3560.872,3493.844,3542.288,193978.0,311469.0,HC
2020-01-23,3518.122,3530.894,3481.223,3494.968,158251.0,306864.0,HC
2020-02-03,3218.991,3285.217,3218.669,3226.469,223078.0,295707.0,HC
2020-02-04,3214.804,3322.292,3207.081,3295.212,218276.0,281436.0,HC
2020-02-05,3294.012,3311.245,3270.373,3293.865,145462.0,290571.0,HC
2020-02-06,3288.701,3307.488,3269.735,3298.748,153534.0,306084.0,HC
2020-02-07,3299.188,3328.474,3283.525,3314.213,109894.0,314328.0,HC
2020-02-10,3297.44,3320.356,3276.024,3303.917,148906.0,328898.0,HC
2020-02-11,3298.681,3446.337,3297.87,3368.14,328570.0,330648.0,HC
2020-02-12,3374.901,3399.248,3359.28,3388.591,160813.0,337876.0,HC
2020-02-13,3380.088,3403.956,3370.31,3385.288,158568.0,338434.0,HC
2020-02-14,3380.857,3403.74,3364.797,3399.714,139418.0,343232.0,HC
2020-02-17,3393.858,3432.144,3383.547,3423.688,151580.0,347490.0,HC
2020-02-18,3418.643,3433.618,3400.05,3407.819,170609.0,353490.0,HC
2020-02-19,3406.527,3412.575,3384.563,3398.932,124314.0,361981.0,HC
2020-02-20,3396.321,3459.069,3395.074,3441.367,233631.0,357211.0,HC
