,open,high,low,close,volume,open_interest,symbol
2020-01-02,648.276,659.684,646.267,653.344,616606.0,740222.0,I
2020-01-03,653.808,667.738,652.4,663.438,671533.0,808145.0,I
2020-01-06,662.415,666.825,658.431,665.31,540121.0,800089.0,I
2020-01-07,664.676,666.368,660.398,663.939,416231.0,803635.0,I
2020-01-08,664.555,681.666,663.483,676.877,811832.0,846801.0,I
2020-01-09,675.833,676.5,653.841,654.908,776928.0,771222.0,I
2020-01-10,653.947,661.301,653.763,656.418,411096.0,774497.0,I
2020-01-13,656.359,660.553,649.19,654.595,657101.0,772738.0,I
2020-01-14,655.04,670.562,654.936,668.507,548251.0,798760.0,I
2020-01-15,667.81,668.574,660.679,661.188,484260.0,778561.0,I
2020-01-16,662.373,666.631,653.224,655.152,589449.0,771229.0,I
2020-01-17,656.488,666.458,655.663,665.341,491781.0,806111.0,I
2020-01-20,666.295,670.684,662.043,665.893,390607.0,789682.0,I
2020-01-21,665.901,668.293,660.889,666.661,445599.0,779987.0,I
2020-01-22,664.959,669.813,651.462,668.779,682381.0,750311.0,I
2020-01-23,665.312,666.253,639.647,645.143,762370.0,652055.0,I
2020-02-03,601.288,603.513,601.279,601.336,148808.0,652430.0,I
2020-02-04,567.711,599.897,565.646,589.297,922615.0,679095.0,I
2020-02-05,587.87,592.053,574.742,576.768,713186.0,772493.0,I
2020-02-06,577.41,592.743,573.686,589.226,977136.0,763477.0,I
2020-02-07,587.158,590.413,579.457,586.133,670207.0,790841.0,I
2020-02-10,580.54,584.365,574.253,581.066,643958.0,810089.0,I
2020-02-11,581.826,610.03,580.827,602.628,1474489.0,863384.0,I
2020-02-12,603.483,617.627,602.749,615.269,1000617.0,933039.0,I
2020-02-13,616.89,622.809,612.235,619.57,933475.0,971304.0,I
2020-02-14,617.954,623.411,614.162,622.783,821679.0,971511.0,I
2020-02-17,621.112,636.319,615.411,635.956,1083183.0,1038437.0,I
2020-02-18,637.992,641.479,629.315,635.429,1048784.0,1079683.0,I
2020-02-19,631.407,642.412,630.155,641.171,749846.0,1108330.0,I
2020-02-20,640.983,667.881,639.855,661.331,1420988.0,1111299.0,I
2020-02-21,660.965,669.618,656.724,667.895,1158063.0,1184956.0,I
2020-02-24,669.174,675.156,655.882,665.334,1328666.0,1179041.0,I
2020-02-25,652.572,666.327,648.952,664.196,1198457.0,1111234.0,I
2020-02-26,656.357,659.618,638.694,639.563,1488070.0,1099219.0,I
2020-02-27,638.235,639.186,624.763,627.791,1211203.0,1058074.0,I
2020-02-28,616.177,621.044,600.776,611.646,1564163.0,1059725.0,I
2020-03-02,610.461,646.691,609.543,645.423,1622283.0,1056683.0,I
2020-03-03,651.522,657.803,636.702,638.201,1280833.0,1087574.0,I
2020-03-04,635.765,653.505,632.514,651.035,1425691.0,1118546.0,I
2020-03-05,654.675,659.886,648.931,655.163,1086252.0,1137888.0,I
2020-03-06,652.287,653.495,639.868,640.627,1117770.0,1092342.0,I
2020-03-09,613.337,632.152,610.173,630.065,1479720.0,1030560.0,I
2020-03-10,628.146,654.539,627.543,650.823,1303098.0,1061746.0,I
2020-03-11,653.659,656.762,641.079,641.905,1070729.0,1030735.0,I
2020-03-12,641.054,653.431,634.444,650.136,1437934.0,1035868.0,I
2020-03-13,643.571,662.948,628.664,660.951,2055235.0,1010183.0,I
2020-03-16,655.284,657.493,642.78,645.379,1157397.0,979159.0,I
2020-03-17,641.726,653.979,636.221,651.776,1322788.0,976039.0,I
2020-03-18,650.583,672.415,648.366,656.129,2025604.0,997394.0,I
2020-03-19,655.711,660.772,620.248,653.629,2752169.0,953737.0,I
2020-03-20,654.68,661.628,622.006,632.158,2289944.0,945507.0,I
2020-03-23,613.41,617.168,599.179,599.18,1566110.0,972228.0,I
2020-03-24,599.899,616.483,588.524,613.144,2122935.0,953050.0,I
2020-03-25,625.776,633.719,617.496,631.291,1718832.0,979868.0,I
2020-03-26,627.271,631.385,618.522,624.921,1303074.0,961920.0,I
2020-03-27,626.559,629.757,616.555,620.001,1125010.0,929456.0,I
2020-03-30,613.566,614.083,597.1,603.467,1223827.0,961979.0,I
2020-03-31,603.69,607.903,598.286,604.399,922627.0,927372.0,I
2020-04-01,605.59,608.031,580.61,587.06,1502739.0,995239.0,I
2020-04-02,577.623,601.225,565.64,597.614,1859348.0,966187.0,I
2020-04-03,597.636,601.567,581.718,588.405,1153755.0,903867.0,I
2020-04-07,584.076,589.603,573.747,584.216,1140670.0,947162.0,I
2020-04-08,581.617,601.596,577.833,598.234,1350647.0,929895.0,I
2020-04-09,598.487,612.961,595.897,610.261,1194860.0,957941.0,I
2020-04-10,609.564,615.691,603.672,612.734,1006325.0,926026.0,I
2020-04-13,612.507,618.197,605.039,607.531,922924.0,912703.0,I
2020-04-14,607.818,618.375,605.682,615.957,963316.0,942976.0,I
2020-04-15,614.355,624.052,611.459,616.829,1013461.0,918662.0,I
2020-04-16,611.323,618.895,605.91,614.485,1108147.0,865792.0,I
2020-04-17,616.642,629.027,614.662,620.538,1152388.0,849428.0,I
2020-04-20,624.135,630.316,618.895,626.398,887568.0,859277.0,I
2020-04-21,621.729,621.751,604.555,607.662,1127321.0,849557.0,I
2020-04-22,601.271,617.221,598.207,616.381,1033952.0,860650.0,I
2020-04-23,617.236,619.529,604.421,607.327,934094.0,845683.0,I
2020-04-24,606.696,614.771,604.557,609.16,947153.0,810199.0,I
2020-04-27,608.421,612.895,602.197,603.798,770168.0,793723.0,I
2020-04-28,602.85,607.408,593.431,596.167,1113796.0,796418.0,I
2020-04-29,594.671,599.391,592.066,596.069,676957.0,754951.0,I
2020-04-30,598.352,612.189,598.306,609.365,790268.0,715885.0,I
2020-05-06,611.72,614.906,604.256,607.377,605866.0,738807.0,I
2020-05-07,608.48,619.258,605.529,619.192,806613.0,809970.0,I
2020-05-08,621.204,632.56,620.312,628.975,1052127.0,814183.0,I
2020-05-11,631.631,633.192,622.464,626.075,872937.0,855942.0,I
2020-05-12,627.257,633.863,623.576,633.639,733588.0,895960.0,I
2020-05-13,636.288,642.79,629.965,641.098,1101544.0,936210.0,I
2020-05-14,642.234,645.843,638.575,643.32,761545.0,947128.0,I
2020-05-15,641.713,663.001,639.177,662.961,1120506.0,998451.0,I
2020-05-18,662.188,699.217,658.999,686.081,1291967.0,995261.0,I
2020-05-19,687.582,704.968,684.812,704.371,1059141.0,1036334.0,I
2020-05-20,701.23,707.969,695.633,698.44,1145070.0,1042045.0,I
2020-05-21,696.366,716.353,693.258,714.806,1142286.0,1086500.0,I
2020-05-22,714.556,725.974,705.099,708.055,1890374.0,1072859.0,I
2020-05-25,708.221,719.783,700.194,712.282,1477320.0,1067130.0,I
2020-05-26,711.032,713.628,686.743,690.051,1598508.0,1002526.0,I
2020-05-27,686.565,698.569,676.408,696.162,1669982.0,1051159.0,I
2020-05-28,695.782,703.408,690.649,701.18,1134589.0,1051461.0,I
2020-05-29,703.295,743.243,702.45,741.487,1721526.0,1151711.0,I
2020-06-01,736.057,764.659,732.134,741.846,2019878.0,1062560.0,I
2020-06-02,738.24,754.31,727.796,746.483,1830841.0,1047973.0,I
2020-06-03,744.301,749.441,734.974,743.967,1352143.0,1053501.0,I
2020-06-04,744.047,758.841,725.599,726.673,1877076.0,1034906.0,I
2020-06-05,724.947,738.222,722.629,735.138,1162435.0,1047542.0,I
2020-06-08,739.291,785.716,737.05,770.286,1879593.0,1071839.0,I
2020-06-09,768.338,769.86,750.494,757.817,1478466.0,1029518.0,I
2020-06-10,755.482,759.607,739.655,746.052,1342934.0,1040892.0,I
2020-06-11,745.917,757.917,740.058,745.888,1416101.0,1038031.0,I
2020-06-12,747.646,764.035,733.345,762.994,1723873.0,1086875.0,I
2020-06-15,765.183,773.56,743.806,749.746,1765907.0,1048768.0,I
2020-06-16,749.563,771.946,747.942,767.237,1302546.0,1112405.0,I
2020-06-17,768.849,773.382,751.457,754.076,1344915.0,1071878.0,I
2020-06-18,753.741,762.075,745.372,751.838,1559063.0,1067312.0,I
2020-06-19,754.298,764.01,751.224,754.702,1203482.0,1041731.0,I
2020-06-22,754.902,757.606,736.321,739.134,1239867.0,1053322.0,I
2020-06-23,739.195,747.386,734.398,742.761,904291.0,1025987.0,I
2020-06-24,744.923,756.868,741.568,755.434,910632.0,1014744.0,I
2020-06-29,749.909,751.149,718.974,721.847,1208007.0,971696.0,I
2020-06-30,722.652,736.509,722.117,729.423,906019.0,989990.0,I
2020-07-01,728.228,734.426,715.869,726.987,937034.0,980487.0,I
2020-07-02,722.707,731.622,719.802,723.116,791775.0,978362.0,I
2020-07-03,724.846,731.581,722.209,729.666,839690.0,975505.0,I
2020-07-06,730.357,742.653,723.247,733.62,1087805.0,968425.0,I
2020-07-07,734.046,754.514,731.335,748.109,972675.0,1000300.0,I
2020-07-08,748.734,770.98,747.173,768.105,1072476.0,1059268.0,I
2020-07-09,770.274,780.451,763.51,769.961,1103045.0,1036310.0,I
2020-07-10,769.697,776.449,764.788,770.117,873054.0,1053597.0,I
2020-07-13,772.974,814.502,772.946,806.453,1535218.0,1035590.0,I
2020-07-14,807.975,821.602,801.314,814.827,1096731.0,1012816.0,I
2020-07-15,814.839,819.324,800.885,813.301,949371.0,974047.0,I
2020-07-16,810.873,814.883,795.986,801.712,1149719.0,945752.0,I
2020-07-17,800.238,807.123,784.233,802.881,1174195.0,938600.0,I
2020-07-20,800.014,803.877,787.903,793.672,866430.0,948615.0,I
2020-07-21,790.63,820.271,788.137,814.562,1117309.0,979450.0,I
2020-07-22,815.806,834.328,809.992,815.771,1088468.0,971998.0,I
2020-07-23,811.119,826.785,807.531,817.511,918052.0,968805.0,I
2020-07-24,816.516,819.868,787.054,798.639,1241577.0,919220.0,I
2020-07-27,798.422,806.209,778.728,783.965,911692.0,878649.0,I
2020-07-28,783.228,801.185,781.049,787.16,881779.0,855113.0,I
2020-07-29,786.897,808.971,785.888,807.501,806626.0,884175.0,I
2020-07-30,809.757,816.191,799.704,808.571,839830.0,897738.0,I
2020-07-31,807.287,816.907,787.96,815.304,1052543.0,922855.0,I
2020-08-03,811.719,840.553,807.528,836.612,1017146.0,960638.0,I
2020-08-04,840.123,856.234,838.3,852.813,830046.0,985591.0,I
2020-08-05,846.69,856.76,832.722,848.089,887359.0,976632.0,I
2020-08-06,849.004,874.339,848.398,870.03,1057580.0,1012590.0,I
2020-08-07,865.813,867.208,840.028,854.206,1142835.0,977580.0,I
2020-08-10,851.417,859.33,838.036,853.593,956668.0,995995.0,I
2020-08-11,852.874,875.395,852.865,860.068,1146415.0,1015412.0,I
2020-08-12,857.177,861.729,834.341,858.055,1163546.0,978097.0,I
2020-08-13,858.44,868.776,837.741,852.061,1058214.0,964732.0,I
2020-08-14,853.033,864.546,844.862,862.956,931698.0,980959.0,I
2020-08-17,845.811,863.4,841.243,852.445,1233638.0,943123.0,I
