,open,high,low,close,volume,open_interest,symbol
2020-01-02,111250.468,111911.058,109811.077,111184.795,572114.0,397261.0,NI
2020-01-03,111291.928,111760.743,107693.51,107815.527,1035216.0,412216.0,NI
2020-01-06,107945.775,108633.713,106832.005,108134.0,848322.0,398777.0,NI
2020-01-07,108033.846,109339.015,107074.936,109301.637,891516.0,398586.0,NI
2020-01-08,109079.007,109696.355,107786.936,109111.841,915670.0,397765.0,NI
2020-01-09,108879.515,111685.705,108774.151,111356.765,997942.0,404737.0,NI
2020-01-10,111598.738,112151.102,110907.826,111723.499,805815.0,404909.0,NI
2020-01-13,111731.08,113122.079,111281.36,112953.764,814623.0,415557.0,NI
2020-01-14,112889.424,113019.742,108821.786,108848.635,986566.0,401906.0,NI
2020-01-15,108540.734,109768.831,108352.523,109007.91,554992.0,390791.0,NI
2020-01-16,109853.297,111955.242,109604.391,111119.062,692266.0,373800.0,NI
2020-01-17,111697.164,111792.236,107716.34,108473.197,798670.0,367525.0,NI
2020-01-20,108434.765,108805.091,107723.55,108074.807,638798.0,369086.0,NI
2020-01-21,108256.73,110088.286,106978.723,107402.945,903633.0,350511.0,NI
2020-01-22,107738.82,109014.527,106185.871,108272.895,826478.0,316623.0,NI
2020-01-23,108125.992,108242.64,105499.127,105667.346,719832.0,314113.0,NI
2020-02-03,100643.165,102570.897,100353.977,102093.202,395491.0,287691.0,NI
2020-02-04,101994.592,104688.092,101694.528,104359.237,509767.0,290876.0,NI
2020-02-05,103964.901,105889.056,103766.236,105057.475,540750.0,289963.0,NI
2020-02-06,105517.4,106124.474,104709.123,105023.147,576301.0,291877.0,NI
2020-02-07,104727.245,105597.406,104126.086,105163.966,466816.0,291478.0,NI
2020-02-10,103759.323,105107.418,103297.411,104357.584,420703.0,290052.0,NI
2020-02-11,104251.096,106563.502,104213.804,106120.803,525329.0,296389.0,NI
2020-02-12,105902.373,106365.202,103622.407,105032.306,605029.0,290992.0,NI
2020-02-13,105164.545,106169.517,104727.867,105561.394,570624.0,288888.0,NI
2020-02-14,105967.79,106925.199,104550.882,104658.04,457486.0,294609.0,NI
2020-02-17,104616.469,105548.174,104308.665,105183.155,326338.0,294441.0,NI
2020-02-18,105209.457,105629.823,103575.061,105073.597,484812.0,280653.0,NI
2020-02-19,104370.688,104873.573,103743.728,103868.031,412042.0,281211.0,NI
2020-02-20,104024.906,104569.093,103419.04,104091.894,474521.0,276632.0,NI
2020-02-21,103694.167,103979.653,102446.301,102462.146,456101.0,290007.0,NI
2020-02-24,102218.103,103062.871,101189.404,102802.229,485355.0,271385.0,NI
2020-02-25,102240.958,102994.218,101490.061,102750.754,459256.0,262904.0,NI
2020-02-26,102085.083,102680.869,100825.857,100831.074,524407.0,269199.0,NI
2020-02-27,101116.025,101732.67,100651.437,100919.891,430691.0,252031.0,NI
2020-02-28,100589.993,100707.412,98550.193,98588.157,593310.0,248271.0,NI
2020-03-02,98857.012,102392.379,98753.956,102244.905,557329.0,222370.0,NI
2020-03-03,102887.344,104391.124,102306.623,102634.05,447234.0,224177.0,NI
2020-03-04,102682.153,103071.35,102136.508,102574.536,384572.0,226164.0,NI
2020-03-05,102522.026,103927.893,102075.539,103205.551,504210.0,241570.0,NI
2020-03-06,103550.669,103637.726,102738.869,102870.033,441178.0,230077.0,NI
2020-03-09,102165.426,102268.174,99188.825,99507.875,599454.0,207095.0,NI
2020-03-10,100742.904,104402.761,100454.11,104039.194,614677.0,215069.0,NI
2020-03-11,103320.651,104254.857,102015.82,102212.257,508666.0,209064.0,NI
2020-03-12,100785.916,101235.513,99660.549,100429.85,534537.0,212649.0,NI
2020-03-13,97593.374,100437.311,96150.528,99241.044,732493.0,201879.0,NI
2020-03-16,99724.699,101417.105,98768.949,99302.048,511003.0,190938.0,NI
2020-03-17,99148.187,100170.698,98895.023,99478.031,463105.0,181745.0,NI
2020-03-18,98201.362,99728.656,94869.01,94995.638,778815.0,195469.0,NI
2020-03-19,94808.949,95786.954,90578.703,95200.38,875934.0,192045.0,NI
2020-03-20,94942.358,96633.43,94396.526,95890.512,593545.0,184048.0,NI
2020-03-23,93635.629,94378.751,91250.569,91949.07,589881.0,187081.0,NI
2020-03-24,92597.741,93866.906,91065.909,91668.483,652381.0,186171.0,NI
2020-03-25,93542.662,93878.616,91276.608,91945.401,574562.0,197742.0,NI
2020-03-26,92618.741,93354.38,91618.617,91666.889,591786.0,188200.0,NI
2020-03-27,92131.667,93508.073,91897.752,93484.0,618055.0,180790.0,NI
2020-03-30,92908.004,94125.272,91660.375,93244.912,615236.0,170680.0,NI
2020-03-31,93570.857,94002.087,91877.105,91934.429,470590.0,183884.0,NI
2020-04-01,92699.899,93322.607,92309.094,92710.822,509170.0,174534.0,NI
2020-04-02,92383.544,93246.388,89646.252,92937.206,769435.0,175939.0,NI
2020-04-03,92998.605,93274.141,92025.26,92682.818,443194.0,170215.0,NI
2020-04-07,93640.037,94306.122,92862.246,93342.622,469625.0,176141.0,NI
2020-04-08,92999.517,95321.925,92430.673,95236.408,578155.0,206836.0,NI
2020-04-09,95567.284,95807.664,94647.969,94966.619,438197.0,200148.0,NI
2020-04-10,95310.244,97752.653,95186.215,97327.849,586630.0,214599.0,NI
2020-04-13,97215.508,97567.174,96024.638,96393.874,410893.0,209311.0,NI
2020-04-14,96537.656,97383.828,96048.457,97132.851,458424.0,214395.0,NI
2020-04-15,97211.786,98677.232,96682.732,97275.669,498397.0,221786.0,NI
2020-04-16,97101.786,97208.227,95742.033,95847.573,356913.0,212206.0,NI
2020-04-17,96627.4,99090.345,96534.775,98972.547,471028.0,222992.0,NI
2020-04-20,99027.158,102262.345,98029.605,101988.126,676060.0,246206.0,NI
2020-04-21,101945.021,102483.652,100056.471,100945.96,613349.0,223892.0,NI
