,open,high,low,close,volume,open_interest,symbol
2020-01-02,15070.705,15121.222,14903.691,14919.292,24182.0,61051.0,PB
2020-01-03,14943.158,14970.324,14560.56,14607.244,46104.0,66433.0,PB
2020-01-06,14629.745,14813.732,14591.419,14768.64,44354.0,64705.0,PB
2020-01-07,14764.117,14840.564,14733.686,14830.81,26888.0,62247.0,PB
2020-01-08,14837.687,14973.592,14777.533,14964.678,44073.0,57279.0,PB
2020-01-09,14972.671,15027.395,14891.431,14931.475,32950.0,54390.0,PB
2020-01-10,14940.523,15015.007,14931.406,14976.044,25667.0,52121.0,PB
2020-01-13,14987.242,15078.119,14950.332,15002.234,37123.0,50398.0,PB
2020-01-14,14911.441,14956.954,14779.559,14900.253,38318.0,50376.0,PB
2020-01-15,14908.746,15137.379,14886.474,15119.351,31741.0,50699.0,PB
2020-01-16,15169.371,15319.104,15114.741,15291.585,56400.0,46252.0,PB
2020-01-17,15300.386,15398.833,15136.768,15220.271,46782.0,46126.0,PB
2020-01-20,15182.027,15504.389,15142.675,15461.207,52942.0,48160.0,PB
2020-01-21,15417.572,15495.532,15077.622,15085.273,52681.0,48856.0,PB
2020-01-22,15126.47,15217.845,15089.794,15154.766,23598.0,46947.0,PB
2020-01-23,15121.499,15130.374,14818.558,14854.873,33988.0,45250.0,PB
2020-02-03,14499.79,14567.675,14022.778,14233.124,33257.0,44784.0,PB
2020-02-04,14123.721,14385.768,14071.941,14325.367,18996.0,43675.0,PB
2020-02-05,14311.335,14323.251,14083.285,14108.043,22245.0,47604.0,PB
2020-02-06,14187.231,14219.516,14134.53,14190.824,19507.0,49940.0,PB
2020-02-07,14184.435,14228.898,14069.581,14099.436,24180.0,53546.0,PB
2020-02-10,13970.125,14071.704,13875.439,14040.057,23895.0,53337.0,PB
2020-02-11,14004.56,14106.748,13995.713,14097.709,11850.0,52785.0,PB
2020-02-12,14215.336,14250.187,14106.275,14190.481,32062.0,51999.0,PB
2020-02-13,14147.91,14240.449,14084.736,14222.682,20346.0,51979.0,PB
2020-02-14,14295.038,14418.34,14264.108,14387.49,29253.0,50475.0,PB
2020-02-17,14330.234,14448.78,14284.395,14440.541,15424.0,50342.0,PB
2020-02-18,14416.343,14512.437,14383.224,14446.029,18737.0,45026.0,PB
2020-02-19,14557.779,14574.281,14476.29,14553.127,16453.0,44101.0,PB
2020-02-20,14525.523,14562.283,14450.676,14539.235,20278.0,44903.0,PB
2020-02-21,14509.067,14663.192,14478.305,14635.072,21455.0,45381.0,PB
2020-02-24,14502.349,14582.066,14418.269,14499.647,29690.0,46053.0,PB
2020-02-25,14528.827,14591.076,14481.539,14552.828,25795.0,47468.0,PB
2020-02-26,14556.809,14608.759,14496.99,14554.32,22293.0,48470.0,PB
2020-02-27,14526.778,14580.372,14462.115,14523.729,22242.0,49734.0,PB
2020-02-28,14508.138,14525.125,14235.461,14323.691,53171.0,52271.0,PB
2020-03-02,14429.549,14635.676,14416.082,14622.195,39412.0,53950.0,PB
2020-03-03,14707.411,14959.049,14563.135,14567.598,27843.0,53485.0,PB
2020-03-04,14537.381,14618.461,14381.847,14461.455,38618.0,53690.0,PB
2020-03-05,14393.414,14480.955,14377.72,14444.256,18132.0,54281.0,PB
2020-03-06,14424.763,14505.401,14388.78,14466.701,22885.0,54147.0,PB
2020-03-09,14300.992,14526.058,14072.841,14462.233,40293.0,52642.0,PB
2020-03-10,14509.542,14574.978,14448.453,14518.457,31982.0,52923.0,PB
2020-03-11,14501.727,14545.023,14333.905,14338.355,24407.0,54654.0,PB
2020-03-12,14276.126,14423.086,14215.59,14289.934,36961.0,54722.0,PB
2020-03-13,14243.328,14289.469,14073.714,14181.047,33590.0,54633.0,PB
2020-03-16,14158.319,14230.334,14076.465,14190.96,28566.0,55054.0,PB
2020-03-17,14190.884,14227.078,13638.812,13738.599,58375.0,53512.0,PB
2020-03-18,13485.296,13582.757,13087.606,13094.154,79193.0,54295.0,PB
2020-03-19,13471.349,13509.617,12637.047,12962.14,87796.0,52774.0,PB
2020-03-20,13115.446,13412.756,13021.427,13318.57,61115.0,48645.0,PB
2020-03-23,13206.007,13278.287,12856.448,13230.674,55477.0,48253.0,PB
2020-03-24,13334.486,13530.57,13316.175,13449.049,46488.0,46832.0,PB
2020-03-25,13375.094,13532.25,13309.876,13522.931,31078.0,46431.0,PB
2020-03-26,13581.778,13607.677,13464.86,13487.082,27063.0,45379.0,PB
2020-03-27,13658.316,13869.06,13615.598,13825.661,30761.0,45255.0,PB
2020-03-30,13637.629,13789.044,13525.281,13703.167,24828.0,44318.0,PB
2020-03-31,13792.524,13884.34,13787.805,13841.224,16369.0,44940.0,PB
2020-04-01,13892.795,13935.302,13638.48,13647.458,20173.0,44840.0,PB
2020-04-02,13656.739,13741.187,13473.137,13730.28,24912.0,44680.0,PB
2020-04-03,13678.572,13782.343,13609.929,13755.003,18147.0,44225.0,PB
2020-04-07,13704.102,13914.141,13675.218,13803.504,20406.0,44849.0,PB
2020-04-08,13832.401,13852.136,13613.113,13651.123,23763.0,44635.0,PB
2020-04-09,13682.155,13727.903,13581.195,13616.335,20466.0,46297.0,PB
2020-04-10,13648.324,13812.035,13603.232,13740.484,20140.0,46088.0,PB
2020-04-13,13710.885,13834.746,13650.05,13807.449,16266.0,46075.0,PB
2020-04-14,13854.144,14065.623,13798.688,13892.487,40350.0,46343.0,PB
2020-04-15,13862.787,13874.423,13689.813,13711.359,28382.0,45943.0,PB
2020-04-16,13686.814,13740.455,13631.296,13712.952,19248.0,45789.0,PB
