,open,high,low,close,volume,open_interest,symbol
2020-01-02,3580.689,3588.965,3531.389,3537.902,1087440.0,1745654.0,RB
2020-01-03,3534.139,3553.853,3529.491,3530.938,842964.0,1688272.0,RB
2020-01-06,3525.368,3550.713,3511.248,3543.916,1051174.0,1662205.0,RB
2020-01-07,3540.351,3561.096,3538.081,3555.201,762582.0,1669052.0,RB
2020-01-08,3555.658,3600.282,3552.26,3596.202,1130560.0,1679703.0,RB
2020-01-09,3595.843,3601.035,3531.284,3536.093,1239023.0,1607068.0,RB
2020-01-10,3536.25,3561.629,3532.793,3550.122,701770.0,1619900.0,RB
2020-01-13,3543.121,3545.022,3508.183,3509.41,928590.0,1585850.0,RB
2020-01-14,3505.267,3548.049,3495.295,3545.555,972947.0,1594106.0,RB
2020-01-15,3545.059,3553.426,3513.289,3513.83,918526.0,1590232.0,RB
2020-01-16,3512.561,3551.061,3510.488,3539.046,999161.0,1603980.0,RB
2020-01-17,3534.934,3576.32,3531.91,3564.17,989223.0,1712889.0,RB
2020-01-20,3570.099,3587.848,3558.078,3574.812,722340.0,1714567.0,RB
2020-01-21,3573.617,3575.152,3525.75,3540.168,965634.0,1652562.0,RB
2020-01-22,3532.58,3535.905,3476.573,3526.469,1302468.0,1619667.0,RB
2020-01-23,3515.502,3516.882,3458.915,3467.915,1009255.0,1649390.0,RB
2020-02-03,3204.484,3282.097,3201.577,3211.796,1681559.0,1728737.0,RB
2020-02-04,3192.036,3323.044,3187.256,3299.322,1850245.0,1799587.0,RB
2020-02-05,3287.35,3312.959,3272.165,3288.627,1346316.0,1921598.0,RB
2020-02-06,3288.567,3314.963,3265.506,3301.584,1497229.0,2026837.0,RB
2020-02-07,3298.28,3341.772,3288.678,3329.656,1097230.0,2102235.0,RB
2020-02-10,3314.63,3332.479,3291.368,3316.969,1185425.0,2133418.0,RB
2020-02-11,3324.567,3476.958,3315.789,3393.865,2799220.0,2101688.0,RB
2020-02-12,3406.773,3426.768,3384.768,3403.693,1379798.0,2108033.0,RB
2020-02-13,3403.221,3422.856,3387.268,3400.646,1276724.0,2203717.0,RB
2020-02-14,3397.168,3414.117,3376.351,3407.948,1234574.0,2252911.0,RB
2020-02-17,3408.285,3451.658,3397.787,3443.362,1466306.0,2368054.0,RB
2020-02-18,3443.162,3452.334,3403.095,3407.344,1488816.0,2365053.0,RB
2020-02-19,3402.114,3415.813,3388.709,3405.36,1171625.0,2364279.0,RB
2020-02-20,3406.326,3479.679,3405.21,3463.872,2315140.0,2365870.0,RB
2020-02-21,3466.896,3490.601,3455.156,3480.214,1597317.0,2400620.0,RB
2020-02-24,3489.499,3502.408,3448.598,3470.745,1803130.0,2343346.0,RB
2020-02-25,3438.972,3493.559,3432.133,3489.615,1676912.0,2340114.0,RB
2020-02-26,3474.567,3490.306,3445.945,3453.527,1586705.0,2390026.0,RB
2020-02-27,3449.485,3459.989,3418.799,3429.794,1391496.0,2431250.0,RB
2020-02-28,3404.378,3407.702,3337.705,3348.747,2524494.0,2449760.0,RB
2020-03-02,3335.304,3452.614,3334.017,3432.305,2300850.0,2437532.0,RB
2020-03-03,3456.008,3473.107,3429.227,3438.484,1531311.0,2481708.0,RB
2020-03-04,3430.703,3490.203,3428.975,3488.061,1839465.0,2504902.0,RB
2020-03-05,3490.686,3506.825,3470.62,3477.226,1449969.0,2528523.0,RB
2020-03-06,3465.729,3477.243,3446.081,3452.086,1394947.0,2528039.0,RB
2020-03-09,3366.931,3452.14,3363.063,3449.431,2397801.0,2509408.0,RB
2020-03-10,3445.634,3495.092,3437.174,3481.16,1865330.0,2463760.0,RB
2020-03-11,3494.901,3519.476,3483.088,3490.821,1941245.0,2456587.0,RB
2020-03-12,3488.273,3515.408,3461.272,3502.383,2396039.0,2408634.0,RB
2020-03-13,3471.148,3539.788,3442.571,3536.353,3023773.0,2334834.0,RB
2020-03-16,3532.168,3550.116,3501.669,3515.241,1928742.0,2317649.0,RB
2020-03-17,3513.113,3531.63,3492.41,3524.422,1705068.0,2237590.0,RB
2020-03-18,3517.195,3553.118,3495.802,3508.903,2204529.0,2228132.0,RB
2020-03-19,3508.969,3513.118,3287.664,3474.282,4616712.0,2137711.0,RB
2020-03-20,3479.016,3502.98,3389.892,3407.488,2557684.0,2061018.0,RB
2020-03-23,3357.791,3375.788,3297.541,3318.18,2508460.0,2124137.0,RB
2020-03-24,3325.233,3384.283,3306.879,3370.806,2537716.0,2034987.0,RB
2020-03-25,3391.462,3411.766,3361.249,3391.653,1916769.0,2033823.0,RB
2020-03-26,3386.565,3401.997,3363.934,3372.472,1537297.0,2028963.0,RB
2020-03-27,3376.083,3388.361,3351.101,3362.905,1477830.0,2041675.0,RB
2020-03-30,3341.45,3343.035,3267.634,3284.731,2271732.0,2105363.0,RB
2020-03-31,3283.298,3301.086,3253.15,3267.527,1455698.0,2107433.0,RB
