,open,high,low,close,volume,open_interest,symbol
2020-01-02,5871.139,5871.958,5826.874,5842.657,16643.0,58052.0,SF
2020-01-03,5818.123,5866.485,5818.123,5852.879,18559.0,58225.0,SF
2020-01-06,5842.29,5862.931,5804.932,5819.539,30449.0,56950.0,SF
2020-01-07,5820.98,5836.76,5814.606,5826.484,13882.0,55498.0,SF
2020-01-08,5826.659,5831.765,5768.278,5805.365,34121.0,56441.0,SF
2020-01-09,5787.269,5827.528,5783.696,5802.263,16672.0,55478.0,SF
2020-01-10,5785.614,5812.329,5763.582,5802.627,16836.0,58373.0,SF
2020-01-13,5798.409,5814.082,5764.789,5777.395,23108.0,58017.0,SF
2020-01-14,5778.189,5791.679,5745.205,5786.769,36684.0,57011.0,SF
2020-01-15,5775.754,5789.233,5747.617,5779.64,39186.0,57536.0,SF
2020-01-16,5786.795,5790.622,5754.969,5762.796,23121.0,54362.0,SF
2020-01-17,5771.003,5786.502,5759.171,5784.669,15087.0,52513.0,SF
2020-01-20,5782.35,5810.091,5761.656,5810.091,22729.0,52230.0,SF
2020-01-21,5806.957,5847.215,5800.259,5846.339,39753.0,50028.0,SF
2020-01-22,5819.999,5861.819,5815.721,5857.359,26054.0,51618.0,SF
2020-01-23,5850.754,5852.107,5816.112,5845.769,20686.0,50854.0,SF
2020-02-03,5730.987,5990.077,5662.696,5937.567,84997.0,60731.0,SF
2020-02-04,5936.408,6097.366,5922.694,6091.794,88577.0,81373.0,SF
2020-02-05,6098.346,6140.814,5925.298,5934.711,98386.0,87526.0,SF
2020-02-06,5934.44,5965.87,5922.214,5950.212,44202.0,87149.0,SF
2020-02-07,5949.647,5959.76,5875.881,5924.877,47616.0,83176.0,SF
2020-02-10,5916.497,5927.753,5887.531,5894.674,26715.0,81433.0,SF
2020-02-11,5905.849,5946.418,5846.052,5943.582,43189.0,81720.0,SF
2020-02-12,5959.347,5970.882,5886.294,5906.796,39413.0,77437.0,SF
2020-02-13,5914.602,5918.239,5823.153,5862.177,43638.0,69307.0,SF
2020-02-14,5868.199,5868.515,5820.85,5831.003,24433.0,66318.0,SF
2020-02-17,5811.122,5814.8,5746.009,5782.995,53611.0,68852.0,SF
2020-02-18,5766.616,5783.352,5729.168,5735.164,31508.0,69492.0,SF
2020-02-19,5744.612,5756.246,5725.34,5745.148,23474.0,69860.0,SF
2020-02-20,5736.156,5793.574,5731.971,5789.764,38718.0,72092.0,SF
2020-02-21,5788.894,5804.979,5758.628,5768.812,44925.0,72869.0,SF
2020-02-24,5771.144,5784.488,5716.45,5724.255,43736.0,71836.0,SF
2020-02-25,5717.968,5729.199,5690.398,5725.402,28959.0,73756.0,SF
2020-02-26,5715.263,5747.279,5699.118,5728.318,27118.0,73538.0,SF
2020-02-27,5713.209,5730.273,5702.286,5728.054,17477.0,73614.0,SF
2020-02-28,5733.897,5742.98,5675.83,5724.498,44030.0,67438.0,SF
2020-03-02,5712.866,5736.523,5696.786,5719.699,38556.0,68667.0,SF
2020-03-03,5729.44,5766.967,5721.209,5723.484,40309.0,68861.0,SF
2020-03-04,5702.139,5704.169,5573.101,5656.315,156198.0,84745.0,SF
2020-03-05,5657.438,5737.944,5657.438,5685.418,51800.0,76229.0,SF
2020-03-06,5681.117,5683.876,5622.618,5664.804,36770.0,76636.0,SF
2020-03-09,5613.544,5648.352,5555.846,5620.99,57943.0,81192.0,SF
2020-03-10,5619.135,5634.998,5593.509,5619.85,35933.0,77578.0,SF
2020-03-11,5631.2,5647.888,5617.948,5634.759,24410.0,78288.0,SF
2020-03-12,5616.088,5635.126,5587.066,5619.051,39665.0,81434.0,SF
2020-03-13,5598.673,5627.283,5572.783,5613.332,45001.0,77338.0,SF
2020-03-16,5616.096,5642.706,5583.969,5610.184,51632.0,76344.0,SF
2020-03-17,5603.403,5635.846,5567.252,5629.008,50204.0,75978.0,SF
2020-03-18,5622.777,5696.684,5619.454,5652.088,51532.0,70415.0,SF
2020-03-19,5634.906,5639.489,5480.521,5537.246,98468.0,68318.0,SF
2020-03-20,5571.731,5586.54,5526.802,5547.947,47483.0,67872.0,SF
2020-03-23,5522.836,5524.419,5362.766,5385.282,85003.0,82696.0,SF
2020-03-24,5407.838,5452.423,5362.87,5447.711,62544.0,74684.0,SF
2020-03-25,5456.784,5496.718,5400.901,5433.528,53962.0,75190.0,SF
2020-03-26,5435.119,5602.193,5416.344,5547.254,176386.0,67849.0,SF
2020-03-27,5547.534,5566.387,5349.961,5357.547,127896.0,66156.0,SF
2020-03-30,5318.681,5419.017,5309.504,5381.372,77199.0,65606.0,SF
2020-03-31,5374.512,5462.015,5371.203,5436.583,56265.0,61307.0,SF
2020-04-01,5432.874,5532.432,5416.832,5449.436,121040.0,67626.0,SF
2020-04-02,5414.451,5508.011,5392.595,5487.691,126299.0,71098.0,SF
2020-04-03,5557.301,5571.857,5476.173,5530.03,139108.0,75046.0,SF
2020-04-07,5567.771,5589.755,5485.65,5554.038,120414.0,74052.0,SF
2020-04-08,5525.105,5618.917,5518.65,5605.294,123951.0,73987.0,SF
2020-04-09,5601.363,5630.241,5524.452,5528.993,108648.0,83981.0,SF
2020-04-10,5532.071,5648.125,5515.315,5550.213,236655.0,89760.0,SF
2020-04-13,5536.975,5612.539,5452.949,5503.654,192128.0,92234.0,SF
2020-04-14,5507.57,5526.205,5457.966,5512.387,150093.0,90161.0,SF
2020-04-15,5517.911,5550.125,5466.897,5470.467,105928.0,93205.0,SF
2020-04-16,5465.992,5561.636,5426.009,5498.072,140485.0,89243.0,SF
2020-04-17,5513.921,5571.286,5494.431,5564.62,123726.0,92455.0,SF
2020-04-20,5595.329,5720.017,5541.936,5688.823,219829.0,100442.0,SF
2020-04-21,5669.281,5760.31,5625.873,5689.189,160239.0,105748.0,SF
2020-04-22,5682.866,5711.14,5644.949,5681.756,96651.0,107709.0,SF
2020-04-23,5695.738,5704.188,5619.779,5634.094,143048.0,103243.0,SF
2020-04-24,5643.12,5735.624,5611.585,5663.25,168283.0,105631.0,SF
2020-04-27,5681.412,5719.709,5645.921,5700.584,90997.0,107455.0,SF
2020-04-28,5679.24,5730.641,5660.573,5712.754,106934.0,105031.0,SF
2020-04-29,5745.919,5823.616,5726.229,5762.506,178187.0,103585.0,SF
2020-04-30,5768.859,5800.82,5745.026,5794.882,120093.0,97711.0,SF
2020-05-06,5802.933,5815.472,5745.438,5756.783,106638.0,101860.0,SF
2020-05-07,5756.861,5778.327,5732.436,5768.2,94788.0,104394.0,SF
2020-05-08,5750.992,5819.786,5743.756,5818.337,111618.0,119029.0,SF
2020-05-11,5815.383,5851.173,5781.706,5793.029,147890.0,123005.0,SF
2020-05-12,5803.622,5816.915,5774.204,5814.654,85795.0,120052.0,SF
2020-05-13,5804.758,5814.031,5777.032,5808.951,100922.0,118796.0,SF
2020-05-14,5820.561,5842.619,5754.003,5755.311,128191.0,113352.0,SF
2020-05-15,5772.378,5824.451,5763.349,5820.472,138701.0,121742.0,SF
2020-05-18,5822.524,5831.589,5773.915,5782.17,229885.0,115309.0,SF
2020-05-19,5800.54,5842.87,5769.343,5838.838,205903.0,128692.0,SF
2020-05-20,5856.121,5892.079,5811.801,5884.633,199370.0,137825.0,SF
2020-05-21,5888.271,6005.828,5855.855,5939.141,303527.0,148349.0,SF
2020-05-22,5929.003,6001.201,5868.149,5888.15,241996.0,148039.0,SF
2020-05-25,5896.223,5939.948,5853.904,5891.276,192563.0,152313.0,SF
2020-05-26,5904.0,5954.837,5878.661,5923.969,258208.0,155856.0,SF
2020-05-27,5906.887,5926.201,5800.021,5831.115,249527.0,143172.0,SF
2020-05-28,5835.56,5842.209,5750.017,5773.102,331668.0,138604.0,SF
2020-05-29,5779.761,5788.833,5734.182,5748.445,214725.0,130153.0,SF
2020-06-01,5771.102,5812.374,5750.756,5796.794,166325.0,129909.0,SF
2020-06-02,5791.778,5835.683,5761.606,5830.535,141759.0,127792.0,SF
2020-06-03,5841.959,5883.889,5817.487,5853.262,169821.0,133616.0,SF
2020-06-04,5841.165,5896.759,5821.432,5854.885,179125.0,142457.0,SF
2020-06-05,5859.01,5878.905,5811.532,5833.212,145486.0,148978.0,SF
2020-06-08,5850.665,5872.792,5802.997,5822.859,183323.0,150030.0,SF
2020-06-09,5816.765,5879.596,5790.326,5854.509,167536.0,159270.0,SF
2020-06-10,5852.866,5868.563,5714.093,5728.263,217173.0,157908.0,SF
2020-06-11,5718.77,5751.502,5656.861,5683.252,259167.0,176146.0,SF
2020-06-12,5667.58,5781.083,5654.929,5724.351,232178.0,171918.0,SF
2020-06-15,5713.149,5756.187,5698.513,5732.453,167660.0,168770.0,SF
2020-06-16,5741.305,5798.317,5708.823,5770.485,177570.0,171975.0,SF
2020-06-17,5770.391,5938.893,5750.612,5909.269,336532.0,184358.0,SF
2020-06-18,5914.404,6155.916,5886.416,6090.897,701202.0,224329.0,SF
2020-06-19,6091.745,6172.704,6044.764,6150.999,500199.0,230432.0,SF
2020-06-22,6150.666,6237.182,5929.961,5962.233,590111.0,213138.0,SF
2020-06-23,5983.134,6058.706,5963.316,6008.204,293140.0,213772.0,SF
2020-06-24,6019.228,6054.808,5978.499,6035.205,243648.0,218941.0,SF
2020-06-29,6021.94,6058.22,5982.789,6008.712,247713.0,216540.0,SF
2020-06-30,6030.426,6047.667,5885.911,5920.276,339942.0,199586.0,SF
2020-07-01,5944.202,5959.512,5897.307,5927.99,126242.0,191116.0,SF
2020-07-02,5956.602,5966.175,5907.154,5932.517,90028.0,191481.0,SF
2020-07-03,5928.531,5947.865,5865.845,5873.433,125822.0,195317.0,SF
2020-07-06,5872.365,5920.339,5866.009,5904.577,97609.0,196569.0,SF
2020-07-07,5895.409,5928.72,5869.197,5902.461,114201.0,192071.0,SF
2020-07-08,5914.035,5931.209,5821.166,5822.549,201205.0,203531.0,SF
2020-07-09,5809.739,5846.994,5754.395,5789.789,219674.0,176435.0,SF
2020-07-10,5765.735,5773.924,5689.724,5711.525,198544.0,164014.0,SF
2020-07-13,5720.154,5755.517,5671.775,5700.771,133200.0,167966.0,SF
2020-07-14,5696.379,5718.573,5567.899,5593.123,195836.0,174856.0,SF
2020-07-15,5596.086,5629.134,5589.605,5599.684,87474.0,163187.0,SF
