,open,high,low,close,volume,open_interest,symbol
2020-01-02,6388.959,6451.506,6356.057,6383.989,42667.0,82468.0,SM
2020-01-03,6385.586,6447.683,6368.031,6377.736,54533.0,82439.0,SM
2020-01-06,6375.022,6376.681,6264.517,6281.568,78311.0,74411.0,SM
2020-01-07,6279.583,6329.546,6244.716,6298.982,51439.0,75335.0,SM
2020-01-08,6294.677,6320.863,6275.266,6288.791,38456.0,72762.0,SM
2020-01-09,6267.015,6337.354,6254.265,6287.545,50397.0,75111.0,SM
2020-01-10,6284.396,6310.114,6246.865,6285.614,39626.0,73982.0,SM
2020-01-13,6297.346,6354.454,6223.717,6223.717,63914.0,76214.0,SM
2020-01-14,6222.291,6261.762,6187.718,6231.318,52538.0,77032.0,SM
2020-01-15,6247.313,6249.811,6212.231,6243.273,43182.0,77186.0,SM
2020-01-16,6228.235,6248.61,6197.226,6242.611,33820.0,74667.0,SM
2020-01-17,6255.339,6315.017,6246.863,6276.724,51857.0,69139.0,SM
2020-01-20,6271.543,6421.639,6268.567,6409.269,73357.0,73265.0,SM
2020-01-21,6411.476,6437.203,6360.266,6406.724,41169.0,67778.0,SM
2020-01-22,6370.51,6435.234,6366.582,6413.573,43983.0,67815.0,SM
2020-01-23,6404.042,6424.193,6376.361,6418.195,29244.0,61740.0,SM
2020-02-03,6327.692,6623.577,6268.402,6518.284,141338.0,71768.0,SM
2020-02-04,6501.118,6669.479,6501.118,6653.133,89134.0,78489.0,SM
2020-02-05,6657.589,6687.314,6488.376,6493.631,88496.0,79661.0,SM
2020-02-06,6502.066,6535.804,6454.57,6503.307,55953.0,78984.0,SM
2020-02-07,6498.734,6532.972,6466.997,6503.241,48979.0,80424.0,SM
2020-02-10,6497.915,6520.629,6472.462,6501.846,38685.0,80261.0,SM
2020-02-11,6494.263,6558.076,6474.107,6549.758,56791.0,82658.0,SM
2020-02-12,6543.868,6563.046,6409.723,6445.902,77236.0,72226.0,SM
2020-02-13,6456.846,6458.981,6350.003,6366.0,62988.0,71269.0,SM
2020-02-14,6360.436,6363.63,6279.659,6286.064,63129.0,71333.0,SM
2020-02-17,6266.03,6291.199,6214.524,6280.898,56338.0,74789.0,SM
2020-02-18,6274.618,6317.16,6222.256,6230.512,72181.0,77420.0,SM
2020-02-19,6234.359,6258.029,6192.834,6206.82,50974.0,76493.0,SM
2020-02-20,6210.701,6302.979,6202.929,6288.982,71365.0,81320.0,SM
2020-02-21,6276.783,6313.337,6225.042,6244.571,68431.0,84006.0,SM
2020-02-24,6209.349,6264.404,6089.819,6113.042,117854.0,95145.0,SM
2020-02-25,6090.421,6116.472,6044.388,6084.821,69856.0,105232.0,SM
2020-02-26,6069.045,6155.645,6046.794,6101.221,76020.0,106206.0,SM
2020-02-27,6086.79,6095.984,6026.804,6063.498,56760.0,107779.0,SM
