,open,high,low,close,volume,open_interest,symbol
2020-01-02,136655.537,137374.65,135436.257,136458.911,30215.0,47170.0,SN
2020-01-03,136876.856,137391.704,136046.129,136227.969,58139.0,49040.0,SN
2020-01-06,135236.145,136192.719,134432.496,135789.148,90369.0,50897.0,SN
2020-01-07,135642.869,136123.4,135379.007,136077.541,59442.0,53910.0,SN
2020-01-08,136085.215,137262.879,135900.013,136477.238,58266.0,54262.0,SN
2020-01-09,136501.003,138509.471,136403.211,138458.39,48560.0,54372.0,SN
2020-01-10,138221.515,138727.022,137673.978,138131.18,36464.0,53639.0,SN
2020-01-13,138246.356,138892.554,137568.534,138679.063,31744.0,53640.0,SN
2020-01-14,138815.135,139476.004,138039.723,138732.35,35702.0,53769.0,SN
2020-01-15,139085.526,140254.255,138474.143,139875.004,39185.0,54117.0,SN
2020-01-16,139816.07,141202.65,139354.015,139823.416,42446.0,49386.0,SN
2020-01-17,140751.58,140992.205,139965.315,140777.164,44327.0,50612.0,SN
2020-01-20,140808.512,140959.161,138674.027,140041.598,48240.0,49991.0,SN
2020-01-21,140252.635,141213.196,139010.984,139119.243,61197.0,49130.0,SN
2020-01-22,138623.762,140698.587,138574.944,140201.739,36220.0,44989.0,SN
2020-01-23,140521.482,140592.136,137207.833,137454.465,36710.0,36475.0,SN
2020-02-03,133297.691,133492.106,130421.293,130849.213,15515.0,37547.0,SN
2020-02-04,131202.51,132878.22,129808.38,131870.902,19489.0,40815.0,SN
2020-02-05,130893.603,132452.659,130742.609,131814.115,16022.0,43484.0,SN
2020-02-06,132415.716,133941.706,132100.264,133459.634,13657.0,48618.0,SN
2020-02-07,133944.314,135328.846,133302.185,134021.789,23551.0,51226.0,SN
2020-02-10,133763.056,134564.256,132701.226,133991.65,14589.0,52849.0,SN
2020-02-11,133961.926,135249.599,133683.598,134856.865,11164.0,54071.0,SN
2020-02-12,134476.673,135215.637,133948.013,134176.393,8968.0,54744.0,SN
2020-02-13,134045.534,135038.611,133928.635,134667.642,7205.0,55711.0,SN
2020-02-14,134925.667,135142.205,134340.174,134611.431,7479.0,56508.0,SN
2020-02-17,134887.447,135622.91,134079.897,135565.309,11173.0,57531.0,SN
2020-02-18,135514.943,136671.817,134876.545,135513.065,17667.0,59034.0,SN
2020-02-19,135272.211,136007.67,134903.631,135735.89,7557.0,59301.0,SN
2020-02-20,135411.798,136283.174,135274.295,135944.871,8655.0,59289.0,SN
2020-02-21,135857.778,136151.678,135096.376,136122.322,11933.0,59856.0,SN
2020-02-24,135855.624,137430.052,135704.756,137137.141,17126.0,59447.0,SN
2020-02-25,136511.337,137014.939,135838.119,136785.918,18574.0,56243.0,SN
2020-02-26,136855.06,137448.202,135820.273,135927.924,20354.0,61198.0,SN
2020-02-27,135921.463,136793.746,135376.966,136221.072,22945.0,64728.0,SN
2020-02-28,135275.908,135275.908,131578.198,131762.718,32796.0,67782.0,SN
2020-03-02,131631.967,134626.8,131425.211,134476.034,32590.0,70016.0,SN
2020-03-03,135116.92,136449.479,134800.466,135671.287,30484.0,71765.0,SN
2020-03-04,135513.093,136380.46,135105.768,136326.527,34078.0,74473.0,SN
2020-03-05,136417.345,137497.39,136136.617,136740.078,29028.0,73750.0,SN
2020-03-06,136994.958,137144.463,135237.964,135516.478,24802.0,73559.0,SN
2020-03-09,134513.531,134714.154,132870.226,133275.953,39302.0,71176.0,SN
2020-03-10,134735.18,136476.355,134326.92,135305.542,29923.0,70119.0,SN
2020-03-11,135124.373,135931.876,134811.818,135610.671,26578.0,71886.0,SN
2020-03-12,135157.553,135355.421,133283.442,133886.943,35529.0,73899.0,SN
2020-03-13,131358.616,132069.913,126990.922,129874.09,40066.0,75780.0,SN
2020-03-16,129648.922,129878.48,126084.469,127064.673,47298.0,78603.0,SN
2020-03-17,125912.478,126554.018,122952.352,123555.508,52228.0,77901.0,SN
2020-03-18,118799.392,120271.055,117356.594,117356.8,56229.0,79699.0,SN
2020-03-19,113824.993,115252.487,108185.555,108191.646,11456.0,76934.0,SN
2020-03-20,111366.185,115107.265,104354.468,114546.607,85113.0,74610.0,SN
2020-03-23,110136.644,110511.728,103116.501,107176.082,86022.0,74908.0,SN
2020-03-24,110290.953,114402.217,109706.408,113823.545,119422.0,69333.0,SN
2020-03-25,114275.762,116879.393,113182.783,116667.136,96318.0,66885.0,SN
2020-03-26,117623.949,118333.835,115044.31,115368.152,100511.0,75507.0,SN
2020-03-27,116376.504,118831.576,115651.0,118670.429,84787.0,76917.0,SN
2020-03-30,117394.469,118912.62,115055.311,118154.119,58220.0,76787.0,SN
2020-03-31,118636.296,120456.448,117700.239,119788.932,68612.0,77683.0,SN
2020-04-01,120163.21,121882.873,119571.185,120505.137,80106.0,75201.0,SN
2020-04-02,121546.105,122771.137,117655.433,119604.241,106798.0,72224.0,SN
2020-04-03,118478.415,120734.131,118218.039,119947.128,79211.0,70683.0,SN
2020-04-07,121275.276,122603.123,120081.121,120645.83,62756.0,70751.0,SN
2020-04-08,120589.454,121467.567,119138.397,121297.57,54974.0,74118.0,SN
2020-04-09,121941.289,122483.402,120759.492,121768.726,47239.0,75352.0,SN
2020-04-10,122236.097,125939.975,122016.298,125592.597,60906.0,76140.0,SN
2020-04-13,126047.413,127951.214,125534.57,126417.216,58888.0,75436.0,SN
2020-04-14,126896.71,128102.659,125064.985,125766.999,69007.0,74590.0,SN
2020-04-15,125963.276,126882.075,125138.07,126228.159,54499.0,73865.0,SN
2020-04-16,125175.867,125612.084,124128.216,125217.28,48981.0,74018.0,SN
2020-04-17,125747.9,127895.638,125569.232,127237.49,57533.0,74449.0,SN
2020-04-20,126438.805,128485.338,125893.309,127236.569,64656.0,73052.0,SN
2020-04-21,127377.017,127523.318,124517.281,124607.434,74193.0,71337.0,SN
2020-04-22,124151.976,124152.64,121221.17,122287.069,53054.0,70110.0,SN
2020-04-23,123540.754,128013.638,123438.266,127234.489,72545.0,71348.0,SN
2020-04-24,126745.008,127597.229,125518.415,127218.88,66552.0,69370.0,SN
2020-04-27,127809.905,132984.682,127697.539,131135.756,93297.0,65943.0,SN
2020-04-28,131010.067,131569.504,128144.654,128591.437,68768.0,62536.0,SN
2020-04-29,128518.423,129527.697,127494.786,128318.952,53454.0,59412.0,SN
2020-04-30,128496.442,128891.951,126605.841,127572.034,41943.0,56709.0,SN
2020-05-06,127248.711,129629.482,127173.026,128690.073,46280.0,59784.0,SN
2020-05-07,127636.118,129731.759,127336.799,128673.284,50935.0,63090.0,SN
2020-05-08,129127.779,130790.169,128837.715,130110.288,52472.0,65640.0,SN
2020-05-11,130279.678,131459.101,129280.25,131058.764,63671.0,66236.0,SN
2020-05-12,130237.913,131273.973,129496.0,129826.537,50905.0,65281.0,SN
2020-05-13,130458.547,131196.84,128866.697,129948.178,55671.0,65676.0,SN
2020-05-14,129869.106,130226.63,128821.393,129320.646,50621.0,65569.0,SN
2020-05-15,129218.701,129333.455,127486.261,128858.394,50060.0,65440.0,SN
2020-05-18,128345.375,130409.277,127238.639,130358.807,49472.0,63397.0,SN
2020-05-19,130644.438,131535.683,129683.42,130144.134,44289.0,61668.0,SN
2020-05-20,130341.007,134608.482,130336.591,134227.896,65302.0,63264.0,SN
2020-05-21,133879.105,135523.546,133196.916,134208.512,63605.0,60562.0,SN
2020-05-22,134300.654,134441.743,131174.979,131259.777,68734.0,55076.0,SN
2020-05-25,131933.978,134542.982,131682.004,132898.681,59628.0,49953.0,SN
2020-05-26,133399.563,133668.333,131963.856,133494.74,73322.0,43409.0,SN
2020-05-27,132957.539,134191.136,132712.267,133456.111,85190.0,43809.0,SN
2020-05-28,133729.282,134152.381,132339.206,133987.05,68815.0,45262.0,SN
2020-05-29,133470.628,135146.39,133398.505,134773.541,57017.0,45662.0,SN
2020-06-01,134565.176,135675.084,133668.469,135427.024,60628.0,45684.0,SN
2020-06-02,135376.012,135806.215,134015.523,134755.098,47038.0,47057.0,SN
2020-06-03,135765.301,137029.983,135121.458,136794.049,51694.0,47759.0,SN
2020-06-04,136084.671,136633.229,133598.931,133920.62,57475.0,45797.0,SN
2020-06-05,134595.659,135329.766,133958.154,134920.497,51203.0,44835.0,SN
2020-06-08,136110.283,137595.982,136023.677,137142.598,58611.0,44621.0,SN
2020-06-09,137111.339,138545.254,136557.844,138407.677,51191.0,45519.0,SN
2020-06-10,138048.094,138693.178,137091.408,138366.52,50442.0,44640.0,SN
2020-06-11,138561.5,139565.944,136669.996,137350.617,54320.0,43147.0,SN
2020-06-12,136461.596,137546.512,135545.488,137161.697,52827.0,41683.0,SN
2020-06-15,137343.268,137679.283,134639.872,134894.0,57395.0,41282.0,SN
2020-06-16,135453.129,138173.284,134713.16,138000.81,60180.0,40577.0,SN
2020-06-17,137993.371,138566.459,137446.151,138419.411,48457.0,40615.0,SN
2020-06-18,138132.919,138819.467,137632.672,138511.877,39274.0,40313.0,SN
2020-06-19,138486.781,139103.85,136566.715,137421.132,45360.0,37820.0,SN
2020-06-22,137749.58,138837.59,136446.55,137030.133,47216.0,36138.0,SN
2020-06-23,137506.719,138492.396,136740.406,138249.219,47733.0,32781.0,SN
2020-06-24,137978.234,138450.771,137541.118,138222.415,31728.0,30252.0,SN
2020-06-29,138078.953,138368.977,136831.152,137433.012,40952.0,29586.0,SN
2020-06-30,137081.81,138954.125,136871.086,138741.687,51274.0,32316.0,SN
2020-07-01,138489.124,139038.237,137486.054,138540.878,56407.0,36330.0,SN
2020-07-02,138313.036,138612.612,137502.818,138377.827,45887.0,36104.0,SN
2020-07-03,138271.589,140266.803,138113.53,139775.571,51942.0,38813.0,SN
2020-07-06,140090.903,142616.741,139213.629,142375.912,47382.0,41629.0,SN
2020-07-07,142522.045,142688.679,140420.314,141042.007,43756.0,40161.0,SN
2020-07-08,140420.683,141656.004,140331.203,141115.944,41867.0,39151.0,SN
2020-07-09,141166.434,141511.581,139729.679,140877.244,50815.0,37997.0,SN
2020-07-10,141730.331,142611.729,138653.904,138909.098,66962.0,36939.0,SN
2020-07-13,138964.334,144477.85,138545.815,143859.551,80911.0,37765.0,SN
2020-07-14,143883.163,143985.051,141648.608,142673.239,63672.0,37157.0,SN
2020-07-15,142481.19,143037.899,141666.179,142092.363,54969.0,37044.0,SN
2020-07-16,142481.332,142487.296,139076.27,139879.388,69562.0,35854.0,SN
2020-07-17,140568.317,142115.394,140377.009,141168.902,67541.0,34866.0,SN
2020-07-20,141155.545,141342.609,139669.655,140301.277,60034.0,34074.0,SN
2020-07-21,140197.249,142445.323,140154.887,141447.567,61269.0,34759.0,SN
2020-07-22,142143.31,143743.886,141656.482,142811.936,66517.0,36806.0,SN
2020-07-23,142841.61,142980.618,140498.635,141282.204,55571.0,33966.0,SN
2020-07-24,142018.652,143500.477,141488.701,141864.359,65793.0,28313.0,SN
2020-07-27,141450.61,146961.395,141301.191,146561.164,78527.0,35825.0,SN
2020-07-28,146203.227,154227.771,145664.336,148137.447,112645.0,36762.0,SN
2020-07-29,148309.621,150630.764,145534.703,147433.987,74198.0,40495.0,SN
2020-07-30,146890.929,148114.078,146475.855,147198.392,76334.0,42175.0,SN
2020-07-31,146913.043,147213.553,145180.601,146611.511,70019.0,42346.0,SN
2020-08-03,146119.706,147460.141,143524.217,146504.453,68302.0,43183.0,SN
2020-08-04,146260.062,148267.161,145040.964,146104.947,75046.0,43262.0,SN
2020-08-05,146200.85,147257.64,145310.038,146011.325,69027.0,43512.0,SN
2020-08-06,145987.47,147618.713,145158.963,145991.92,88191.0,42915.0,SN
2020-08-07,146085.943,148659.47,145844.392,146635.993,84341.0,42847.0,SN
2020-08-10,146680.591,147396.458,144480.761,144957.944,85460.0,42581.0,SN
2020-08-11,145729.979,146604.593,142745.863,142989.064,80328.0,43865.0,SN
2020-08-12,143386.669,144329.436,141691.318,143601.539,78022.0,44056.0,SN
2020-08-13,144103.116,144303.22,141188.735,141774.629,63213.0,43868.0,SN
2020-08-14,141776.783,143511.873,141448.925,142054.855,62654.0,45140.0,SN
2020-08-17,142703.304,144193.373,141668.67,142977.295,62449.0,44861.0,SN
2020-08-18,142502.886,143450.971,141827.68,142941.855,61505.0,45100.0,SN
2020-08-19,142977.991,143522.349,141970.93,142659.346,68914.0,45226.0,SN
2020-08-20,143155.798,144640.787,141742.622,142033.753,85275.0,44994.0,SN
2020-08-21,142185.53,144457.258,141967.472,143999.898,68041.0,42381.0,SN
2020-08-24,143959.741,143961.318,140761.327,141380.63,67697.0,42410.0,SN
2020-08-25,140692.298,142157.997,140681.004,141274.627,48381.0,39296.0,SN
2020-08-26,141297.51,142022.682,140581.963,141564.104,54652.0,41590.0,SN
2020-08-27,142216.19,143957.461,141791.434,143750.252,61984.0,39804.0,SN
2020-08-28,143447.876,144629.035,143236.844,144422.479,55820.0,40141.0,SN
2020-08-31,144458.99,146003.585,143600.467,145253.004,46543.0,40201.0,SN
2020-09-01,145573.645,146151.109,144694.965,145845.44,43747.0,42078.0,SN
