,open,high,low,close,volume,open_interest,symbol
2020-01-02,14392.681,14421.919,13822.757,13919.956,18623.0,24160.0,SS
2020-01-03,13868.116,13997.447,13782.149,13791.853,23240.0,29298.0,SS
2020-01-06,13770.437,13993.47,13748.551,13919.096,20945.0,31133.0,SS
2020-01-07,13949.349,13992.502,13875.853,13950.256,10396.0,31489.0,SS
2020-01-08,13985.405,14115.671,13925.226,13982.468,15101.0,32091.0,SS
2020-01-09,13946.006,14080.532,13936.953,13962.723,18304.0,34030.0,SS
2020-01-10,14008.367,14108.255,13938.487,14074.545,13669.0,36329.0,SS
2020-01-13,14119.772,14143.133,14000.799,14036.654,12586.0,37492.0,SS
2020-01-14,13986.614,14034.841,13839.318,13849.013,15078.0,38634.0,SS
2020-01-15,13880.828,13903.603,13823.685,13839.042,9321.0,39732.0,SS
2020-01-16,13855.849,13957.597,13854.327,13942.695,11137.0,40662.0,SS
2020-01-17,13957.898,14016.483,13798.556,13847.272,15095.0,42555.0,SS
2020-01-20,13817.018,13875.863,13816.415,13865.493,10629.0,43175.0,SS
2020-01-21,13826.127,13943.567,13800.665,13870.567,12788.0,42287.0,SS
2020-01-22,13879.363,13920.159,13767.612,13855.891,22526.0,31997.0,SS
2020-01-23,13826.543,13855.736,13686.717,13711.049,14460.0,27883.0,SS
2020-02-03,13475.292,13488.505,12916.96,13028.537,11166.0,28334.0,SS
2020-02-04,13090.388,13295.184,13019.53,13244.562,8223.0,28918.0,SS
2020-02-05,13191.408,13330.694,13166.559,13238.801,6612.0,32121.0,SS
2020-02-06,13264.485,13361.032,13234.139,13267.9,3926.0,32849.0,SS
2020-02-07,13261.249,13301.68,13189.21,13272.691,13468.0,38550.0,SS
2020-02-10,13212.858,13326.055,13188.745,13291.716,4372.0,39303.0,SS
2020-02-11,13263.093,13425.31,13263.093,13395.472,6738.0,41076.0,SS
2020-02-12,13426.701,13558.749,13392.262,13499.169,9247.0,42852.0,SS
2020-02-13,13558.205,13646.119,13465.626,13467.187,6483.0,43827.0,SS
2020-02-14,13451.388,13576.598,13282.548,13296.991,11665.0,46310.0,SS
2020-02-17,13350.225,13366.174,13301.422,13345.662,7633.0,47803.0,SS
2020-02-18,13317.218,13341.814,13216.316,13251.255,10113.0,49332.0,SS
2020-02-19,13221.915,13277.433,13177.608,13178.77,13143.0,54154.0,SS
2020-02-20,13163.357,13252.04,13158.041,13252.0,8012.0,54963.0,SS
2020-02-21,13252.145,13327.418,13198.016,13203.157,8221.0,55316.0,SS
2020-02-24,13177.039,13220.97,13041.332,13087.955,15452.0,53441.0,SS
2020-02-25,13071.532,13072.21,12963.908,12984.213,22434.0,47689.0,SS
2020-02-26,12964.126,12989.361,12655.783,12665.527,30481.0,58820.0,SS
2020-02-27,12670.463,12801.502,12648.06,12690.008,21764.0,64014.0,SS
2020-02-28,12668.809,12674.22,12400.662,12477.224,27456.0,70033.0,SS
2020-03-02,12524.67,12737.229,12512.724,12647.954,15713.0,72170.0,SS
2020-03-03,12699.227,12837.632,12643.405,12673.79,16512.0,75801.0,SS
2020-03-04,12690.265,12711.219,12551.524,12582.777,13569.0,79224.0,SS
2020-03-05,12574.358,12713.265,12524.138,12649.225,18095.0,82649.0,SS
2020-03-06,12654.356,12665.438,12558.449,12593.801,11141.0,84421.0,SS
2020-03-09,12428.285,12463.515,12106.694,12206.541,24548.0,81972.0,SS
2020-03-10,12251.726,12527.51,12249.785,12442.367,26035.0,82569.0,SS
2020-03-11,12448.862,12469.681,12337.192,12371.678,21619.0,84566.0,SS
2020-03-12,12346.054,12350.765,12149.475,12262.284,23151.0,85732.0,SS
2020-03-13,12085.235,12307.43,11978.186,12188.99,30350.0,85657.0,SS
2020-03-16,12210.72,12403.795,12177.663,12219.46,33202.0,86011.0,SS
2020-03-17,12219.256,12231.054,12104.729,12198.834,23047.0,82540.0,SS
2020-03-18,12187.863,12280.372,12026.468,12059.855,43989.0,85282.0,SS
2020-03-19,12096.644,12156.4,11696.354,11952.405,46479.0,83179.0,SS
2020-03-20,11972.123,12037.419,11905.24,11981.587,31566.0,83130.0,SS
2020-03-23,11853.371,11892.547,11714.472,11806.26,21656.0,81939.0,SS
2020-03-24,11811.73,11878.419,11740.452,11806.741,20507.0,76032.0,SS
2020-03-25,11883.072,11983.659,11853.049,11975.109,27191.0,65239.0,SS
2020-03-26,11997.751,12040.604,11920.105,11945.804,32100.0,75861.0,SS
2020-03-27,11999.252,12081.68,11922.576,12072.917,24616.0,81364.0,SS
2020-03-30,12075.068,12079.313,11790.263,11883.879,21121.0,83182.0,SS
2020-03-31,11906.418,12037.83,11902.359,11981.888,16690.0,84264.0,SS
2020-04-01,12008.654,12075.292,11929.895,11992.238,21017.0,81295.0,SS
2020-04-02,11930.503,11990.468,11820.723,11958.684,24949.0,78065.0,SS
2020-04-03,12020.261,12040.757,11911.892,11920.809,14292.0,75769.0,SS
2020-04-07,12082.254,12203.182,11952.136,12043.35,16738.0,77101.0,SS
2020-04-08,12027.061,12245.829,11981.964,12192.756,20811.0,80166.0,SS
2020-04-09,12221.158,12316.46,12159.185,12289.132,22690.0,83737.0,SS
2020-04-10,12369.524,12461.116,12262.884,12446.514,21796.0,84809.0,SS
2020-04-13,12381.539,12669.552,12372.008,12504.714,37324.0,86126.0,SS
2020-04-14,12611.498,12828.998,12535.955,12802.609,30993.0,86747.0,SS
2020-04-15,12830.137,13170.217,12775.811,12837.865,56524.0,85648.0,SS
2020-04-16,12776.788,12827.978,12661.702,12680.167,42397.0,85358.0,SS
2020-04-17,12765.681,12931.112,12745.546,12916.566,40628.0,85765.0,SS
2020-04-20,12923.387,13325.082,12882.498,13262.012,48273.0,88282.0,SS
2020-04-21,13244.951,13429.807,12586.149,12989.322,54985.0,85381.0,SS
2020-04-22,12958.684,13007.643,12803.311,12878.348,39432.0,83144.0,SS
2020-04-23,12926.381,13108.446,12797.026,12983.286,49990.0,79416.0,SS
2020-04-24,12922.373,13104.506,12801.233,12897.103,51801.0,67068.0,SS
2020-04-27,12938.289,13006.779,12810.676,12871.847,39186.0,55280.0,SS
2020-04-28,12820.217,12909.758,12565.89,12862.182,31411.0,53884.0,SS
2020-04-29,12870.128,12978.826,12747.631,12775.393,23314.0,52802.0,SS
2020-04-30,12882.458,12899.949,12784.283,12883.089,16896.0,48520.0,SS
2020-05-06,12852.43,13242.274,12810.193,13211.381,29640.0,52055.0,SS
