交易ID,配对,品种X,品种Y,入场日期,出场日期,持仓天数,信号类型,退出原因,Beta系数,入场Z_Score,出场Z_Score,入场价格_X,入场价格_Y,出场价格_X,出场价格_Y,价格变动_X,价格变动_Y,价格变动率_X%,价格变动率_Y%,手数_X,手数_Y,合约乘数_X,合约乘数_Y,入场价值_X,入场价值_Y,出场价值_X,出场价值_Y,总价值,保证金,保证金率%,毛盈亏,手续费,净盈亏,收益率%,入场价差,出场价差,价差变动,触发止损,止损后盈亏,止损后收益率,入场月份,出场月份
1,AG0-AL0,AG0,AL0,2024-10-08,2024-11-18,41,open_short,close_normal,0.5296,2.5148,-0.0078,7675.0000,20610.0000,7685.0000,20530.0000,10.0000,-80.0000,0.1303,-0.3882,2,1,15,5,230250.0000,103050.0000,230550.0000,102650.0000,333300.0000,39996.0000,12.0000,700.0000,133.3000,566.7000,1.4169,16561.6809,16228.4381,-333.2427,False,566.7000,1.4169,2024-10,2024-11
2,AG0-AL0,AG0,AL0,2024-12-17,2025-02-06,51,open_long,close_timeout,0.5788,-2.3651,-0.8483,7714.0000,19940.0000,8045.0000,20320.0000,331.0000,380.0000,4.2909,1.9057,5,3,15,5,578550.0000,299100.0000,603375.0000,304800.0000,877650.0000,105318.0000,12.0000,-19125.0000,357.1650,-19482.1650,-18.4984,15458.7237,15415.1906,-43.5331,True,-15797.7000,-15.0000,2024-12,2025-02
3,AG0-AL0,AG0,AL0,2025-03-28,2025-05-15,48,open_long,close_timeout,0.6599,-2.7839,-0.5418,8509.0000,20595.0000,8011.0000,20170.0000,-498.0000,-425.0000,-5.8526,-2.0636,3,2,15,5,382905.0000,205950.0000,360495.0000,201700.0000,588855.0000,70662.6000,12.0000,18160.0000,230.2100,17929.7900,25.3738,14962.9648,14557.6596,-405.3052,False,17929.7900,25.3738,2025-03,2025-05
4,AG0-PB0,AG0,PB0,2024-08-02,2024-09-13,42,open_long,close_timeout,1.1605,-2.9108,-1.8206,7495.0000,18180.0000,7427.0000,16700.0000,-68.0000,-1480.0000,-0.9073,-8.1408,4,5,15,5,449700.0000,454500.0000,445620.0000,417500.0000,904200.0000,108504.0000,12.0000,-32920.0000,353.4640,-33273.4640,-30.6657,9463.7044,7869.8913,-1593.8131,True,-16275.6000,-15.0000,2024-08,2024-09
5,AG0-PB0,AG0,PB0,2025-03-28,2025-05-15,48,open_long,close_timeout,1.4153,-2.7811,-0.8654,8509.0000,17465.0000,8011.0000,16960.0000,-498.0000,-505.0000,-5.8526,-2.8915,3,4,15,5,382905.0000,349300.0000,360495.0000,339200.0000,732205.0000,87864.6000,12.0000,12310.0000,286.3800,12023.6200,13.6843,5403.3634,5083.8193,-319.5441,False,12023.6200,13.6843,2025-03,2025-05
6,AG0-PB0,AG0,PB0,2025-06-03,2025-07-15,42,open_long,close_timeout,1.5140,-2.2488,-2.1731,8453.0000,16585.0000,9228.0000,16915.0000,775.0000,330.0000,9.1683,1.9897,2,3,15,5,253590.0000,248775.0000,276840.0000,253725.0000,502365.0000,60283.8000,12.0000,-18300.0000,206.5860,-18506.5860,-30.6991,3767.2189,2302.0981,-1465.1208,True,-9042.5700,-15.0000,2025-06,2025-07
7,AG0-ZN0,AG0,ZN0,2024-10-21,2024-11-12,22,open_short,close_normal,-1.9469,2.3107,0.2505,8346.0000,25215.0000,7578.0000,24865.0000,-768.0000,-350.0000,-9.2020,-1.3881,1,2,15,5,125190.0000,252150.0000,113670.0000,248650.0000,377340.0000,45280.8000,12.0000,15020.0000,147.9320,14872.0680,32.8441,41473.3405,39557.0236,-1916.3169,False,14872.0680,32.8441,2024-10,2024-11
8,AG0-ZN0,AG0,ZN0,2025-01-15,2025-02-14,30,open_long,close_normal,-1.9196,-2.4514,0.2632,7686.0000,23610.0000,8257.0000,24110.0000,571.0000,500.0000,7.4291,2.1177,1,2,15,5,115290.0000,236100.0000,123855.0000,241100.0000,351390.0000,42166.8000,12.0000,13565.0000,143.2690,13421.7310,31.8301,38354.9455,39901.7985,1546.8530,False,13421.7310,31.8301,2025-01,2025-02
9,AG0-ZN0,AG0,ZN0,2025-04-07,2025-05-22,45,open_long,close_timeout,-1.8909,-4.2383,-0.7174,7614.0000,22640.0000,8304.0000,22230.0000,690.0000,-410.0000,9.0623,-1.8110,1,2,15,5,114210.0000,226400.0000,124560.0000,222300.0000,340610.0000,40873.2000,12.0000,6250.0000,137.4940,6112.5060,14.9548,37028.2801,37783.6568,755.3768,False,6112.5060,14.9548,2025-04,2025-05
10,AG0-ZN0,AG0,ZN0,2025-07-14,2025-08-01,18,open_short,close_normal,-1.8438,2.3159,0.1625,9210.0000,22235.0000,8915.0000,22335.0000,-295.0000,100.0000,-3.2030,0.4497,1,2,15,5,138150.0000,222350.0000,133725.0000,223350.0000,360500.0000,43260.0000,12.0000,3425.0000,143.5150,3281.4850,7.5855,39226.2843,38651.1917,-575.0926,False,3281.4850,7.5855,2025-07,2025-08
