交易ID,配对,品种X,品种Y,入场日期,原始出场日期,原始持仓天数,触发止损,实际出场日期,实际持仓天数,信号类型,退出原因,Beta系数,入场Z_Score,出场Z_Score,入场价格_X,入场价格_Y,出场价格_X,出场价格_Y,手数_X,手数_Y,合约乘数_X,合约乘数_Y,保证金,保证金率%,原始毛盈亏,原始手续费,原始净盈亏,原始收益率%,止损后净盈亏,止损后收益率%,止损保护金额,入场价差,出场价差,价差变动,入场月份,出场月份
1,AG0-AL0,AG0,AL0,2024-10-08,2024-11-18,41,False,2024-11-18,41,open_short,close_normal,0.5296,2.5148,-0.0078,7675.0,20610.0,7685.0,20530.0,2,1,15,5,39996.0,12.0,700.0,133.3,566.7,1.4169,566.7,1.4169,0.0,16561.6809,16228.4381,-333.2427,2024-10,2024-11
2,AG0-AL0,AG0,AL0,2024-12-17,2025-02-06,51,True,2024-12-17,10,open_long,stop_loss,0.5788,-2.3651,0.0,7714.0,19940.0,8045.0,20320.0,5,3,15,5,105318.0,12.0,-19125.0,357.165,-19482.165,-18.4984,-15797.7,-15.0,3684.465,15458.7237,15458.7237,0.0,2024-12,2024-12
3,AG0-AL0,AG0,AL0,2025-03-28,2025-05-15,48,False,2025-05-15,48,open_long,close_timeout,0.6599,-2.7839,-0.5418,8509.0,20595.0,8011.0,20170.0,3,2,15,5,70662.6,12.0,18160.0,230.21,17929.79,25.3738,17929.79,25.3738,0.0,14962.9648,14557.6596,-405.3052,2025-03,2025-05
4,AG0-PB0,AG0,PB0,2024-08-02,2024-09-13,42,True,2024-08-02,10,open_long,stop_loss,1.1605,-2.9108,0.0,7495.0,18180.0,7427.0,16700.0,4,5,15,5,108504.0,12.0,-32920.0,353.464,-33273.464,-30.6657,-16275.6,-15.0,16997.864,9463.7044,9463.7044,0.0,2024-08,2024-08
5,AG0-PB0,AG0,PB0,2025-03-28,2025-05-15,48,False,2025-05-15,48,open_long,close_timeout,1.4153,-2.7811,-0.8654,8509.0,17465.0,8011.0,16960.0,3,4,15,5,87864.6,12.0,12310.0,286.38,12023.62,13.6843,12023.62,13.6843,0.0,5403.3634,5083.8193,-319.5441,2025-03,2025-05
6,AG0-PB0,AG0,PB0,2025-06-03,2025-07-15,42,True,2025-06-03,10,open_long,stop_loss,1.514,-2.2488,0.0,8453.0,16585.0,9228.0,16915.0,2,3,15,5,60283.8,12.0,-18300.0,206.586,-18506.586,-30.6991,-9042.57,-15.0,9464.016,3767.2189,3767.2189,0.0,2025-06,2025-06
7,AG0-ZN0,AG0,ZN0,2024-10-21,2024-11-12,22,False,2024-11-12,22,open_short,close_normal,-1.9469,2.3107,0.2505,8346.0,25215.0,7578.0,24865.0,1,2,15,5,45280.8,12.0,15020.0,147.932,14872.068,32.8441,14872.068,32.8441,0.0,41473.3405,39557.0236,-1916.3169,2024-10,2024-11
8,AG0-ZN0,AG0,ZN0,2025-01-15,2025-02-14,30,False,2025-02-14,30,open_long,close_normal,-1.9196,-2.4514,0.2632,7686.0,23610.0,8257.0,24110.0,1,2,15,5,42166.8,12.0,13565.0,143.269,13421.731,31.8301,13421.731,31.8301,0.0,38354.9455,39901.7985,1546.853,2025-01,2025-02
9,AG0-ZN0,AG0,ZN0,2025-04-07,2025-05-22,45,False,2025-05-22,45,open_long,close_timeout,-1.8909,-4.2383,-0.7174,7614.0,22640.0,8304.0,22230.0,1,2,15,5,40873.2,12.0,6250.0,137.494,6112.506,14.9548,6112.506,14.9548,0.0,37028.2801,37783.6568,755.3768,2025-04,2025-05
10,AG0-ZN0,AG0,ZN0,2025-07-14,2025-08-01,18,False,2025-08-01,18,open_short,close_normal,-1.8438,2.3159,0.1625,9210.0,22235.0,8915.0,22335.0,1,2,15,5,43260.0,12.0,3425.0,143.515,3281.485,7.5855,3281.485,7.5855,0.0,39226.2843,38651.1917,-575.0926,2025-07,2025-08
