date,signal,z_score,residual,beta,beta_initial,days_held,reason,phase,beta_window_used,pair,symbol_x,symbol_y
2020-01-02,converging,0.0,18140.496994394354,-0.787359083171085,-0.8287990349169316,0,converging,convergence_period,1y,AU-ZN,,
2020-01-03,converging,0.0,18003.9137380447,-0.7479911290125308,-0.8287990349169316,0,converging,convergence_period,1y,AU-ZN,,
2020-01-06,converging,0.0,18372.793907312607,-0.7105915725619043,-0.8287990349169316,0,converging,convergence_period,1y,AU-ZN,,
2020-01-07,converging,0.0,18410.4741924767,-0.6801635710404962,-0.8287990349169316,0,converging,convergence_period,1y,AU-ZN,,
2020-01-08,converging,0.0,18578.959861982592,-0.65614081485714,-0.8287990349169316,0,converging,convergence_period,1y,AU-ZN,,
2020-01-09,converging,0.0,18545.977333116174,-0.6373262365975806,-0.8287990349169316,0,converging,convergence_period,1y,AU-ZN,,
2020-01-10,converging,0.0,18534.580553056443,-0.6213700910079623,-0.8287990349169316,0,converging,convergence_period,1y,AU-ZN,,
2020-01-13,converging,0.0,18467.77359075632,-0.6075505227484042,-0.8287990349169316,0,converging,convergence_period,1y,AU-ZN,,
2020-01-14,converging,0.0,18391.6093801819,-0.5955117069504762,-0.8287990349169316,0,converging,convergence_period,1y,AU-ZN,,
2020-01-15,converging,0.0,18423.424324296626,-0.5845561710771143,-0.8287990349169316,0,converging,convergence_period,1y,AU-ZN,,
2020-01-16,converging,0.0,18480.686756225223,-0.5745285094882626,-0.8287990349169316,0,converging,convergence_period,1y,AU-ZN,,
2020-01-17,converging,0.0,18536.332385632115,-0.5652859842374539,-0.8287990349169316,0,converging,convergence_period,1y,AU-ZN,,
2020-01-20,converging,0.0,18594.802405466056,-0.5566923342211106,-0.8287990349169316,0,converging,convergence_period,1y,AU-ZN,,
2020-01-21,converging,0.0,18385.556283825183,-0.5486930563066227,-0.8287990349169316,0,converging,convergence_period,1y,AU-ZN,,
2020-01-22,converging,0.0,18501.621933494825,-0.5411956843360798,-0.8287990349169316,0,converging,convergence_period,1y,AU-ZN,,
2020-01-23,converging,0.0,18332.31972136657,-0.5341426290394817,-0.8287990349169316,0,converging,convergence_period,1y,AU-ZN,,
2020-02-03,converging,0.0,17503.54782551149,-0.5275992511921911,-0.8287990349169316,0,converging,convergence_period,1y,AU-ZN,,
2020-02-04,converging,0.0,17542.94740894426,-0.5213722150713782,-0.8287990349169316,0,converging,convergence_period,1y,AU-ZN,,
2020-02-05,converging,0.0,17481.92284478347,-0.5154501649214924,-0.8287990349169316,0,converging,convergence_period,1y,AU-ZN,,
2020-02-06,converging,0.0,17537.12407779091,-0.5097612398844578,-0.8287990349169316,0,converging,convergence_period,1y,AU-ZN,,
2020-02-07,converging,0.0,17492.77481282854,-0.5042601113108875,-0.8287990349169316,0,converging,convergence_period,1y,AU-ZN,,
2020-02-10,converging,0.0,17333.134670854426,-0.49897268726864014,-0.8287990349169316,0,converging,convergence_period,1y,AU-ZN,,
2020-02-11,converging,0.0,17302.142188589318,-0.49387278330785367,-0.8287990349169316,0,converging,convergence_period,1y,AU-ZN,,
