交易序号,配对,品种X,品种Y,方向,开仓日期,开仓Z值,开仓Beta,开仓原因,平仓日期,平仓Z值,平仓Beta,平仓原因,信号平仓原因,持仓天数,毛盈亏,手续费,净盈亏,收益率,保证金
1,SS-HC,SS,HC,long,2024-07-08,-2.1895,0.861869,z_threshold,2024-07-11,-0.1684,0.861716,signal,z_threshold,3,-23016.33,738.15,-23754.48,-10.67%,222730.82
2,SS-HC,SS,HC,long,2024-07-23,-3.5880,0.861127,z_threshold,2024-08-26,N/A,N/A,time_stop,,34,47340.24,709.00,46631.24,21.45%,217405.97
3,ZN-I,ZN,I,long,2024-08-15,-2.2451,0.661344,z_threshold,2024-08-26,N/A,N/A,stop_loss,,11,-32623.47,719.23,-33342.70,-15.93%,209335.27
4,NI-I,NI,I,long,2024-08-15,-2.3554,0.564139,z_threshold,2024-08-26,-0.3806,0.563424,stop_loss,z_threshold,11,-42561.69,448.35,-43010.04,-32.71%,131488.56
5,AL-I,AL,I,short,2024-09-30,2.0266,0.664493,z_threshold,2024-10-08,N/A,N/A,stop_loss,,8,-41283.37,493.98,-41777.35,-27.85%,150002.76
6,SF-I,SF,I,short,2024-09-30,2.3734,0.751016,z_threshold,2024-10-08,N/A,N/A,stop_loss,,8,-28560.39,562.36,-29122.75,-16.95%,171773.64
7,PB-I,PB,I,short,2024-09-30,3.6562,0.675423,z_threshold,2024-10-08,N/A,N/A,stop_loss,,8,-44648.44,655.90,-45304.34,-22.67%,199818.76
8,SS-I,SS,I,short,2024-09-30,2.6926,0.691445,z_threshold,2024-10-08,N/A,N/A,stop_loss,,8,-43573.20,544.42,-44117.62,-26.66%,165495.40
9,PB-SM,PB,SM,short,2024-09-30,2.7017,0.897053,z_threshold,2024-10-08,N/A,N/A,stop_loss,,8,-42829.70,729.17,-43558.87,-19.63%,221944.55
10,SS-RB,SS,RB,short,2024-09-30,2.6130,0.849210,z_threshold,2024-10-16,N/A,N/A,stop_loss,,16,-33811.94,729.28,-34541.22,-15.70%,220050.41
11,PB-RB,PB,RB,short,2024-09-30,2.4168,0.829563,z_threshold,2024-10-17,0.4308,0.831318,stop_loss,z_threshold,17,-53743.85,748.60,-54492.45,-23.68%,230107.66
12,PB-HC,PB,HC,short,2024-09-30,2.4519,0.832075,z_threshold,2024-10-17,N/A,N/A,stop_loss,,17,-32549.81,643.21,-33193.02,-16.85%,197000.38
13,SM-I,SM,I,short,2024-09-30,2.9318,0.752706,z_threshold,2024-11-04,N/A,N/A,time_stop,,35,-19033.10,393.64,-19426.74,-16.09%,120753.11
14,RB-SM,RB,SM,long,2024-10-08,-2.2983,1.082687,z_threshold,2024-11-04,N/A,N/A,stop_loss,,27,-32980.50,746.14,-33726.64,-15.05%,224066.35
15,HC-SM,HC,SM,long,2024-10-08,-2.5756,1.078568,z_threshold,2024-11-07,N/A,N/A,time_stop,,30,-18663.78,516.36,-19180.14,-12.45%,154010.30
16,CU-AL,CU,AL,short,2024-11-07,2.0826,0.883330,z_threshold,2024-11-28,0.2223,0.884196,signal,z_threshold,21,-20594.64,633.95,-21228.59,-10.91%,194576.20
17,PB-SN,PB,SN,long,2024-11-13,-2.5263,1.280525,z_threshold,2024-12-20,N/A,N/A,time_stop,,37,19814.05,673.52,19140.52,9.47%,202172.61
18,SS-NI,SS,NI,short,2024-11-26,2.1380,1.235531,z_threshold,2024-12-20,0.4574,1.236381,signal,z_threshold,24,-14890.84,562.34,-15453.18,-9.04%,170873.38
19,HC-I,HC,I,short,2024-11-27,2.0411,0.813307,z_threshold,2024-12-27,0.4128,0.814144,time_stop,z_threshold,30,-14667.36,673.83,-15341.19,-7.48%,205168.32
20,PB-SS,PB,SS,long,2024-12-02,-2.0106,0.976800,z_threshold,2024-12-27,-0.4829,0.976012,signal,z_threshold,25,-18656.25,354.29,-19010.54,-17.68%,107528.91
21,ZN-I,ZN,I,long,2024-12-27,-2.0348,0.657464,z_threshold,2025-01-02,-0.2145,0.657360,signal,z_threshold,6,-22963.42,509.88,-23473.30,-15.47%,151710.94
22,PB-SM,PB,SM,long,2024-12-05,-2.0903,0.898038,z_threshold,2025-01-02,-0.4995,0.897185,signal,z_threshold,28,-13758.39,643.87,-14402.26,-7.32%,196688.11
23,SM-NI,SM,NI,short,2024-12-26,2.1074,1.343608,z_threshold,2025-01-03,0.4853,1.344036,signal,z_threshold,8,-18449.18,589.87,-19039.05,-10.68%,178209.24
24,SM-AG,SM,AG,short,2025-01-07,2.0045,1.024923,z_threshold,2025-01-10,0.0587,1.025247,stop_loss,z_threshold,3,-30251.93,670.95,-30922.89,-15.57%,198652.30
25,RB-AG,RB,AG,short,2025-01-07,2.1332,1.104093,z_threshold,2025-01-14,-0.2267,1.104631,stop_loss,z_threshold,7,-29379.03,688.02,-30067.06,-14.56%,206463.48
26,HC-AG,HC,AG,short,2025-01-07,2.6655,1.098549,z_threshold,2025-01-14,-0.0473,1.099019,stop_loss,z_threshold,7,-29675.95,587.14,-30263.09,-17.20%,175918.14
27,RB-SN,RB,SN,short,2025-01-08,2.7449,1.532248,z_threshold,2025-01-14,0.4186,1.532748,signal,z_threshold,6,-24008.18,512.18,-24520.36,-16.04%,152836.42
28,AU-I,AU,I,long,2025-01-03,-2.1972,1.035691,z_threshold,2025-01-14,-0.4736,1.034758,signal,z_threshold,11,-11703.00,499.42,-12202.42,-8.21%,148718.26
29,SS-HC,SS,HC,long,2025-01-08,-2.5878,0.859521,z_threshold,2025-01-16,-0.2994,0.859258,stop_loss,z_threshold,8,-27589.08,680.14,-28269.22,-14.04%,201282.45
30,RB-NI,RB,NI,short,2025-01-08,2.7025,1.449004,z_threshold,2025-01-16,0.4296,1.449586,signal,z_threshold,8,-10770.58,374.95,-11145.53,-10.07%,110636.65
31,RB-SF,RB,SF,short,2025-01-09,2.3929,1.080202,z_threshold,2025-01-16,0.4234,1.080478,signal,z_threshold,7,-15930.90,542.27,-16473.17,-10.28%,160209.84
32,SN-SF,SN,SF,short,2025-01-15,2.1221,0.704604,z_threshold,2025-01-20,0.2118,0.704702,stop_loss,z_threshold,5,-28558.45,680.76,-29239.22,-14.31%,204348.52
33,AU-PB,AU,PB,long,2025-01-03,-2.1837,1.517235,z_threshold,2025-02-05,N/A,N/A,time_stop,,33,31126.95,428.99,30697.96,24.44%,125585.51
34,AU-HC,AU,HC,long,2025-01-03,-2.1805,1.268145,z_threshold,2025-02-05,N/A,N/A,time_stop,,33,36659.80,396.01,36263.79,31.26%,116015.39
35,PB-RB,PB,RB,short,2025-01-17,2.0765,0.831723,z_threshold,2025-02-05,-0.0267,0.832101,stop_loss,z_threshold,19,-34642.44,665.55,-35307.99,-17.71%,199368.82
36,SF-NI,SF,NI,long,2025-01-27,-2.3209,1.341648,z_threshold,2025-02-06,-0.4966,1.341591,signal,z_threshold,10,-15082.08,585.66,-15667.74,-8.97%,174581.54
37,AU-RB,AU,RB,long,2025-01-08,-2.1198,1.260685,z_threshold,2025-02-07,N/A,N/A,time_stop,,30,25947.80,391.32,25556.48,22.41%,114040.54
38,AG-SF,AG,SF,long,2025-02-05,-3.7083,0.977430,z_threshold,2025-02-07,-0.3797,0.977359,stop_loss,z_threshold,2,-35397.57,599.01,-35996.58,-20.19%,178263.51
39,CU-SM,CU,SM,short,2025-01-15,3.0032,0.778638,z_threshold,2025-02-11,0.4489,0.779143,stop_loss,z_threshold,27,-26248.89,571.86,-26820.75,-15.72%,170653.70
40,PB-SM,PB,SM,short,2025-01-14,2.2489,0.897239,z_threshold,2025-02-12,0.2246,0.897627,stop_loss,z_threshold,29,-33363.63,651.48,-34015.11,-17.55%,193833.03
41,ZN-SM,ZN,SM,short,2025-01-15,3.2547,0.863823,z_threshold,2025-02-12,N/A,N/A,stop_loss,,28,-38679.24,599.20,-39278.44,-21.69%,181129.55
42,RB-SM,RB,SM,short,2025-01-15,2.7614,1.079237,z_threshold,2025-02-12,0.3301,1.079880,stop_loss,z_threshold,28,-28808.96,552.78,-29361.74,-17.56%,167215.33
43,HC-SM,HC,SM,short,2025-01-15,2.2066,1.074946,z_threshold,2025-02-12,0.2397,1.075859,stop_loss,z_threshold,28,-27583.78,563.61,-28147.39,-16.50%,170538.75
44,SS-SM,SS,SM,short,2025-01-14,2.2071,0.920209,z_threshold,2025-02-12,0.4738,0.920831,signal,z_threshold,29,-1450.77,663.40,-2114.17,-1.06%,199350.32
45,SM-SF,SM,SF,long,2025-01-15,-2.8697,1.001599,z_threshold,2025-02-12,-0.3664,1.001275,signal,z_threshold,28,-19133.25,648.57,-19781.82,-10.03%,197300.41
46,AL-SM,AL,SM,short,2025-01-14,2.7958,0.881163,z_threshold,2025-02-12,0.1824,0.881621,signal,z_threshold,29,-12609.84,516.36,-13126.20,-8.50%,154446.70
47,ZN-I,ZN,I,short,2025-01-14,2.0377,0.657197,z_threshold,2025-02-13,N/A,N/A,time_stop,,30,16111.81,364.55,15747.27,14.48%,108724.57
48,CU-ZN,CU,ZN,long,2025-01-15,-2.0548,0.902309,z_threshold,2025-02-14,N/A,N/A,time_stop,,30,9031.41,640.51,8390.90,4.43%,189236.14
49,SS-AG,SS,AG,short,2025-02-05,2.5519,0.944728,z_threshold,2025-02-26,0.2478,0.945545,signal,z_threshold,21,-11375.27,377.65,-11752.92,-10.30%,114092.09
