pair,year,ols_beta_60d,beta_mean,beta_std,beta_min,beta_max,beta_range,beta_drift,beta_vs_initial,sign_changes,neg_to_pos,pos_to_neg,z_mean,z_std,z_var,z_min,z_max,z_gt2_ratio,z_gt25_ratio,z_gt3_ratio,z_gt2_count,reversion_rate,avg_reversion_time,adf_pvalue,residual_stationary,ols_correlation,score,data_points
AU-SS,2020,-0.44648164585537536,-0.4290019191361903,0.009363685847435122,-0.45106041229656535,-0.4085835716790957,0.04247684061746965,0.017242362577791603,0.017479726719185074,0,0,0,0.03895287604307838,1.1190518248852954,1.25227698677911,-4.1734775011908845,3.716550760576415,0.088,0.044,0.024,22,0.9090909090909091,2.3,3.6931077434090576e-18,True,0.26639495628457743,6,250
AU-SS,2021,0.09461875099783079,0.12738230348011706,0.0164204838599422,0.09138069972851698,0.1563104792805139,0.06492977955199691,0.047425150430785046,0.03276355248228627,0,0,0,0.13062420151231893,1.2096421577609258,1.4632341498325085,-3.252790392812123,5.52748160280383,0.076,0.044,0.028,19,1.0,3.8947368421052633,1.7670198859197898e-13,True,-0.2963303752306507,6,250
AU-SS,2022,1.5765596891249167,1.5457709909660313,0.01781693888474116,1.5013236898916198,1.57616554583559,0.0748418559439703,-0.07038529461189214,0.030788698158885408,0,0,0,-0.20412704076049779,1.1424409358629186,1.3051712919353413,-5.30879833889178,2.910480045573018,0.088,0.036,0.016,22,1.0,3.5454545454545454,8.492740324745983e-19,True,0.1338807091828374,5,250
SS-SF,2020,0.40103610131416845,0.40679946040617787,0.009973413836178157,0.39485229616774026,0.4324156054515938,0.03756330928385354,0.014742177273766366,0.0057633590920094235,0,0,0,0.09221646863195701,1.1741081830537907,1.3785300255138735,-2.9042332479457382,6.973310909084444,0.08,0.044,0.016,20,1.0,3.3,4.132616482549388e-09,True,-0.38592626640177763,6,250
SS-SF,2021,0.24275415439591205,0.2640572646378653,0.01595576100707465,0.2426146447993827,0.3185214009368881,0.07590675613750539,0.028024984293876426,0.02130311024195322,0,0,0,0.13977067337793408,1.2311592814738064,1.515753176359099,-3.5835468268442603,5.683637595004693,0.084,0.048,0.024,21,0.8571428571428571,4.277777777777778,0.002465492211204738,True,0.34395144898063074,4,250
SS-SF,2022,0.7109796477258311,0.7043716865609405,0.0032434171711785633,0.6965904219595823,0.7141989222619852,0.017608500302402907,-0.012628102696929933,0.006607961164890597,0,0,0,-0.051459160531843476,1.008498091140085,1.0170683998331949,-3.258713905686869,3.308251276997539,0.048,0.024,0.012,12,0.8333333333333334,2.0,9.356981851939881e-09,True,-0.0021888310669997994,8,250
AL-SN,2020,0.9228825903584725,0.9258216747438555,0.004219278273987822,0.9122963400901881,0.9388218178165856,0.02652547772639746,0.0020570285756830176,0.0029390843853829285,0,0,0,0.004021731412659209,1.0607386898406024,1.1251665681247578,-2.9257200001177126,3.3278015142008353,0.076,0.032,0.02,19,1.0,2.5789473684210527,2.0538979377716846e-15,True,0.7093009346880673,8,250
AL-SN,2021,0.6000688747793331,0.6278216208640749,0.015718232097043577,0.5994245462545787,0.6578842627188376,0.05845971646425885,0.04942730635498127,0.027752746084741764,0,0,0,0.20035586989226045,1.3445787987479834,1.8078921460425699,-3.690503120536035,13.41324005212538,0.092,0.052,0.028,23,0.9565217391304348,3.090909090909091,7.994646368501469e-27,True,-0.405746388385141,4,250
AL-SN,2022,0.45697769949887207,0.4152973007354085,0.014196211751859408,0.38978715202771674,0.457506670244018,0.06771951821630123,-0.03842034853558751,0.04168039876346358,0,0,0,-0.0917289851772166,1.1555303977180678,1.335250500050476,-4.716398446260329,4.741363251024783,0.076,0.048,0.028,19,0.8947368421052632,2.3529411764705883,1.447494761268224e-17,True,-0.14852736286073,6,250
AU-CU,2020,-0.10904769271459336,-0.08052907567818648,0.022013063656288127,-0.12019041696234817,-0.03960347590409473,0.08058694105825344,0.0695621724353086,0.028518617036406874,0,0,0,0.2550347529079618,1.129945423339092,1.27677665972496,-2.836041498940342,5.259368065035945,0.08,0.044,0.024,20,0.95,3.3157894736842106,8.684326475202508e-16,True,-0.3461882820459491,7,250
AU-CU,2021,-1.8483790979446286,-1.82702206155748,0.011850730093722438,-1.8475558936241852,-1.7968407661768,0.050715127447385155,0.0458833335913047,0.021357036387148698,0,0,0,0.10254551563647381,1.1241483686044118,1.2637095546359605,-4.248761655468714,4.31917062746673,0.072,0.032,0.016,18,0.9444444444444444,3.8823529411764706,7.613800171086845e-10,True,0.44648536195874333,7,250
AU-CU,2022,0.5416435392091051,0.5235445127878419,0.008669265737153728,0.5004739026078814,0.5416490367986141,0.04117513419073271,-0.02419107747595317,0.018099026421263265,0,0,0,-0.10668364304579844,1.1346614579823604,1.287456624230656,-4.653406319225933,2.5792078214145793,0.084,0.036,0.02,21,0.9047619047619048,2.9473684210526314,3.4156793861568327e-12,True,-0.8709399580311495,6,250
AU-PB,2020,0.11720042279294542,0.12089758350000733,0.006034514939532065,0.10933950879900221,0.13265758343994444,0.023318074640942224,0.005869515027585065,0.003697160707061914,0,0,0,0.032235560514283904,1.0621883161120977,1.1282440188850538,-3.638452634267818,5.087764899724294,0.064,0.028,0.02,16,0.9375,2.3333333333333335,2.3775529142180815e-21,True,0.30383453219619466,7,250
AU-PB,2021,0.09571237842603973,0.09841211559016097,0.003455002512842802,0.08752669272226012,0.10652912740082186,0.019002434678561747,0.003971769954677962,0.002699737164121238,0,0,0,-0.0013537175993350106,1.0226539216227548,1.0458210434103994,-4.754950040919231,3.1822552374096658,0.056,0.032,0.024,14,1.0,2.142857142857143,2.071769359308292e-23,True,-0.27488498632749553,7,250
