pair,symbol_x,symbol_y,beta_initial,total_signals,open_long,open_short,close,z_score_mean,z_score_std,z_score_min,z_score_max,beta_final,delta_final
CU-SN,CU,SN,3.34489,8,1,3,4,0.1350025141178567,0.9234979797360786,-2.243038299670113,4.673560411851991,3.387090503145697,0.995
RB-SM,RB,SM,1.969002,4,1,1,2,-0.4940709933706543,0.6755571063403991,-2.262147932915564,2.948879084745587,1.881774594624213,0.995
SF-AL,SF,AL,0.106179,2,0,1,1,0.8012050070513536,0.5831399361645667,-0.8916862464974891,2.0138511200009384,3.2849468125437635,0.995
AG-ZN,AG,ZN,-1.008904,2,1,0,1,-0.5423606411517643,0.888262787793936,-3.0297679081684654,1.8895976470094256,3.038263799301444,0.995
AG-PB,AG,PB,-0.052539,4,2,0,2,-0.7759848993979502,0.6365813485648113,-2.4065073780156228,0.7287891552346103,2.0907919212050112,0.995
PB-AL,PB,AL,0.17185,3,0,2,1,0.4706833724168307,0.7104593976154788,-1.1368463817401864,2.6383110947342607,1.1965709932616022,0.995
SM-PB,SM,PB,0.233115,2,1,0,1,0.6096967227069,0.677155987423347,-2.2869062033462906,1.6466795494940978,2.775763596762761,0.995
AG-AL,AG,AL,0.363646,8,4,0,4,-0.6990228040805152,0.7529956766107568,-2.56833124643411,1.4980319578607866,2.543395728990092,0.995
SS-ZN,SS,ZN,1.61957,6,1,2,3,0.06602173785940256,0.9565362126670871,-2.464489873954377,2.091550798243796,1.7456682979688811,0.995
AG-SM,AG,SM,-0.266226,4,1,1,2,-0.7110530967224219,0.701542301134686,-2.079929445988825,2.109923118796778,0.780643111856276,0.995
SF-SS,SF,SS,0.759083,2,0,1,1,0.5953067934169805,0.7959145585625887,-1.4554435012717826,2.661251804123212,2.134981289511576,0.995
AG-SS,AG,SS,-0.349129,4,2,0,2,-0.7784212878906455,0.6374039274552847,-2.274639445511997,1.0415827171773149,1.6303841793259486,0.995
AG-SF,AG,SF,-0.462785,4,2,0,2,-0.7994171000098093,0.6307107163123536,-2.5614224723344448,0.900448744331035,0.782181471335437,0.995
HC-SM,HC,SM,1.659088,5,2,1,2,-0.5012991197697171,0.7028023867047407,-2.102716381345047,3.032742245986419,1.7983890255828836,0.995
RB-SF,RB,SF,2.539622,4,2,0,2,-0.6884619456491357,0.7263561162400661,-2.448948464664959,1.813058227765504,1.8806396074513227,0.995
AU-I,AU,I,-0.104122,2,1,0,1,-0.8414677392206705,0.6217179871015864,-2.263612051165571,0.7303971925951698,1.1947664303580914,0.995
RB-SS,RB,SS,1.898814,2,0,1,1,0.5612840947532165,0.7429065305087202,-1.3907516871010246,2.964161689784139,4.0,0.995
AL-CU,AL,CU,2.817384,4,1,1,2,0.12653872311842893,0.921158245356529,-2.329135636631304,2.9451184026482498,3.788257112397696,0.995
PB-SS,PB,SS,0.270486,2,1,0,1,-0.1662470536539957,0.8520100241397323,-2.8065877739536185,1.6120733680348858,0.7636723995986378,0.995
SM-SF,SM,SF,1.06897,4,1,1,2,0.3820866823515569,0.7668200686314566,-2.0306657756624134,2.1754394929140783,0.9613534780315944,0.995
RB-AG,RB,AG,-1.317193,4,0,2,2,0.7092250116232788,0.7160097473552499,-1.023433589808622,2.7094963398953533,2.412151435403121,0.995
HC-SS,HC,SS,1.547345,3,1,1,1,0.19123419865882793,0.9129832310036875,-2.434227922137489,2.212484854168479,3.9161258059827726,0.995
