pair,z_var,z_mean,in_band,quality,delta,R,beta,calibrations,red_line_1
AG-NI,0.0004888963064659575,1.0566698862135684,False,bad,0.995,6117490121.343914,4.0,50,False
SF-ZN,0.7448670273752321,0.5376664938097003,False,warning,0.995,476809.239188201,3.889152046663637,39,False
AU-ZN,0.00037780275503869763,1.0789869288996414,False,bad,0.995,316874581.5100487,4.0,50,False
HC-AL,0.0001298049753608696,1.0933640462973644,False,bad,0.995,434772549.98918575,-0.572817643143751,50,False
ZN-SN,0.0004453056602570984,1.0879329275462841,False,bad,0.995,26783552724.139904,4.0,50,False
RB-AL,0.00012691522979099647,1.0926554699791107,False,bad,0.995,429963361.36496246,-0.5626716839260604,50,False
AU-CU,9.884410046904792e-05,1.0865720107079644,False,bad,0.995,4864415296.960225,4.0,50,False
AU-NI,0.0002713789033886851,1.0726783716429746,False,bad,0.995,11887224921.875204,4.0,50,False
SF-NI,0.00020020644131620737,1.0717870769666695,False,bad,0.995,8227245000.814241,4.0,50,False
SF-CU,0.0006275419075813591,1.087678772144756,False,bad,0.995,2644770306.8346024,4.0,49,False
SS-NI,0.0003575825508858485,1.0682578387335278,False,bad,0.995,4126397201.284202,4.0,49,False
CU-SN,0.4970934884455087,0.09736355958757535,False,bad,0.995,3239037.785393207,3.3941877182917604,46,False
I-AL,8.622332647336575e-05,1.088175286291997,False,bad,0.995,259871399.85094014,4.0,50,False
SM-AL,0.07347962932429425,0.6983963084242181,False,bad,0.995,2257714.172633734,3.3145346907184328,50,False
AG-CU,0.0004008667423587499,1.0643040894131264,False,bad,0.995,1515639868.6513839,4.0,49,False
RB-SM,0.8830992784324507,-0.3291547697177989,True,good,0.995,5567.998219796776,1.8675770520745574,44,True
SM-NI,0.00021440752847193034,1.071408369531375,False,bad,0.995,8077188703.159599,4.0,50,False
AU-SN,0.00024716465269603483,1.0844252441808673,False,bad,0.995,59278652427.66352,4.0,50,False
SF-AL,0.12614434635965963,1.0600140904203244,False,bad,0.995,3221372.1657817657,3.263780041987561,47,False
SM-ZN,0.3577525772803566,0.20354736810440865,False,bad,0.995,447372.1346256855,3.7450284403458554,50,False
AG-ZN,0.09619346967741853,-1.3000641190600064,False,bad,0.995,9005107.427282346,2.7924982028536958,50,False
AG-PB,0.19729140731759512,-1.4317209340924548,False,bad,0.995,3452423.289160039,2.0569446109391794,50,False
RB-ZN,0.0003972552781761011,1.0851507403172203,False,bad,0.995,518643242.68654364,-0.7151485162837699,50,False
AU-PB,0.00017672638576757044,1.078986278635617,False,bad,0.995,161059587.93888864,4.0,49,False
PB-AL,0.4281863126272754,1.1313924808040043,False,bad,0.995,226736.92308819914,1.1924976606746598,44,False
SM-CU,0.00047867746058308263,1.0870946697023787,False,bad,0.995,2559786848.333474,4.0,50,False
I-SN,0.00023769842322957994,1.084808024936522,False,bad,0.995,59294092842.42486,4.0,50,False
AU-AL,9.576152566159123e-05,1.0915990265528361,False,bad,0.995,258845633.84781766,4.0,50,False
SM-PB,0.02010498019328454,0.8876126356199097,False,bad,0.995,8288903.263563331,2.4271663347188923,50,False
RB-PB,0.00011687985767332942,1.085559212665957,False,bad,0.995,287508315.0536097,-0.48049089124390904,50,False
I-PB,0.0002394640402249994,1.0770274488301688,False,bad,0.995,161898786.12029666,4.0,50,False
AU-SM,0.007521750948486146,1.0809970313009634,False,bad,0.995,6971331.076153204,4.0,50,False
HC-PB,0.0001255741529126044,1.0855250856627412,False,bad,0.995,295782931.04238015,-0.5106856895760251,50,False
AU-SS,0.0005176432982476354,1.0791912754773305,False,bad,0.995,81816198.86662734,4.0,50,False
AG-AL,0.017603931452456444,0.6961897788016518,False,bad,0.995,2786325.749169823,2.1402349684655273,50,False
SS-ZN,0.10045040114019188,-0.8591037304204657,False,bad,0.995,359788.64044776553,1.7705306643049272,44,False
SS-CU,0.0019464239443595444,1.097839668891168,False,bad,0.995,623066241.4141227,4.0,50,False
RB-CU,0.00013705208357203775,1.0875004849673127,False,bad,0.995,6744251748.581244,-3.2378316604382165,50,False
AG-SM,0.05287346790231947,-1.1975512148781189,False,bad,0.995,1409696.89856919,0.790525330133378,43,False
I-SM,0.0023376231105159103,1.0722987486164726,False,bad,0.995,7122870.285363472,4.0,50,False
SF-SS,0.00591555639024092,0.9735409092649541,False,bad,0.995,9508622.810510155,1.738667470724118,50,False
AG-SS,0.008148124781721106,0.6733036139504551,False,bad,0.995,2508337.5252533453,1.3196035833346886,50,False
