pair,z_var,z_mean,z_std,current_delta,current_R,current_beta,quality_status,calibration_count,total_signals
AG-NI,0.00043740705150189607,0.9632470204811887,0.020914278651244372,0.995,7300638537.335672,4.0,bad,50,309
SF-ZN,0.3707113725692942,0.6706388167653422,0.6088607168879383,0.995,1123066.1983455971,3.833107797856061,bad,50,309
AU-ZN,0.0004457220038503669,0.988158947552937,0.021112129306405047,0.995,372824707.89432293,4.0,bad,50,309
HC-AL,0.0036605820449293613,1.000448935483227,0.06050274411073733,0.995,51033400.717205904,4.0,bad,50,309
ZN-SN,0.0003766797174112149,1.0064510213999145,0.019408238390209838,0.995,31305637369.328632,4.0,bad,50,309
RB-AL,0.0023045367356937445,1.0088755695734066,0.04800559067123062,0.995,61160785.14770483,4.0,bad,50,309
AU-CU,8.47117534074133e-05,1.004060043703853,0.009203898815578825,0.995,5707177175.703828,4.0,bad,50,309
AU-NI,0.000261919755089905,0.9839868984056618,0.016183935092859987,0.995,14034645789.277378,4.0,bad,50,309
SF-NI,0.0001676651323307287,0.9841615948580825,0.012948557152467942,0.995,9754460723.618557,4.0,bad,50,309
SF-CU,0.0006757085354131596,1.0087920234284296,0.025994394307487904,0.995,3119544995.270267,4.0,bad,50,309
SS-NI,0.00030704491464924585,0.9789612682540968,0.017522697128274683,0.995,4902732745.776681,4.0,bad,50,309
CU-SN,0.3191617106864339,0.056221859950940714,0.5649439889815927,0.995,8105733.016236904,3.387090503145697,bad,38,309
I-AL,7.431625028969637e-05,1.0053229713224199,0.008620687344388287,0.995,304916691.658263,4.0,bad,50,309
SM-AL,0.18942758188775807,0.8765343794822111,0.4352327904555883,0.995,1516664.9726084105,3.306186352458112,bad,50,309
AG-CU,0.0003439280748815287,0.9764292692174151,0.018545297918381595,0.995,1807055298.4776118,4.0,bad,50,309
RB-SM,0.32366053937617806,-0.6559930960906939,0.5689117149226038,0.995,12253.830663711497,1.881774594624213,bad,46,309
SM-NI,0.0001811970741860042,0.9833513620234337,0.013460946258937527,0.995,9575073494.328022,4.0,bad,50,309
AU-SN,0.00022318817865684881,1.0005457326800855,0.014939483881876535,0.995,69415753435.69312,4.0,bad,50,309
SF-AL,0.16012191951320232,1.0190316731693734,0.4001523703705906,0.995,3891690.804790767,3.2849468125437635,bad,50,309
SM-ZN,0.05524764287749288,0.7602185276869198,0.23504817139789214,0.995,3781383.9924200093,3.536973289087064,bad,50,309
AG-ZN,0.033417019544830714,-1.2159209340206674,0.1828032262976524,0.995,28000710.052239165,3.038263799301444,bad,45,309
AG-PB,0.10509254941778252,-1.3565478344166408,0.32417981031795073,0.995,4866165.743460876,2.0907919212050112,bad,50,309
RB-ZN,0.0005498717083967764,0.975574194334132,0.02344934345342693,0.995,94603373.91343988,4.0,bad,50,309
AU-PB,0.00016949395073150784,0.9919941328414753,0.013018984243461847,0.995,190330536.41497698,4.0,bad,50,309
PB-AL,0.42096330644079816,0.9798468921182519,0.6488168512306058,0.995,188113.1680559,1.1965709932616022,bad,50,309
SM-CU,0.0005124588301861371,1.0077172992337213,0.022637553538007085,0.995,3018096770.5099473,4.0,bad,50,309
I-SN,0.0002116904298896483,1.0009318370000673,0.01454958521366325,0.995,69448913356.7618,4.0,bad,50,309
AU-AL,0.00011042279497885818,1.0070870384022454,0.010508225110781467,0.995,302727629.29055023,4.0,bad,50,309
SM-PB,0.3581534502222874,0.685528584019894,0.5984592302089486,0.995,731947.746381337,2.775763596762761,bad,38,309
RB-PB,0.01069678741807204,0.9688587868757359,0.10342527456126012,0.995,17977668.32316843,4.0,bad,50,309
I-PB,0.0002332202472704237,0.992107437013651,0.015271550257600689,0.995,192114825.9540706,4.0,bad,50,309
AU-SM,0.009309691519396127,0.9730046387592975,0.09648674271316307,0.995,8027574.7556360345,4.0,bad,50,309
HC-PB,0.018417112358858078,0.9458254557835013,0.1357096619952245,0.995,12819069.130127575,4.0,bad,50,309
AU-SS,0.0006365382891309941,0.9883769210998388,0.025229710444850412,0.995,95728714.7937395,4.0,bad,50,309
AG-AL,0.08383501778862333,-1.289325410714859,0.2895427736770913,0.995,6878573.544584088,2.543395728990092,bad,49,309
SS-ZN,0.37320040294868306,-0.3807250625855303,0.6109013037706525,0.995,108099.90588631896,1.7456682979688813,bad,43,309
SS-CU,0.0020530927490712393,1.0237283458788875,0.04531106651880133,0.995,735037410.9755222,4.0,bad,50,309
RB-CU,0.00017078584998886457,1.0044623220934334,0.013068506035077788,0.995,4351152210.942279,4.0,bad,50,309
AG-SM,0.07047647636336785,-1.1773861826236873,0.2654740596807301,0.995,1421739.37245567,0.780643111856276,bad,44,309
I-SM,0.002355458968925378,0.9775643281841477,0.04853307087878715,0.995,8349810.092023738,4.0,bad,50,309
SF-SS,0.16346983491034076,0.8544761145689161,0.4043140300686346,0.995,759690.078405169,2.134981289511576,bad,47,309
AG-SS,0.10458791749352153,-1.3187915280723925,0.3234005527105999,0.995,3902119.9912750195,1.6303841793259486,bad,50,309
AU-RB,0.3577283696171561,0.3149153422846383,0.5981039789343957,0.995,21872.872796938624,4.0,bad,50,309
HC-CU,0.00019747723031871684,1.0034802890677486,0.01405265919029978,0.995,4261794710.570794,4.0,bad,50,309
AU-SF,0.01602078939890638,0.962291810643987,0.1265732570447106,0.995,6811102.302077494,4.0,bad,50,309
I-NI,0.00022290365794726575,0.9849203992092046,0.014929958404070178,0.995,14049574755.950449,4.0,bad,50,309
SM-SS,0.21079470571928244,0.5722480800389279,0.4591238457315002,0.995,241150.49950813898,2.132142786736093,bad,50,309
AL-SN,0.0003574311475953554,0.9991551233762145,0.018905849560264552,0.995,34060960101.430725,4.0,bad,50,309
AG-SF,0.07460494000293443,-1.1806420635744859,0.27313904884313855,0.995,2017949.2237355483,0.782181471335437,bad,50,309
PB-CU,0.004486820737057931,1.055518784790395,0.0669837348694288,0.995,122537850.90316193,4.0,bad,50,309
I-CU,9.376932564126407e-05,1.0040556511826455,0.009683456285916927,0.995,5716788571.139921,4.0,bad,50,309
HC-SM,0.24579902145629212,-0.8617894053549452,0.4957812233801237,0.995,23822.608186287347,1.7983890255828836,bad,45,309
PB-NI,0.0013047860087553654,0.9714335840329525,0.03612182178068218,0.995,2913673787.8758535,4.0,bad,50,309
RB-SF,0.13168481191350936,-1.065402717499044,0.3628840199202899,0.995,87857.15870946254,1.8806396074513227,bad,50,309
AU-AG,0.0008662894269933021,1.0539039781047697,0.02943279509311513,0.995,35267413.066118196,4.0,bad,49,309
AU-I,0.03102407642642173,-0.9362143135910005,0.17613652780278635,0.995,30587.129494601268,1.1947664303580914,bad,50,309
HC-ZN,0.0008259404186644271,0.9670957386694,0.028739179157805238,0.995,81901051.39716855,4.0,bad,50,309
RB-SS,0.3334123133833241,0.5377257890416235,0.5774186638681885,0.995,131306.30188772982,4.0,bad,44,309
AU-HC,0.38672461295926536,0.6341046339617802,0.6218718621703875,0.995,77404.65329457376,4.0,bad,50,309
AL-CU,0.11892468431813091,0.6911155117597095,0.3448545843078368,0.995,1854025.6294182027,3.788257112397696,bad,46,309
PB-SS,0.9668807397292075,-0.5885148832316281,0.9833009405717089,0.995,68416.37496990323,0.7636723995986378,good,45,309
SM-SF,0.6165232236509361,-0.23808250666397518,0.7851899283937206,0.995,5837.502922436126,0.9613534780315945,warning,49,309
RB-AG,0.06863632587429028,1.1979668499804008,0.2619853543125842,0.995,2046822.0212381615,2.412151435403121,bad,49,309
HC-SS,1.1490704862727292,-0.16602755749333659,1.0719470538570126,0.995,194236.56362818496,3.9161258059827726,good,46,309
