pair,z_var,z_mean,z_std,z_gt2_ratio,z_gt2_count,reversion_rate,avg_reversion_time,residual_stationary,quality_status,data_points
AG-NI,0.37998023261882585,-0.07165960698724748,0.6164253666250489,0.0,0,0.0,,True,bad,60
AU-ZN,0.4577307403414664,-0.0013188958506403067,0.676558009590801,0.0,0,0.0,,True,bad,60
AU-CU,0.3770913980693223,0.021826191729901974,0.614077680810272,0.0,0,0.0,,True,bad,60
SF-NI,0.8888169393530444,-0.07041214434548919,0.9427708838063702,0.03333333333333333,2,0.0,,True,good,60
AU-NI,0.3486481538161603,-0.031175700970926187,0.5904643543992815,0.0,0,0.0,,True,bad,60
ZN-SM,0.4286136818871966,0.03596027741666651,0.6546859414155741,0.016666666666666666,1,0.0,,True,bad,60
SS-NI,0.38457704387119734,-0.03404950867810919,0.6201427608794586,0.0,0,0.0,,True,bad,60
CU-SN,0.3613344457118465,-0.004018282293100353,0.6011110094748278,0.016666666666666666,1,1.0,1.0,True,bad,60
RB-SM,0.12728727644501492,-0.01103906139238705,0.3567734245218034,0.0,0,0.0,,True,bad,60
SM-NI,0.3324793225709957,-0.04184364553909963,0.5766101998499469,0.0,0,0.0,,True,bad,60
AU-SN,0.3685211515553018,0.0166827087394172,0.6070594300027814,0.0,0,0.0,,True,bad,60
RB-SN,0.19096624383654887,0.02956510896341298,0.4369968464835288,0.0,0,0.0,,True,bad,60
PB-AL,0.3733281644181095,0.06175269072979163,0.6110058628344818,0.0,0,0.0,,True,bad,60
AU-PB,0.276397545315394,-0.008926972730352253,0.5257352426035314,0.0,0,0.0,,True,bad,60
HC-SN,0.1990206344854446,0.04427009695679641,0.44611728781279547,0.0,0,0.0,,True,bad,60
AU-AL,0.43246507789456745,0.05058168211237798,0.657620770577213,0.016666666666666666,1,1.0,2.0,True,bad,60
AG-SN,0.5348440214887301,-0.10232988920983077,0.7313303094284621,0.016666666666666666,1,1.0,5.0,True,bad,60
AU-SS,0.5213365190836725,0.0008869935224073626,0.7220363696405275,0.0,0,0.0,,True,bad,60
SM-I,0.36183434877170995,0.12227381563690908,0.6015266816789675,0.0,0,0.0,,True,bad,60
AU-SM,0.2848377720042288,0.0425676161136288,0.5337019505344053,0.016666666666666666,1,0.0,,True,bad,60
HC-I,1.2152343521014588,-0.1633939295938946,1.1023766833988546,0.11666666666666667,7,0.42857142857142855,1.3333333333333333,True,bad,60
PB-SN,0.2822902573243152,0.02659327123524506,0.5313099446879526,0.0,0,0.0,,True,bad,60
RB-NI,0.3232805612574157,-0.020746565062724986,0.568577665106022,0.0,0,0.0,,True,bad,60
AL-I,0.3340809075251816,0.11657669181830017,0.5779973248425823,0.0,0,0.0,,True,bad,60
CU-ZN,0.6064578226688627,-0.02490780665923183,0.7787540193596838,0.03333333333333333,2,1.0,2.0,True,warning,60
PB-CU,0.38521829330624513,0.03122717187832358,0.6206595631312266,0.0,0,0.0,,True,bad,60
ZN-I,0.3183737052192584,0.12247364480944103,0.5642461388607444,0.0,0,0.0,,True,bad,60
AU-RB,0.8149696649900224,0.10636479840022264,0.902756703098915,0.06666666666666667,4,0.5,1.5,True,warning,60
AU-AG,0.6188597445347511,0.15682727668382151,0.7866763912402298,0.03333333333333333,2,1.0,2.5,True,warning,60
AL-SN,0.4393536192352954,-0.05139375111843145,0.6628375511656649,0.016666666666666666,1,1.0,1.0,True,bad,60
CU-SM,0.4207205072772081,0.018770431845574646,0.6486297150741771,0.016666666666666666,1,0.0,,True,bad,60
CU-AL,0.5538932254682557,0.054022159081053525,0.744240032159152,0.016666666666666666,1,1.0,1.0,True,bad,60
AG-SF,1.7206787498300649,0.03929447134126799,1.3117464502830052,0.18333333333333332,11,0.45454545454545453,1.4,True,bad,60
SN-I,0.34317264817902504,0.11313520848252781,0.585809395775644,0.0,0,0.0,,True,bad,60
RB-SF,1.4230895290390444,0.027203326918538374,1.1929331620166506,0.13333333333333333,8,0.375,2.0,True,bad,60
SF-I,0.8608293018831752,0.09009773274635276,0.9278088714186641,0.016666666666666666,1,0.0,,True,warning,60
AU-SF,1.5914626160513476,0.07186586756483951,1.2615318529673945,0.15,9,0.3333333333333333,1.6666666666666667,True,bad,60
HC-SM,0.13582053115777118,-0.04204523662603649,0.368538371350625,0.0,0,0.0,,True,bad,60
SS-AG,0.4130225431685074,0.09888862989602135,0.6426682994893301,0.0,0,0.0,,True,bad,60
PB-NI,0.35027080232549096,-0.024565415879295584,0.5918368037943322,0.0,0,0.0,,True,bad,60
SM-AG,0.2777778088130279,0.09197121859426584,0.5270463061373525,0.0,0,0.0,,True,bad,60
AU-I,0.3492274570183433,0.13483364064282968,0.5909546996330118,0.0,0,0.0,,True,bad,60
CU-SF,1.9900459092380904,0.06786664397340987,1.4106898699707495,0.16666666666666666,10,0.4,2.25,True,bad,60
AG-I,0.34027798680648896,0.11905123274232646,0.5833335125007726,0.0,0,0.0,,True,bad,60
SS-SM,0.3018634640260405,0.022340711593640837,0.549421026195795,0.0,0,0.0,,True,bad,60
CU-I,0.3412181916250683,0.11475530168999046,0.5841388461873327,0.0,0,0.0,,True,bad,60
PB-I,0.3444762997445565,0.12346057138377736,0.5869210336532135,0.0,0,0.0,,True,bad,60
SS-RB,0.7574481898960396,0.11073735758957758,0.870314994640469,0.06666666666666667,4,0.25,2.0,True,warning,60
SN-SF,1.9800989628722208,0.06998366049058917,1.40715989243306,0.16666666666666666,10,0.4,1.5,True,bad,60
RB-I,1.2921866161982931,-0.0008630246385906056,1.136743865696355,0.08333333333333333,5,0.2,1.0,True,bad,60
SS-I,0.3789333789579008,0.13524033900995444,0.6155756484445277,0.0,0,0.0,,True,bad,60
