date,pair,signal,z_score,beta,S,R,delta,quality,days_held,phase,symbol_x,symbol_y,initial_beta,pvalue_1y,pvalue_5y
2024-05-17,AG-NI,warm_up,2.029697406591539,4.0,2793966899.9800878,601461786.1480151,0.98,unknown,0,warm_up,AG,NI,-3.340085,9.79393388459655e-06,0.0044542330887884455
2024-05-20,AG-NI,warm_up,5.030748349283478,4.0,619425239.3414989,1364884741.7450264,0.98,unknown,0,warm_up,AG,NI,-3.340085,9.79393388459655e-06,0.0044542330887884455
2024-05-21,AG-NI,warm_up,3.3770206756139998,4.0,1382794172.837245,2087249224.7528667,0.98,unknown,0,warm_up,AG,NI,-3.340085,9.79393388459655e-06,0.0044542330887884455
2024-05-22,AG-NI,warm_up,2.7181288442452134,4.0,2105772953.30979,2755468351.6020675,0.98,unknown,0,warm_up,AG,NI,-3.340085,9.79393388459655e-06,0.0044542330887884455
2024-05-23,AG-NI,warm_up,2.2856914297346704,4.0,2772500452.933035,3328855393.335296,0.98,unknown,0,warm_up,AG,NI,-3.340085,9.79393388459655e-06,0.0044542330887884455
2024-05-24,AG-NI,warm_up,2.103832392831465,4.0,3346311570.3057547,3884492493.8614063,0.98,unknown,0,warm_up,AG,NI,-3.340085,9.79393388459655e-06,0.0044542330887884455
2024-05-27,AG-NI,warm_up,1.9449157360841567,4.0,3902595587.1519775,4404302155.7163315,0.98,unknown,0,warm_up,AG,NI,-3.340085,9.79393388459655e-06,0.0044542330887884455
2024-05-28,AG-NI,warm_up,1.846756700342982,4.0,4423636560.829374,4909473789.4508705,0.98,unknown,0,warm_up,AG,NI,-3.340085,9.79393388459655e-06,0.0044542330887884455
2024-05-29,AG-NI,warm_up,1.746984285367816,4.0,4930341351.862198,5382311311.068663,0.98,unknown,0,warm_up,AG,NI,-3.340085,9.79393388459655e-06,0.0044542330887884455
2024-05-30,AG-NI,warm_up,1.6178129980766616,4.0,5402209351.547017,5780477168.023567,0.98,unknown,0,warm_up,AG,NI,-3.340085,9.79393388459655e-06,0.0044542330887884455
2024-05-31,AG-NI,warm_up,1.5657027792945055,4.0,5800546138.914975,6158848389.811785,0.98,unknown,0,warm_up,AG,NI,-3.340085,9.79393388459655e-06,0.0044542330887884455
2024-06-03,AG-NI,warm_up,1.4777558431625408,4.0,6177910505.556958,6477362987.3010235,0.98,unknown,0,warm_up,AG,NI,-3.340085,9.79393388459655e-06,0.0044542330887884455
2024-06-04,AG-NI,warm_up,1.4246687509083793,4.0,6497389434.802206,6761290246.726307,0.98,unknown,0,warm_up,AG,NI,-3.340085,9.79393388459655e-06,0.0044542330887884455
2024-06-05,AG-NI,warm_up,1.3533388678817508,4.0,6780135230.22706,6988930555.341321,0.98,unknown,0,warm_up,AG,NI,-3.340085,9.79393388459655e-06,0.0044542330887884455
2024-06-06,AG-NI,warm_up,1.328318678656101,4.0,7009412813.741141,7200343435.872883,0.98,unknown,0,warm_up,AG,NI,-3.340085,9.79393388459655e-06,0.0044542330887884455
2024-06-07,AG-NI,warm_up,1.297718650559659,4.0,7222144069.507834,7388616595.389542,0.98,unknown,0,warm_up,AG,NI,-3.340085,9.79393388459655e-06,0.0044542330887884455
2024-06-11,AG-NI,warm_up,1.2699387879359985,4.0,7407991428.71381,7554606678.218757,0.98,unknown,0,warm_up,AG,NI,-3.340085,9.79393388459655e-06,0.0044542330887884455
2024-06-12,AG-NI,warm_up,1.2549179301888171,4.0,7574750687.635981,7709702208.4326105,0.98,unknown,0,warm_up,AG,NI,-3.340085,9.79393388459655e-06,0.0044542330887884455
2024-06-13,AG-NI,warm_up,1.2283845327819454,4.0,7730100164.377683,7841992690.469842,0.98,unknown,0,warm_up,AG,NI,-3.340085,9.79393388459655e-06,0.0044542330887884455
2024-06-14,AG-NI,warm_up,1.2042635910865371,4.0,7862398113.247603,7952998034.601628,0.98,unknown,0,warm_up,AG,NI,-3.340085,9.79393388459655e-06,0.0044542330887884455
2024-06-17,AG-NI,warm_up,1.1747246013960018,4.0,7973791730.112212,8037004622.807703,0.98,unknown,0,warm_up,AG,NI,-3.340085,9.79393388459655e-06,0.0044542330887884455
2024-06-18,AG-NI,warm_up,1.1505267614899963,4.0,8058571226.784747,8098812874.344492,0.98,unknown,0,warm_up,AG,NI,-3.340085,9.79393388459655e-06,0.0044542330887884455
2024-06-19,AG-NI,warm_up,1.1526263678306652,4.0,8120877699.996239,8163121680.10483,0.98,unknown,0,warm_up,AG,NI,-3.340085,9.79393388459655e-06,0.0044542330887884455
2024-06-20,AG-NI,warm_up,1.147991222677629,4.0,8186993457.348213,8223599207.522167,0.98,unknown,0,warm_up,AG,NI,-3.340085,9.79393388459655e-06,0.0044542330887884455
