date,pair,signal,z_score,innovation,beta,beta_initial,days_held,reason,phase,beta_window_used,symbol_x,symbol_y
2024-02-08,AG-NI,ols_training,0.0,0.0,0.29606269352757864,-0.216854,0,ols_training,ols_training,1y,AG,NI
2024-02-19,AG-NI,ols_training,0.0,0.0,0.29606269352757864,-0.216854,0,ols_training,ols_training,1y,AG,NI
2024-02-20,AG-NI,ols_training,0.0,0.0,0.29606269352757864,-0.216854,0,ols_training,ols_training,1y,AG,NI
2024-02-21,AG-NI,ols_training,0.0,0.0,0.29606269352757864,-0.216854,0,ols_training,ols_training,1y,AG,NI
2024-02-22,AG-NI,ols_training,0.0,0.0,0.29606269352757864,-0.216854,0,ols_training,ols_training,1y,AG,NI
2024-02-23,AG-NI,ols_training,0.0,0.0,0.29606269352757864,-0.216854,0,ols_training,ols_training,1y,AG,NI
2024-02-26,AG-NI,ols_training,0.0,0.0,0.29606269352757864,-0.216854,0,ols_training,ols_training,1y,AG,NI
2024-02-27,AG-NI,ols_training,0.0,0.0,0.29606269352757864,-0.216854,0,ols_training,ols_training,1y,AG,NI
2024-02-28,AG-NI,ols_training,0.0,0.0,0.29606269352757864,-0.216854,0,ols_training,ols_training,1y,AG,NI
2024-02-29,AG-NI,ols_training,0.0,0.0,0.29606269352757864,-0.216854,0,ols_training,ols_training,1y,AG,NI
2024-03-01,AG-NI,ols_training,0.0,0.0,0.29606269352757864,-0.216854,0,ols_training,ols_training,1y,AG,NI
2024-03-04,AG-NI,ols_training,0.0,0.0,0.29606269352757864,-0.216854,0,ols_training,ols_training,1y,AG,NI
2024-03-05,AG-NI,ols_training,0.0,0.0,0.29606269352757864,-0.216854,0,ols_training,ols_training,1y,AG,NI
2024-03-06,AG-NI,ols_training,0.0,0.0,0.29606269352757864,-0.216854,0,ols_training,ols_training,1y,AG,NI
2024-03-07,AG-NI,ols_training,0.0,0.0,0.29606269352757864,-0.216854,0,ols_training,ols_training,1y,AG,NI
2024-03-08,AG-NI,ols_training,0.0,0.0,0.29606269352757864,-0.216854,0,ols_training,ols_training,1y,AG,NI
2024-03-11,AG-NI,ols_training,0.0,0.0,0.29606269352757864,-0.216854,0,ols_training,ols_training,1y,AG,NI
2024-03-12,AG-NI,ols_training,0.0,0.0,0.29606269352757864,-0.216854,0,ols_training,ols_training,1y,AG,NI
2024-03-13,AG-NI,ols_training,0.0,0.0,0.29606269352757864,-0.216854,0,ols_training,ols_training,1y,AG,NI
2024-03-14,AG-NI,ols_training,0.0,0.0,0.29606269352757864,-0.216854,0,ols_training,ols_training,1y,AG,NI
2024-03-15,AG-NI,ols_training,0.0,0.0,0.29606269352757864,-0.216854,0,ols_training,ols_training,1y,AG,NI
2024-03-18,AG-NI,ols_training,0.0,0.0,0.29606269352757864,-0.216854,0,ols_training,ols_training,1y,AG,NI
2024-03-19,AG-NI,ols_training,0.0,0.0,0.29606269352757864,-0.216854,0,ols_training,ols_training,1y,AG,NI
2024-03-20,AG-NI,ols_training,0.0,0.0,0.29606269352757864,-0.216854,0,ols_training,ols_training,1y,AG,NI
2024-03-21,AG-NI,ols_training,0.0,0.0,0.29606269352757864,-0.216854,0,ols_training,ols_training,1y,AG,NI
2024-03-22,AG-NI,ols_training,0.0,0.0,0.29606269352757864,-0.216854,0,ols_training,ols_training,1y,AG,NI
2024-03-25,AG-NI,ols_training,0.0,0.0,0.29606269352757864,-0.216854,0,ols_training,ols_training,1y,AG,NI
2024-03-26,AG-NI,ols_training,0.0,0.0,0.29606269352757864,-0.216854,0,ols_training,ols_training,1y,AG,NI
2024-03-27,AG-NI,ols_training,0.0,0.0,0.29606269352757864,-0.216854,0,ols_training,ols_training,1y,AG,NI
2024-03-28,AG-NI,ols_training,0.0,0.0,0.29606269352757864,-0.216854,0,ols_training,ols_training,1y,AG,NI
2024-03-29,AG-NI,ols_training,0.0,0.0,0.29606269352757864,-0.216854,0,ols_training,ols_training,1y,AG,NI
2024-04-01,AG-NI,ols_training,0.0,0.0,0.29606269352757864,-0.216854,0,ols_training,ols_training,1y,AG,NI
2024-04-02,AG-NI,ols_training,0.0,0.0,0.29606269352757864,-0.216854,0,ols_training,ols_training,1y,AG,NI
2024-04-03,AG-NI,ols_training,0.0,0.0,0.29606269352757864,-0.216854,0,ols_training,ols_training,1y,AG,NI
2024-04-08,AG-NI,ols_training,0.0,0.0,0.29606269352757864,-0.216854,0,ols_training,ols_training,1y,AG,NI
2024-04-09,AG-NI,ols_training,0.0,0.0,0.29606269352757864,-0.216854,0,ols_training,ols_training,1y,AG,NI
2024-04-10,AG-NI,ols_training,0.0,0.0,0.29606269352757864,-0.216854,0,ols_training,ols_training,1y,AG,NI
2024-04-11,AG-NI,ols_training,0.0,0.0,0.29606269352757864,-0.216854,0,ols_training,ols_training,1y,AG,NI
2024-04-12,AG-NI,ols_training,0.0,0.0,0.29606269352757864,-0.216854,0,ols_training,ols_training,1y,AG,NI
2024-04-15,AG-NI,ols_training,0.0,0.0,0.29606269352757864,-0.216854,0,ols_training,ols_training,1y,AG,NI
2024-04-16,AG-NI,ols_training,0.0,0.0,0.29606269352757864,-0.216854,0,ols_training,ols_training,1y,AG,NI
2024-04-17,AG-NI,ols_training,0.0,0.0,0.29606269352757864,-0.216854,0,ols_training,ols_training,1y,AG,NI
